cluster1	cluster2	clusterNew	distance	size
3.0	60.0	99.0	0.0	2.0
6.0	45.0	100.0	0.0	2.0
7.0	72.0	101.0	0.0	2.0
10.0	98.0	102.0	0.0	2.0
14.0	95.0	103.0	0.0	2.0
18.0	58.0	104.0	0.0	2.0
19.0	29.0	105.0	0.0	2.0
20.0	57.0	106.0	0.0	2.0
24.0	66.0	107.0	0.0	2.0
28.0	78.0	108.0	0.0	2.0
30.0	40.0	109.0	0.0	2.0
31.0	82.0	110.0	0.0	2.0
38.0	47.0	111.0	0.0	2.0
49.0	105.0	112.0	0.0	3.0
50.0	94.0	113.0	0.0	2.0
51.0	69.0	114.0	0.0	2.0
52.0	63.0	115.0	0.0	2.0
62.0	111.0	116.0	0.0	3.0
70.0	75.0	117.0	0.0	2.0
80.0	97.0	118.0	0.0	2.0
91.0	101.0	119.0	0.0	3.0
96.0	114.0	120.0	0.0	3.0
100.0	115.0	121.0	0.0	4.0
0.0	35.0	122.0	1.0	2.0
8.0	26.0	123.0	1.0	2.0
12.0	112.0	124.0	1.0	4.0
13.0	103.0	125.0	1.0	3.0
15.0	108.0	126.0	1.0	3.0
22.0	120.0	127.0	1.0	4.0
27.0	118.0	128.0	1.0	3.0
32.0	79.0	129.0	1.0	2.0
34.0	93.0	130.0	1.0	2.0
36.0	77.0	131.0	1.0	2.0
42.0	102.0	132.0	1.0	3.0
43.0	99.0	133.0	1.0	3.0
44.0	104.0	134.0	1.0	3.0
55.0	109.0	135.0	1.0	3.0
61.0	113.0	136.0	1.0	3.0
64.0	88.0	137.0	1.0	2.0
67.0	85.0	138.0	1.0	2.0
73.0	106.0	139.0	1.0	3.0
74.0	107.0	140.0	1.0	3.0
90.0	110.0	141.0	1.0	3.0
68.0	134.0	142.0	1.3333	4.0
116.0	126.0	143.0	1.3333	6.0
121.0	125.0	144.0	1.3333	7.0
37.0	123.0	145.0	1.5	3.0
119.0	122.0	146.0	1.5	5.0
124.0	130.0	147.0	1.75	6.0
131.0	133.0	148.0	1.8333	5.0
136.0	144.0	149.0	1.9048	10.0
4.0	54.0	150.0	2.0	2.0
5.0	87.0	151.0	2.0	2.0
46.0	71.0	152.0	2.0	2.0
65.0	76.0	153.0	2.0	2.0
137.0	140.0	154.0	2.1667	5.0
25.0	127.0	155.0	2.25	5.0
117.0	146.0	156.0	2.6	7.0
2.0	21.0	157.0	3.0	2.0
23.0	56.0	158.0	3.0	2.0
33.0	151.0	159.0	3.0	3.0
83.0	142.0	160.0	3.0	5.0
129.0	135.0	161.0	3.1667	5.0
139.0	149.0	162.0	3.3333	13.0
84.0	138.0	163.0	3.5	3.0
11.0	48.0	164.0	4.0	2.0
128.0	155.0	165.0	4.1333	8.0
150.0	154.0	166.0	4.2	7.0
143.0	162.0	167.0	4.4359	19.0
9.0	159.0	168.0	5.0	4.0
160.0	161.0	169.0	5.2	10.0
39.0	157.0	170.0	5.5	3.0
147.0	156.0	171.0	5.8095	13.0
1.0	145.0	172.0	6.0	4.0
132.0	166.0	173.0	7.3333	10.0
158.0	172.0	174.0	8.0	6.0
41.0	163.0	175.0	8.3333	4.0
89.0	171.0	176.0	8.5385	14.0
16.0	81.0	177.0	9.0	2.0
59.0	169.0	178.0	9.0	11.0
164.0	167.0	179.0	10.3684	21.0
165.0	170.0	180.0	10.4167	11.0
175.0	178.0	181.0	13.5682	15.0
173.0	176.0	182.0	14.2714	24.0
17.0	174.0	183.0	15.8333	7.0
92.0	177.0	184.0	17.5	3.0
148.0	182.0	185.0	23.525	29.0
179.0	180.0	186.0	35.5281	32.0
53.0	141.0	187.0	36.3333	4.0
168.0	185.0	188.0	38.181	33.0
183.0	184.0	189.0	39.9048	10.0
152.0	181.0	190.0	47.2	17.0
186.0	187.0	191.0	61.3438	36.0
189.0	190.0	192.0	74.9529	27.0
188.0	191.0	193.0	92.9192	69.0
153.0	192.0	194.0	221.5926	29.0
193.0	194.0	195.0	477.5277	98.0
86.0	195.0	196.0	7585.0918	99.0
