cluster1	cluster2	clusterNew	distance	size
0.0	46.0	99.0	0.0	2.0
4.0	48.0	100.0	0.0	2.0
5.0	47.0	101.0	0.0	2.0
7.0	32.0	102.0	0.0	2.0
11.0	39.0	103.0	0.0	2.0
12.0	71.0	104.0	0.0	2.0
14.0	20.0	105.0	0.0	2.0
15.0	66.0	106.0	0.0	2.0
17.0	92.0	107.0	0.0	2.0
18.0	24.0	108.0	0.0	2.0
19.0	29.0	109.0	0.0	2.0
23.0	50.0	110.0	0.0	2.0
25.0	35.0	111.0	0.0	2.0
26.0	87.0	112.0	0.0	2.0
28.0	42.0	113.0	0.0	2.0
30.0	34.0	114.0	0.0	2.0
31.0	73.0	115.0	0.0	2.0
38.0	56.0	116.0	0.0	2.0
40.0	89.0	117.0	0.0	2.0
43.0	75.0	118.0	0.0	2.0
44.0	85.0	119.0	0.0	2.0
51.0	78.0	120.0	0.0	2.0
52.0	95.0	121.0	0.0	2.0
55.0	99.0	122.0	0.0	3.0
60.0	80.0	123.0	0.0	2.0
63.0	97.0	124.0	0.0	2.0
64.0	96.0	125.0	0.0	2.0
70.0	103.0	126.0	0.0	3.0
72.0	108.0	127.0	0.0	3.0
83.0	100.0	128.0	0.0	3.0
88.0	98.0	129.0	0.0	2.0
94.0	114.0	130.0	0.0	3.0
101.0	123.0	131.0	0.0	4.0
1.0	102.0	132.0	1.0	3.0
2.0	49.0	133.0	1.0	2.0
3.0	53.0	134.0	1.0	2.0
6.0	124.0	135.0	1.0	3.0
8.0	65.0	136.0	1.0	2.0
9.0	107.0	137.0	1.0	3.0
10.0	74.0	138.0	1.0	2.0
13.0	113.0	139.0	1.0	3.0
16.0	81.0	140.0	1.0	2.0
22.0	90.0	141.0	1.0	2.0
27.0	118.0	142.0	1.0	3.0
37.0	110.0	143.0	1.0	3.0
41.0	109.0	144.0	1.0	3.0
57.0	58.0	145.0	1.0	2.0
61.0	84.0	146.0	1.0	2.0
82.0	115.0	147.0	1.0	3.0
104.0	111.0	148.0	1.0	4.0
112.0	131.0	149.0	1.0	6.0
116.0	121.0	150.0	1.0	4.0
119.0	130.0	151.0	1.0	5.0
120.0	125.0	152.0	1.0	4.0
128.0	129.0	153.0	1.0	5.0
33.0	137.0	154.0	1.3333	4.0
62.0	139.0	155.0	1.3333	4.0
86.0	136.0	156.0	1.5	3.0
93.0	140.0	157.0	1.5	3.0
105.0	145.0	158.0	1.5	4.0
127.0	146.0	159.0	1.5	5.0
122.0	132.0	160.0	1.6667	6.0
134.0	142.0	161.0	1.8333	5.0
141.0	153.0	162.0	1.9	7.0
45.0	54.0	163.0	2.0	2.0
76.0	117.0	164.0	2.0	3.0
126.0	154.0	165.0	2.0	7.0
144.0	159.0	166.0	2.2667	8.0
36.0	133.0	167.0	2.5	3.0
91.0	138.0	168.0	2.5	3.0
151.0	155.0	169.0	2.6	9.0
148.0	162.0	170.0	2.6429	11.0
149.0	161.0	171.0	2.7333	11.0
156.0	160.0	172.0	2.8333	9.0
67.0	68.0	173.0	3.0	2.0
106.0	157.0	174.0	3.0	5.0
143.0	150.0	175.0	3.1667	7.0
147.0	158.0	176.0	3.5833	7.0
152.0	165.0	177.0	3.6429	11.0
21.0	77.0	178.0	4.0	2.0
164.0	172.0	179.0	4.7778	12.0
166.0	169.0	180.0	4.8056	17.0
69.0	163.0	181.0	5.0	3.0
173.0	174.0	182.0	5.7	7.0
79.0	176.0	183.0	6.2857	8.0
168.0	171.0	184.0	6.7576	14.0
170.0	177.0	185.0	7.0	22.0
175.0	181.0	186.0	8.4762	10.0
179.0	182.0	187.0	9.5119	19.0
180.0	185.0	188.0	12.0241	39.0
167.0	184.0	189.0	13.3095	17.0
183.0	186.0	190.0	18.9	18.0
188.0	189.0	191.0	20.629	56.0
187.0	190.0	192.0	30.4211	37.0
178.0	191.0	193.0	39.6607	58.0
135.0	192.0	194.0	47.2883	40.0
193.0	194.0	195.0	55.6319	98.0
59.0	195.0	196.0	188.0	99.0
