cluster1	cluster2	clusterNew	distance	size
0.0	49.0	99.0	0.0	2.0
2.0	74.0	100.0	0.0	2.0
4.0	98.0	101.0	0.0	2.0
6.0	15.0	102.0	0.0	2.0
9.0	26.0	103.0	0.0	2.0
12.0	88.0	104.0	0.0	2.0
19.0	48.0	105.0	0.0	2.0
20.0	45.0	106.0	0.0	2.0
24.0	92.0	107.0	0.0	2.0
25.0	28.0	108.0	0.0	2.0
27.0	66.0	109.0	0.0	2.0
29.0	47.0	110.0	0.0	2.0
31.0	38.0	111.0	0.0	2.0
32.0	44.0	112.0	0.0	2.0
33.0	35.0	113.0	0.0	2.0
36.0	60.0	114.0	0.0	2.0
39.0	69.0	115.0	0.0	2.0
43.0	111.0	116.0	0.0	3.0
53.0	75.0	117.0	0.0	2.0
61.0	95.0	118.0	0.0	2.0
63.0	106.0	119.0	0.0	3.0
67.0	85.0	120.0	0.0	2.0
70.0	72.0	121.0	0.0	2.0
87.0	113.0	122.0	0.0	3.0
97.0	114.0	123.0	0.0	3.0
118.0	123.0	124.0	0.0	5.0
121.0	122.0	125.0	0.0	5.0
1.0	112.0	126.0	1.0	3.0
5.0	80.0	127.0	1.0	2.0
7.0	93.0	128.0	1.0	2.0
10.0	50.0	129.0	1.0	2.0
11.0	103.0	130.0	1.0	3.0
14.0	57.0	131.0	1.0	2.0
17.0	91.0	132.0	1.0	2.0
18.0	68.0	133.0	1.0	2.0
22.0	115.0	134.0	1.0	3.0
30.0	83.0	135.0	1.0	2.0
34.0	86.0	136.0	1.0	2.0
40.0	120.0	137.0	1.0	3.0
51.0	117.0	138.0	1.0	3.0
77.0	94.0	139.0	1.0	2.0
78.0	82.0	140.0	1.0	2.0
84.0	108.0	141.0	1.0	3.0
102.0	119.0	142.0	1.0	5.0
110.0	125.0	143.0	1.0	7.0
116.0	124.0	144.0	1.0	8.0
37.0	135.0	145.0	1.5	3.0
52.0	129.0	146.0	1.5	3.0
101.0	140.0	147.0	1.5	4.0
109.0	127.0	148.0	1.5	4.0
130.0	132.0	149.0	1.8333	5.0
133.0	137.0	150.0	1.8333	5.0
136.0	138.0	151.0	1.8333	5.0
8.0	16.0	152.0	2.0	2.0
89.0	105.0	153.0	2.0	3.0
134.0	141.0	154.0	2.0	6.0
144.0	146.0	155.0	2.375	11.0
143.0	148.0	156.0	2.5357	11.0
126.0	150.0	157.0	2.7333	8.0
3.0	21.0	158.0	3.0	2.0
23.0	56.0	159.0	3.0	2.0
58.0	79.0	160.0	3.0	2.0
104.0	147.0	161.0	3.25	6.0
62.0	154.0	162.0	3.3333	7.0
107.0	149.0	163.0	3.6	7.0
64.0	99.0	164.0	4.0	3.0
46.0	71.0	165.0	5.0	2.0
55.0	152.0	166.0	5.0	3.0
13.0	131.0	167.0	5.5	3.0
42.0	158.0	168.0	5.5	3.0
100.0	155.0	169.0	5.7273	13.0
128.0	164.0	170.0	5.8333	5.0
151.0	156.0	171.0	6.0364	16.0
153.0	163.0	172.0	6.2381	10.0
161.0	169.0	173.0	6.9872	19.0
157.0	166.0	174.0	7.0417	11.0
139.0	162.0	175.0	7.3571	9.0
142.0	167.0	176.0	7.9333	8.0
81.0	145.0	177.0	8.0	4.0
159.0	160.0	178.0	8.0	4.0
73.0	165.0	179.0	8.5	3.0
171.0	172.0	180.0	10.55	26.0
59.0	176.0	181.0	13.375	9.0
168.0	175.0	182.0	13.5556	12.0
41.0	96.0	183.0	16.0	2.0
170.0	180.0	184.0	19.8077	31.0
90.0	177.0	185.0	24.0	5.0
173.0	182.0	186.0	28.886	31.0
174.0	178.0	187.0	30.9545	15.0
181.0	185.0	188.0	32.9111	14.0
54.0	184.0	189.0	37.3871	32.0
183.0	186.0	190.0	47.871	33.0
189.0	190.0	191.0	51.8116	65.0
65.0	187.0	192.0	56.2	16.0
179.0	188.0	193.0	68.3095	17.0
192.0	193.0	194.0	173.9007	33.0
191.0	194.0	195.0	274.2503	98.0
76.0	195.0	196.0	14011.1735	99.0
