cluster1	cluster2	clusterNew	distance	size
0.0	7.0	99.0	0.0	2.0
1.0	90.0	100.0	0.0	2.0
4.0	12.0	101.0	0.0	2.0
8.0	61.0	102.0	0.0	2.0
9.0	62.0	103.0	0.0	2.0
11.0	48.0	104.0	0.0	2.0
13.0	24.0	105.0	0.0	2.0
15.0	27.0	106.0	0.0	2.0
17.0	65.0	107.0	0.0	2.0
18.0	40.0	108.0	0.0	2.0
19.0	49.0	109.0	0.0	2.0
31.0	67.0	110.0	0.0	2.0
32.0	44.0	111.0	0.0	2.0
34.0	98.0	112.0	0.0	2.0
37.0	85.0	113.0	0.0	2.0
38.0	41.0	114.0	0.0	2.0
42.0	72.0	115.0	0.0	2.0
45.0	47.0	116.0	0.0	2.0
52.0	58.0	117.0	0.0	2.0
53.0	75.0	118.0	0.0	2.0
74.0	91.0	119.0	0.0	2.0
76.0	107.0	120.0	0.0	3.0
79.0	82.0	121.0	0.0	2.0
80.0	116.0	122.0	0.0	3.0
81.0	114.0	123.0	0.0	3.0
84.0	104.0	124.0	0.0	3.0
94.0	103.0	125.0	0.0	3.0
99.0	109.0	126.0	0.0	4.0
105.0	112.0	127.0	0.0	4.0
117.0	121.0	128.0	0.0	4.0
5.0	87.0	129.0	1.0	2.0
10.0	60.0	130.0	1.0	2.0
14.0	20.0	131.0	1.0	2.0
16.0	56.0	132.0	1.0	2.0
23.0	113.0	133.0	1.0	3.0
25.0	28.0	134.0	1.0	2.0
29.0	126.0	135.0	1.0	5.0
30.0	39.0	136.0	1.0	2.0
35.0	43.0	137.0	1.0	2.0
46.0	71.0	138.0	1.0	2.0
50.0	100.0	139.0	1.0	3.0
54.0	119.0	140.0	1.0	3.0
55.0	128.0	141.0	1.0	5.0
57.0	73.0	142.0	1.0	2.0
64.0	70.0	143.0	1.0	2.0
68.0	108.0	144.0	1.0	3.0
78.0	95.0	145.0	1.0	2.0
83.0	124.0	146.0	1.0	4.0
86.0	127.0	147.0	1.0	5.0
92.0	120.0	148.0	1.0	4.0
102.0	122.0	149.0	1.0	5.0
111.0	118.0	150.0	1.0	4.0
88.0	135.0	151.0	1.2	6.0
93.0	147.0	152.0	1.2	6.0
123.0	141.0	153.0	1.2	8.0
110.0	148.0	154.0	1.25	6.0
115.0	140.0	155.0	1.3333	5.0
26.0	132.0	156.0	1.5	3.0
69.0	136.0	157.0	1.5	3.0
101.0	137.0	158.0	1.5	4.0
125.0	129.0	159.0	1.5	5.0
133.0	146.0	160.0	1.5833	7.0
144.0	150.0	161.0	1.8333	7.0
2.0	66.0	162.0	2.0	2.0
6.0	63.0	163.0	2.0	2.0
22.0	96.0	164.0	2.0	2.0
33.0	51.0	165.0	2.0	2.0
59.0	142.0	166.0	2.5	3.0
153.0	156.0	167.0	2.75	11.0
139.0	160.0	168.0	2.7619	10.0
21.0	89.0	169.0	3.0	2.0
36.0	162.0	170.0	3.0	3.0
77.0	163.0	171.0	3.0	3.0
130.0	158.0	172.0	3.25	6.0
106.0	149.0	173.0	3.4	7.0
131.0	166.0	174.0	3.8333	5.0
151.0	152.0	175.0	4.0	12.0
155.0	169.0	176.0	4.7	7.0
154.0	167.0	177.0	4.8333	17.0
161.0	173.0	178.0	4.8571	14.0
97.0	157.0	179.0	5.0	4.0
145.0	171.0	180.0	5.5	5.0
159.0	165.0	181.0	6.4	7.0
170.0	172.0	182.0	8.3333	9.0
168.0	177.0	183.0	9.1059	27.0
175.0	176.0	184.0	9.1429	19.0
3.0	181.0	185.0	9.4286	8.0
134.0	180.0	186.0	11.7	7.0
143.0	185.0	187.0	12.25	10.0
164.0	179.0	188.0	13.75	6.0
174.0	186.0	189.0	15.9429	12.0
178.0	183.0	190.0	16.1905	41.0
184.0	187.0	191.0	22.6684	29.0
138.0	190.0	192.0	22.6951	43.0
188.0	192.0	193.0	30.6938	49.0
182.0	191.0	194.0	36.8927	38.0
189.0	194.0	195.0	55.7895	50.0
193.0	195.0	196.0	107.002	99.0
