cluster1	cluster2	clusterNew	distance	size
0.0	28.0	99.0	0.0	2.0
2.0	42.0	100.0	0.0	2.0
4.0	60.0	101.0	0.0	2.0
5.0	80.0	102.0	0.0	2.0
6.0	14.0	103.0	0.0	2.0
7.0	15.0	104.0	0.0	2.0
10.0	36.0	105.0	0.0	2.0
11.0	25.0	106.0	0.0	2.0
12.0	56.0	107.0	0.0	2.0
13.0	39.0	108.0	0.0	2.0
17.0	74.0	109.0	0.0	2.0
20.0	88.0	110.0	0.0	2.0
22.0	47.0	111.0	0.0	2.0
24.0	29.0	112.0	0.0	2.0
37.0	46.0	113.0	0.0	2.0
38.0	94.0	114.0	0.0	2.0
43.0	58.0	115.0	0.0	2.0
45.0	51.0	116.0	0.0	2.0
48.0	108.0	117.0	0.0	3.0
49.0	91.0	118.0	0.0	2.0
52.0	95.0	119.0	0.0	2.0
62.0	89.0	120.0	0.0	2.0
63.0	97.0	121.0	0.0	2.0
65.0	71.0	122.0	0.0	2.0
67.0	83.0	123.0	0.0	2.0
70.0	87.0	124.0	0.0	2.0
72.0	82.0	125.0	0.0	2.0
76.0	113.0	126.0	0.0	3.0
78.0	112.0	127.0	0.0	3.0
84.0	85.0	128.0	0.0	2.0
90.0	92.0	129.0	0.0	2.0
93.0	104.0	130.0	0.0	3.0
96.0	99.0	131.0	0.0	3.0
98.0	101.0	132.0	0.0	3.0
103.0	121.0	133.0	0.0	4.0
105.0	115.0	134.0	0.0	4.0
106.0	129.0	135.0	0.0	4.0
122.0	126.0	136.0	0.0	5.0
3.0	26.0	137.0	1.0	2.0
16.0	107.0	138.0	1.0	3.0
18.0	123.0	139.0	1.0	3.0
19.0	57.0	140.0	1.0	2.0
21.0	77.0	141.0	1.0	2.0
23.0	33.0	142.0	1.0	2.0
30.0	40.0	143.0	1.0	2.0
31.0	114.0	144.0	1.0	3.0
32.0	59.0	145.0	1.0	2.0
34.0	117.0	146.0	1.0	4.0
44.0	128.0	147.0	1.0	3.0
50.0	120.0	148.0	1.0	3.0
53.0	61.0	149.0	1.0	2.0
55.0	134.0	150.0	1.0	5.0
69.0	119.0	151.0	1.0	3.0
100.0	110.0	152.0	1.0	4.0
109.0	111.0	153.0	1.0	4.0
116.0	130.0	154.0	1.0	5.0
127.0	133.0	155.0	1.0	7.0
131.0	149.0	156.0	1.5	5.0
132.0	152.0	157.0	1.5	7.0
135.0	153.0	158.0	1.5	8.0
146.0	154.0	159.0	1.65	9.0
144.0	151.0	160.0	1.6667	6.0
140.0	155.0	161.0	1.9286	9.0
27.0	102.0	162.0	2.0	3.0
148.0	156.0	163.0	2.2667	8.0
68.0	139.0	164.0	2.3333	4.0
124.0	142.0	165.0	2.5	4.0
35.0	162.0	166.0	2.6667	4.0
75.0	138.0	167.0	2.6667	4.0
118.0	125.0	168.0	3.0	4.0
143.0	145.0	169.0	3.0	4.0
150.0	157.0	170.0	3.0571	12.0
158.0	159.0	171.0	3.0833	17.0
41.0	147.0	172.0	3.3333	4.0
64.0	137.0	173.0	3.5	3.0
66.0	73.0	174.0	4.0	2.0
161.0	173.0	175.0	4.6667	12.0
164.0	172.0	176.0	4.75	8.0
54.0	86.0	177.0	5.0	2.0
141.0	168.0	178.0	5.0	6.0
160.0	163.0	179.0	5.25	14.0
167.0	170.0	180.0	5.5833	16.0
165.0	166.0	181.0	6.25	8.0
171.0	175.0	182.0	6.2843	29.0
1.0	174.0	183.0	7.0	3.0
169.0	176.0	184.0	8.125	12.0
9.0	181.0	185.0	10.125	9.0
178.0	179.0	186.0	10.6667	20.0
8.0	81.0	187.0	12.0	2.0
182.0	186.0	188.0	14.1828	49.0
180.0	185.0	189.0	15.1875	25.0
183.0	187.0	190.0	18.6667	5.0
188.0	189.0	191.0	27.5861	74.0
79.0	177.0	192.0	30.5	3.0
136.0	184.0	193.0	31.5833	17.0
191.0	193.0	194.0	48.7194	91.0
190.0	194.0	195.0	64.8879	96.0
192.0	195.0	196.0	136.0417	99.0
