cluster1	cluster2	clusterNew	distance	size
0.0	33.0	99.0	0.0	2.0
2.0	21.0	100.0	0.0	2.0
3.0	10.0	101.0	0.0	2.0
5.0	75.0	102.0	0.0	2.0
6.0	48.0	103.0	0.0	2.0
7.0	34.0	104.0	0.0	2.0
11.0	20.0	105.0	0.0	2.0
13.0	25.0	106.0	0.0	2.0
16.0	18.0	107.0	0.0	2.0
19.0	64.0	108.0	0.0	2.0
27.0	38.0	109.0	0.0	2.0
28.0	43.0	110.0	0.0	2.0
37.0	46.0	111.0	0.0	2.0
45.0	110.0	112.0	0.0	3.0
47.0	53.0	113.0	0.0	2.0
50.0	78.0	114.0	0.0	2.0
51.0	105.0	115.0	0.0	3.0
54.0	80.0	116.0	0.0	2.0
60.0	99.0	117.0	0.0	3.0
65.0	67.0	118.0	0.0	2.0
69.0	106.0	119.0	0.0	3.0
71.0	76.0	120.0	0.0	2.0
72.0	89.0	121.0	0.0	2.0
73.0	113.0	122.0	0.0	3.0
74.0	95.0	123.0	0.0	2.0
85.0	111.0	124.0	0.0	3.0
91.0	121.0	125.0	0.0	3.0
118.0	120.0	126.0	0.0	4.0
124.0	126.0	127.0	0.0	7.0
1.0	30.0	128.0	1.0	2.0
14.0	115.0	129.0	1.0	4.0
15.0	62.0	130.0	1.0	2.0
17.0	92.0	131.0	1.0	2.0
24.0	90.0	132.0	1.0	2.0
31.0	82.0	133.0	1.0	2.0
32.0	81.0	134.0	1.0	2.0
36.0	77.0	135.0	1.0	2.0
39.0	57.0	136.0	1.0	2.0
40.0	68.0	137.0	1.0	2.0
42.0	94.0	138.0	1.0	2.0
52.0	109.0	139.0	1.0	3.0
59.0	83.0	140.0	1.0	2.0
61.0	87.0	141.0	1.0	2.0
66.0	93.0	142.0	1.0	2.0
97.0	122.0	143.0	1.0	4.0
98.0	101.0	144.0	1.0	3.0
116.0	125.0	145.0	1.0	5.0
119.0	143.0	146.0	1.25	7.0
63.0	135.0	147.0	1.5	3.0
100.0	132.0	148.0	1.5	4.0
103.0	133.0	149.0	1.5	4.0
107.0	137.0	150.0	1.5	4.0
123.0	138.0	151.0	1.5	4.0
4.0	70.0	152.0	2.0	2.0
22.0	96.0	153.0	2.0	2.0
26.0	79.0	154.0	2.0	2.0
49.0	112.0	155.0	2.0	4.0
114.0	147.0	156.0	2.0	5.0
128.0	140.0	157.0	2.0	4.0
144.0	145.0	158.0	2.0667	8.0
136.0	146.0	159.0	2.2143	9.0
108.0	148.0	160.0	2.25	6.0
12.0	142.0	161.0	2.5	3.0
102.0	141.0	162.0	2.5	4.0
55.0	150.0	163.0	2.75	5.0
23.0	56.0	164.0	3.0	2.0
29.0	104.0	165.0	3.0	3.0
58.0	154.0	166.0	3.0	3.0
129.0	159.0	167.0	3.0278	13.0
139.0	151.0	168.0	3.0833	7.0
88.0	158.0	169.0	3.625	9.0
155.0	156.0	170.0	3.7	9.0
117.0	152.0	171.0	4.0	5.0
130.0	162.0	172.0	4.75	6.0
84.0	86.0	173.0	5.0	2.0
149.0	168.0	174.0	5.1786	11.0
134.0	163.0	175.0	5.3	7.0
153.0	167.0	176.0	6.1538	15.0
161.0	165.0	177.0	6.3333	6.0
41.0	166.0	178.0	7.0	4.0
169.0	174.0	179.0	7.2323	20.0
127.0	164.0	180.0	7.5	9.0
44.0	175.0	181.0	8.7143	8.0
171.0	172.0	182.0	8.9333	11.0
160.0	170.0	183.0	8.9444	15.0
131.0	157.0	184.0	10.0	6.0
176.0	179.0	185.0	15.4667	35.0
177.0	182.0	186.0	16.1061	17.0
173.0	181.0	187.0	20.125	10.0
178.0	184.0	188.0	22.0833	10.0
183.0	186.0	189.0	22.5451	32.0
185.0	189.0	190.0	35.6723	67.0
180.0	188.0	191.0	40.3333	19.0
8.0	187.0	192.0	48.4	11.0
35.0	190.0	193.0	59.791	68.0
192.0	193.0	194.0	164.0882	79.0
9.0	194.0	195.0	264.7595	80.0
191.0	195.0	196.0	385.6553	99.0
