cluster1	cluster2	clusterNew	distance	size
3.0	76.0	99.0	0.0	2.0
7.0	34.0	100.0	0.0	2.0
10.0	16.0	101.0	0.0	2.0
11.0	13.0	102.0	0.0	2.0
12.0	33.0	103.0	0.0	2.0
14.0	61.0	104.0	0.0	2.0
15.0	26.0	105.0	0.0	2.0
18.0	68.0	106.0	0.0	2.0
19.0	98.0	107.0	0.0	2.0
20.0	45.0	108.0	0.0	2.0
27.0	67.0	109.0	0.0	2.0
30.0	95.0	110.0	0.0	2.0
31.0	41.0	111.0	0.0	2.0
35.0	70.0	112.0	0.0	2.0
38.0	52.0	113.0	0.0	2.0
40.0	44.0	114.0	0.0	2.0
42.0	79.0	115.0	0.0	2.0
48.0	102.0	116.0	0.0	3.0
51.0	93.0	117.0	0.0	2.0
53.0	111.0	118.0	0.0	3.0
55.0	81.0	119.0	0.0	2.0
57.0	74.0	120.0	0.0	2.0
65.0	86.0	121.0	0.0	2.0
73.0	78.0	122.0	0.0	2.0
80.0	108.0	123.0	0.0	3.0
83.0	92.0	124.0	0.0	2.0
87.0	103.0	125.0	0.0	3.0
89.0	119.0	126.0	0.0	3.0
94.0	120.0	127.0	0.0	3.0
100.0	117.0	128.0	0.0	4.0
105.0	110.0	129.0	0.0	4.0
106.0	122.0	130.0	0.0	4.0
1.0	8.0	131.0	1.0	2.0
2.0	91.0	132.0	1.0	2.0
6.0	63.0	133.0	1.0	2.0
17.0	47.0	134.0	1.0	2.0
21.0	46.0	135.0	1.0	2.0
24.0	75.0	136.0	1.0	2.0
29.0	128.0	137.0	1.0	5.0
36.0	43.0	138.0	1.0	2.0
50.0	118.0	139.0	1.0	4.0
56.0	115.0	140.0	1.0	3.0
59.0	85.0	141.0	1.0	2.0
72.0	99.0	142.0	1.0	3.0
82.0	84.0	143.0	1.0	2.0
96.0	112.0	144.0	1.0	3.0
101.0	126.0	145.0	1.0	5.0
104.0	109.0	146.0	1.0	4.0
113.0	124.0	147.0	1.0	4.0
114.0	130.0	148.0	1.0	6.0
116.0	129.0	149.0	1.0	7.0
125.0	144.0	150.0	1.3333	6.0
32.0	133.0	151.0	1.5	3.0
60.0	138.0	152.0	1.5	3.0
71.0	135.0	153.0	1.5	3.0
107.0	136.0	154.0	1.5	4.0
123.0	146.0	155.0	1.5	7.0
139.0	143.0	156.0	1.75	6.0
131.0	140.0	157.0	1.8333	5.0
9.0	22.0	158.0	2.0	2.0
54.0	62.0	159.0	2.0	2.0
134.0	147.0	160.0	2.0	6.0
127.0	155.0	161.0	2.1429	10.0
141.0	148.0	162.0	2.1667	8.0
58.0	145.0	163.0	2.4	6.0
0.0	137.0	164.0	2.8	6.0
39.0	69.0	165.0	3.0	2.0
121.0	142.0	166.0	3.3333	5.0
23.0	157.0	167.0	3.4	6.0
28.0	132.0	168.0	3.5	3.0
5.0	150.0	169.0	3.6667	7.0
149.0	161.0	170.0	3.9286	17.0
64.0	88.0	171.0	4.0	2.0
151.0	162.0	172.0	4.875	11.0
77.0	153.0	173.0	5.0	4.0
159.0	166.0	174.0	5.0	7.0
154.0	158.0	175.0	5.25	6.0
25.0	169.0	176.0	5.8571	8.0
156.0	168.0	177.0	6.0	9.0
160.0	170.0	178.0	7.049	23.0
37.0	173.0	179.0	7.25	5.0
4.0	176.0	180.0	7.875	9.0
90.0	163.0	181.0	8.0	7.0
167.0	181.0	182.0	9.3095	13.0
152.0	171.0	183.0	10.0	5.0
172.0	178.0	184.0	10.4111	34.0
174.0	175.0	185.0	11.0714	13.0
49.0	66.0	186.0	14.0	2.0
165.0	179.0	187.0	16.3	7.0
177.0	184.0	188.0	16.7451	43.0
182.0	185.0	189.0	20.3846	26.0
180.0	183.0	190.0	22.0	14.0
186.0	190.0	191.0	33.8571	16.0
188.0	189.0	192.0	40.4392	69.0
187.0	192.0	193.0	61.2878	76.0
164.0	191.0	194.0	67.9583	22.0
193.0	194.0	195.0	111.4091	98.0
97.0	195.0	196.0	216.4898	99.0
