cluster1	cluster2	clusterNew	distance	size
2.0	10.0	99.0	0.0	2.0
6.0	78.0	100.0	0.0	2.0
7.0	93.0	101.0	0.0	2.0
13.0	48.0	102.0	0.0	2.0
15.0	26.0	103.0	0.0	2.0
17.0	55.0	104.0	0.0	2.0
22.0	96.0	105.0	0.0	2.0
27.0	73.0	106.0	0.0	2.0
32.0	65.0	107.0	0.0	2.0
33.0	35.0	108.0	0.0	2.0
36.0	43.0	109.0	0.0	2.0
37.0	56.0	110.0	0.0	2.0
38.0	95.0	111.0	0.0	2.0
42.0	88.0	112.0	0.0	2.0
45.0	61.0	113.0	0.0	2.0
54.0	64.0	114.0	0.0	2.0
57.0	102.0	115.0	0.0	3.0
70.0	108.0	116.0	0.0	3.0
72.0	89.0	117.0	0.0	2.0
79.0	104.0	118.0	0.0	3.0
90.0	113.0	119.0	0.0	3.0
91.0	117.0	120.0	0.0	3.0
98.0	114.0	121.0	0.0	3.0
0.0	120.0	122.0	1.0	4.0
3.0	66.0	123.0	1.0	2.0
4.0	121.0	124.0	1.0	4.0
9.0	19.0	125.0	1.0	2.0
11.0	115.0	126.0	1.0	4.0
12.0	112.0	127.0	1.0	3.0
14.0	20.0	128.0	1.0	2.0
21.0	39.0	129.0	1.0	2.0
23.0	110.0	130.0	1.0	3.0
25.0	74.0	131.0	1.0	2.0
31.0	111.0	132.0	1.0	3.0
34.0	51.0	133.0	1.0	2.0
40.0	59.0	134.0	1.0	2.0
41.0	84.0	135.0	1.0	2.0
46.0	71.0	136.0	1.0	2.0
50.0	119.0	137.0	1.0	4.0
52.0	94.0	138.0	1.0	2.0
75.0	87.0	139.0	1.0	2.0
77.0	97.0	140.0	1.0	2.0
106.0	126.0	141.0	1.25	6.0
82.0	132.0	142.0	1.3333	4.0
116.0	127.0	143.0	1.3333	6.0
5.0	123.0	144.0	1.5	3.0
29.0	125.0	145.0	1.5	3.0
8.0	81.0	146.0	2.0	2.0
30.0	83.0	147.0	2.0	2.0
44.0	85.0	148.0	2.0	2.0
62.0	105.0	149.0	2.0	3.0
107.0	118.0	150.0	2.0	5.0
129.0	131.0	151.0	2.0	4.0
139.0	143.0	152.0	2.1667	8.0
49.0	122.0	153.0	2.25	5.0
128.0	141.0	154.0	2.3333	8.0
16.0	130.0	155.0	2.6667	4.0
47.0	53.0	156.0	3.0	2.0
69.0	145.0	157.0	3.0	4.0
133.0	140.0	158.0	3.0	4.0
99.0	151.0	159.0	3.5	6.0
138.0	142.0	160.0	3.5	6.0
134.0	150.0	161.0	3.7	7.0
1.0	146.0	162.0	4.0	3.0
18.0	68.0	163.0	4.0	2.0
60.0	109.0	164.0	4.0	3.0
124.0	152.0	165.0	4.125	12.0
24.0	157.0	166.0	4.75	5.0
101.0	153.0	167.0	5.2	7.0
63.0	137.0	168.0	5.25	5.0
100.0	154.0	169.0	5.25	10.0
28.0	149.0	170.0	5.3333	4.0
103.0	156.0	171.0	5.5	4.0
144.0	165.0	172.0	5.5	15.0
155.0	161.0	173.0	5.8571	11.0
135.0	148.0	174.0	6.5	4.0
159.0	164.0	175.0	7.6667	9.0
76.0	86.0	176.0	8.0	2.0
158.0	166.0	177.0	8.2	9.0
169.0	171.0	178.0	9.05	14.0
160.0	168.0	179.0	9.6333	11.0
172.0	175.0	180.0	11.8222	24.0
58.0	174.0	181.0	12.25	5.0
163.0	173.0	182.0	13.2727	13.0
176.0	181.0	183.0	19.2	7.0
92.0	162.0	184.0	19.3333	4.0
178.0	179.0	185.0	22.2403	25.0
177.0	180.0	186.0	22.2778	33.0
80.0	167.0	187.0	22.7143	8.0
67.0	147.0	188.0	25.0	3.0
182.0	188.0	189.0	35.5641	16.0
184.0	189.0	190.0	43.9375	20.0
186.0	187.0	191.0	50.8826	41.0
170.0	185.0	192.0	53.0	29.0
136.0	183.0	193.0	76.2143	9.0
191.0	192.0	194.0	80.4811	70.0
190.0	193.0	195.0	106.5722	29.0
194.0	195.0	196.0	225.5527	99.0
