cluster1	cluster2	clusterNew	distance	size
0.0	2.0	99.0	0.0	2.0
3.0	25.0	100.0	0.0	2.0
4.0	12.0	101.0	0.0	2.0
5.0	86.0	102.0	0.0	2.0
6.0	31.0	103.0	0.0	2.0
7.0	80.0	104.0	0.0	2.0
9.0	20.0	105.0	0.0	2.0
10.0	87.0	106.0	0.0	2.0
11.0	47.0	107.0	0.0	2.0
13.0	26.0	108.0	0.0	2.0
14.0	90.0	109.0	0.0	2.0
19.0	29.0	110.0	0.0	2.0
22.0	98.0	111.0	0.0	2.0
27.0	45.0	112.0	0.0	2.0
28.0	62.0	113.0	0.0	2.0
32.0	44.0	114.0	0.0	2.0
38.0	95.0	115.0	0.0	2.0
39.0	91.0	116.0	0.0	2.0
48.0	53.0	117.0	0.0	2.0
49.0	77.0	118.0	0.0	2.0
50.0	52.0	119.0	0.0	2.0
54.0	57.0	120.0	0.0	2.0
59.0	68.0	121.0	0.0	2.0
61.0	94.0	122.0	0.0	2.0
63.0	112.0	123.0	0.0	3.0
64.0	74.0	124.0	0.0	2.0
73.0	120.0	125.0	0.0	3.0
78.0	117.0	126.0	0.0	3.0
85.0	114.0	127.0	0.0	3.0
88.0	124.0	128.0	0.0	3.0
103.0	115.0	129.0	0.0	4.0
108.0	119.0	130.0	0.0	4.0
122.0	130.0	131.0	0.0	6.0
1.0	81.0	132.0	1.0	2.0
8.0	121.0	133.0	1.0	3.0
15.0	107.0	134.0	1.0	3.0
17.0	92.0	135.0	1.0	2.0
18.0	127.0	136.0	1.0	4.0
21.0	118.0	137.0	1.0	3.0
23.0	67.0	138.0	1.0	2.0
24.0	102.0	139.0	1.0	3.0
30.0	58.0	140.0	1.0	2.0
33.0	75.0	141.0	1.0	2.0
36.0	43.0	142.0	1.0	2.0
37.0	65.0	143.0	1.0	2.0
51.0	89.0	144.0	1.0	2.0
72.0	99.0	145.0	1.0	3.0
79.0	83.0	146.0	1.0	2.0
93.0	104.0	147.0	1.0	3.0
100.0	111.0	148.0	1.0	4.0
105.0	106.0	149.0	1.0	4.0
109.0	123.0	150.0	1.0	5.0
113.0	131.0	151.0	1.0	8.0
40.0	136.0	152.0	1.25	5.0
129.0	151.0	153.0	1.25	12.0
96.0	137.0	154.0	1.3333	4.0
125.0	139.0	155.0	1.3333	6.0
126.0	134.0	156.0	1.3333	6.0
76.0	143.0	157.0	1.5	3.0
128.0	148.0	158.0	1.5	7.0
116.0	145.0	159.0	1.6667	5.0
16.0	55.0	160.0	2.0	2.0
34.0	110.0	161.0	2.0	3.0
46.0	71.0	162.0	2.0	2.0
70.0	101.0	163.0	2.0	3.0
140.0	146.0	164.0	2.0	4.0
141.0	149.0	165.0	2.0	6.0
150.0	153.0	166.0	2.2333	17.0
133.0	152.0	167.0	2.3333	8.0
56.0	132.0	168.0	2.5	3.0
60.0	142.0	169.0	2.5	3.0
82.0	144.0	170.0	2.5	3.0
155.0	161.0	171.0	3.0	9.0
42.0	158.0	172.0	3.1429	8.0
35.0	163.0	173.0	3.6667	4.0
41.0	162.0	174.0	4.0	3.0
154.0	159.0	175.0	4.0	9.0
84.0	138.0	176.0	4.5	3.0
147.0	170.0	177.0	4.6667	6.0
135.0	164.0	178.0	5.0	6.0
156.0	166.0	179.0	5.1569	23.0
165.0	171.0	180.0	5.8333	15.0
160.0	167.0	181.0	5.875	10.0
172.0	175.0	182.0	6.4722	17.0
157.0	174.0	183.0	7.6667	6.0
169.0	173.0	184.0	8.9167	7.0
178.0	181.0	185.0	9.4667	16.0
177.0	180.0	186.0	10.6667	21.0
69.0	97.0	187.0	13.0	2.0
168.0	185.0	188.0	14.9167	19.0
184.0	186.0	189.0	17.8095	28.0
176.0	183.0	190.0	17.8333	9.0
179.0	182.0	191.0	21.6982	40.0
188.0	190.0	192.0	29.9942	28.0
66.0	189.0	193.0	33.9286	29.0
191.0	193.0	194.0	38.5414	69.0
187.0	194.0	195.0	96.6014	71.0
192.0	195.0	196.0	129.1554	99.0
