cluster1	cluster2	clusterNew	distance	size
1.0	40.0	99.0	0.0	2.0
2.0	34.0	100.0	0.0	2.0
3.0	77.0	101.0	0.0	2.0
4.0	35.0	102.0	0.0	2.0
5.0	7.0	103.0	0.0	2.0
6.0	24.0	104.0	0.0	2.0
8.0	32.0	105.0	0.0	2.0
9.0	46.0	106.0	0.0	2.0
10.0	13.0	107.0	0.0	2.0
11.0	45.0	108.0	0.0	2.0
14.0	73.0	109.0	0.0	2.0
15.0	19.0	110.0	0.0	2.0
17.0	26.0	111.0	0.0	2.0
18.0	68.0	112.0	0.0	2.0
20.0	43.0	113.0	0.0	2.0
21.0	39.0	114.0	0.0	2.0
22.0	25.0	115.0	0.0	2.0
23.0	56.0	116.0	0.0	2.0
28.0	62.0	117.0	0.0	2.0
29.0	42.0	118.0	0.0	2.0
30.0	74.0	119.0	0.0	2.0
33.0	36.0	120.0	0.0	2.0
37.0	55.0	121.0	0.0	2.0
44.0	66.0	122.0	0.0	2.0
47.0	70.0	123.0	0.0	2.0
48.0	54.0	124.0	0.0	2.0
50.0	61.0	125.0	0.0	2.0
51.0	120.0	126.0	0.0	3.0
53.0	60.0	127.0	0.0	2.0
57.0	81.0	128.0	0.0	2.0
59.0	63.0	129.0	0.0	2.0
64.0	83.0	130.0	0.0	2.0
67.0	99.0	131.0	0.0	3.0
75.0	88.0	132.0	0.0	2.0
78.0	109.0	133.0	0.0	3.0
84.0	101.0	134.0	0.0	3.0
85.0	112.0	135.0	0.0	3.0
86.0	129.0	136.0	0.0	3.0
90.0	92.0	137.0	0.0	2.0
91.0	116.0	138.0	0.0	3.0
93.0	102.0	139.0	0.0	3.0
95.0	117.0	140.0	0.0	3.0
98.0	113.0	141.0	0.0	3.0
100.0	123.0	142.0	0.0	4.0
104.0	124.0	143.0	0.0	4.0
108.0	125.0	144.0	0.0	4.0
110.0	118.0	145.0	0.0	4.0
111.0	130.0	146.0	0.0	4.0
127.0	132.0	147.0	0.0	4.0
137.0	146.0	148.0	0.0	6.0
141.0	147.0	149.0	0.0	7.0
0.0	94.0	150.0	1.0	2.0
16.0	121.0	151.0	1.0	3.0
31.0	82.0	152.0	1.0	2.0
38.0	52.0	153.0	1.0	2.0
41.0	140.0	154.0	1.0	4.0
58.0	138.0	155.0	1.0	4.0
71.0	122.0	156.0	1.0	3.0
87.0	114.0	157.0	1.0	3.0
103.0	134.0	158.0	1.0	5.0
105.0	131.0	159.0	1.0	5.0
107.0	119.0	160.0	1.0	4.0
115.0	148.0	161.0	1.0	8.0
126.0	142.0	162.0	1.0	7.0
128.0	133.0	163.0	1.0	5.0
136.0	143.0	164.0	1.0	7.0
144.0	149.0	165.0	1.0	11.0
49.0	154.0	166.0	1.25	5.0
79.0	155.0	167.0	1.25	5.0
145.0	162.0	168.0	1.4286	11.0
69.0	153.0	169.0	1.5	3.0
135.0	159.0	170.0	1.6	8.0
139.0	158.0	171.0	1.6	8.0
160.0	161.0	172.0	1.75	12.0
164.0	165.0	173.0	1.7922	18.0
157.0	168.0	174.0	2.4242	14.0
12.0	150.0	175.0	2.5	3.0
97.0	152.0	176.0	2.5	3.0
163.0	173.0	177.0	2.7333	23.0
166.0	169.0	178.0	3.0	8.0
151.0	167.0	179.0	3.3333	8.0
175.0	178.0	180.0	4.4583	11.0
174.0	177.0	181.0	4.6894	37.0
96.0	172.0	182.0	5.3333	13.0
156.0	170.0	183.0	5.3333	11.0
27.0	80.0	184.0	6.0	2.0
65.0	179.0	185.0	7.25	9.0
176.0	180.0	186.0	7.4242	14.0
181.0	182.0	187.0	7.5904	50.0
171.0	186.0	188.0	9.5	22.0
72.0	106.0	189.0	15.0	3.0
187.0	188.0	190.0	16.5055	72.0
184.0	185.0	191.0	17.4444	11.0
183.0	191.0	192.0	24.2727	22.0
190.0	192.0	193.0	41.0076	94.0
76.0	189.0	194.0	62.0	4.0
193.0	194.0	195.0	134.3191	98.0
89.0	195.0	196.0	15656.3367	99.0
