cluster1	cluster2	clusterNew	distance	size
0.0	69.0	99.0	0.0	2.0
2.0	21.0	100.0	0.0	2.0
3.0	49.0	101.0	0.0	2.0
4.0	46.0	102.0	0.0	2.0
5.0	9.0	103.0	0.0	2.0
6.0	14.0	104.0	0.0	2.0
8.0	81.0	105.0	0.0	2.0
10.0	43.0	106.0	0.0	2.0
13.0	33.0	107.0	0.0	2.0
15.0	59.0	108.0	0.0	2.0
16.0	65.0	109.0	0.0	2.0
19.0	28.0	110.0	0.0	2.0
20.0	35.0	111.0	0.0	2.0
22.0	39.0	112.0	0.0	2.0
23.0	40.0	113.0	0.0	2.0
24.0	25.0	114.0	0.0	2.0
27.0	53.0	115.0	0.0	2.0
30.0	70.0	116.0	0.0	2.0
32.0	56.0	117.0	0.0	2.0
34.0	80.0	118.0	0.0	2.0
36.0	60.0	119.0	0.0	2.0
38.0	41.0	120.0	0.0	2.0
44.0	90.0	121.0	0.0	2.0
48.0	78.0	122.0	0.0	2.0
51.0	114.0	123.0	0.0	3.0
52.0	82.0	124.0	0.0	2.0
54.0	84.0	125.0	0.0	2.0
62.0	110.0	126.0	0.0	3.0
63.0	67.0	127.0	0.0	2.0
72.0	91.0	128.0	0.0	2.0
73.0	104.0	129.0	0.0	3.0
74.0	106.0	130.0	0.0	3.0
79.0	113.0	131.0	0.0	3.0
83.0	87.0	132.0	0.0	2.0
85.0	108.0	133.0	0.0	3.0
93.0	118.0	134.0	0.0	3.0
95.0	98.0	135.0	0.0	2.0
107.0	122.0	136.0	0.0	4.0
111.0	127.0	137.0	0.0	4.0
120.0	124.0	138.0	0.0	4.0
129.0	137.0	139.0	0.0	7.0
1.0	102.0	140.0	1.0	3.0
7.0	135.0	141.0	1.0	3.0
11.0	47.0	142.0	1.0	2.0
12.0	131.0	143.0	1.0	4.0
17.0	26.0	144.0	1.0	2.0
18.0	45.0	145.0	1.0	2.0
29.0	125.0	146.0	1.0	3.0
31.0	138.0	147.0	1.0	5.0
42.0	99.0	148.0	1.0	3.0
50.0	116.0	149.0	1.0	3.0
64.0	112.0	150.0	1.0	3.0
75.0	103.0	151.0	1.0	3.0
76.0	109.0	152.0	1.0	3.0
77.0	100.0	153.0	1.0	3.0
88.0	97.0	154.0	1.0	2.0
89.0	128.0	155.0	1.0	3.0
96.0	126.0	156.0	1.0	4.0
101.0	130.0	157.0	1.0	5.0
105.0	117.0	158.0	1.0	4.0
115.0	134.0	159.0	1.0	5.0
121.0	139.0	160.0	1.0	9.0
132.0	136.0	161.0	1.0	6.0
133.0	160.0	162.0	1.2222	12.0
123.0	156.0	163.0	1.25	7.0
141.0	147.0	164.0	1.5333	8.0
119.0	153.0	165.0	1.6667	5.0
155.0	157.0	166.0	1.7333	8.0
142.0	159.0	167.0	1.9	7.0
57.0	61.0	168.0	2.0	2.0
149.0	161.0	169.0	2.0	9.0
150.0	163.0	170.0	2.381	10.0
92.0	144.0	171.0	2.5	3.0
145.0	162.0	172.0	2.5833	14.0
151.0	169.0	173.0	2.6667	12.0
148.0	166.0	174.0	3.0833	11.0
66.0	152.0	175.0	3.3333	4.0
167.0	171.0	176.0	3.4762	10.0
94.0	154.0	177.0	3.5	3.0
140.0	158.0	178.0	3.8333	7.0
55.0	58.0	179.0	4.0	2.0
68.0	71.0	180.0	4.0	2.0
165.0	174.0	181.0	4.0909	16.0
168.0	172.0	182.0	4.2857	16.0
146.0	170.0	183.0	4.3333	13.0
173.0	176.0	184.0	6.5667	22.0
143.0	178.0	185.0	6.6071	11.0
164.0	177.0	186.0	6.9583	11.0
175.0	179.0	187.0	7.5	6.0
180.0	182.0	188.0	9.25	18.0
183.0	186.0	189.0	9.2727	24.0
184.0	188.0	190.0	13.096	40.0
185.0	187.0	191.0	14.5455	17.0
181.0	189.0	192.0	19.9375	40.0
37.0	191.0	193.0	25.4118	18.0
190.0	193.0	194.0	33.425	58.0
86.0	192.0	195.0	37.775	41.0
194.0	195.0	196.0	72.0946	99.0
