cluster1	cluster2	clusterNew	distance	size
0.0	49.0	99.0	0.0	2.0
3.0	28.0	100.0	0.0	2.0
5.0	80.0	101.0	0.0	2.0
10.0	61.0	102.0	0.0	2.0
12.0	53.0	103.0	0.0	2.0
13.0	73.0	104.0	0.0	2.0
17.0	92.0	105.0	0.0	2.0
19.0	29.0	106.0	0.0	2.0
22.0	96.0	107.0	0.0	2.0
24.0	51.0	108.0	0.0	2.0
30.0	83.0	109.0	0.0	2.0
31.0	38.0	110.0	0.0	2.0
36.0	43.0	111.0	0.0	2.0
41.0	84.0	112.0	0.0	2.0
42.0	91.0	113.0	0.0	2.0
45.0	63.0	114.0	0.0	2.0
46.0	71.0	115.0	0.0	2.0
52.0	74.0	116.0	0.0	2.0
56.0	79.0	117.0	0.0	2.0
57.0	93.0	118.0	0.0	2.0
58.0	89.0	119.0	0.0	2.0
60.0	111.0	120.0	0.0	3.0
62.0	99.0	121.0	0.0	3.0
64.0	82.0	122.0	0.0	2.0
75.0	104.0	123.0	0.0	3.0
86.0	108.0	124.0	0.0	3.0
88.0	95.0	125.0	0.0	2.0
110.0	116.0	126.0	0.0	4.0
125.0	126.0	127.0	0.0	6.0
1.0	23.0	128.0	1.0	2.0
2.0	44.0	129.0	1.0	2.0
4.0	103.0	130.0	1.0	3.0
6.0	20.0	131.0	1.0	2.0
9.0	35.0	132.0	1.0	2.0
18.0	59.0	133.0	1.0	2.0
21.0	102.0	134.0	1.0	3.0
25.0	69.0	135.0	1.0	2.0
26.0	54.0	136.0	1.0	2.0
33.0	70.0	137.0	1.0	2.0
50.0	113.0	138.0	1.0	3.0
67.0	115.0	139.0	1.0	3.0
77.0	98.0	140.0	1.0	2.0
97.0	122.0	141.0	1.0	3.0
100.0	112.0	142.0	1.0	4.0
106.0	124.0	143.0	1.0	5.0
109.0	120.0	144.0	1.0	5.0
127.0	141.0	145.0	1.3333	9.0
14.0	131.0	146.0	1.5	3.0
37.0	128.0	147.0	1.5	3.0
78.0	136.0	148.0	1.5	3.0
85.0	133.0	149.0	1.5	3.0
121.0	135.0	150.0	1.5	5.0
138.0	140.0	151.0	1.8333	5.0
7.0	118.0	152.0	2.0	3.0
11.0	47.0	153.0	2.0	2.0
55.0	117.0	154.0	2.0	3.0
87.0	101.0	155.0	2.0	3.0
132.0	137.0	156.0	2.0	4.0
129.0	144.0	157.0	2.1	7.0
139.0	146.0	158.0	2.3333	6.0
143.0	148.0	159.0	2.4	8.0
94.0	145.0	160.0	2.4444	10.0
107.0	142.0	161.0	2.5	6.0
39.0	150.0	162.0	2.6	6.0
32.0	40.0	163.0	3.0	2.0
72.0	105.0	164.0	3.0	3.0
81.0	147.0	165.0	3.0	4.0
90.0	114.0	166.0	3.0	3.0
34.0	159.0	167.0	3.5	9.0
130.0	153.0	168.0	3.6667	5.0
65.0	76.0	169.0	4.0	2.0
134.0	151.0	170.0	4.0667	8.0
8.0	165.0	171.0	4.75	5.0
155.0	156.0	172.0	4.8333	7.0
149.0	157.0	173.0	5.0	10.0
160.0	162.0	174.0	6.0333	16.0
152.0	168.0	175.0	6.1333	8.0
123.0	158.0	176.0	6.1667	9.0
68.0	163.0	177.0	6.5	3.0
27.0	166.0	178.0	7.0	4.0
119.0	172.0	179.0	7.5714	9.0
164.0	167.0	180.0	8.8889	12.0
170.0	173.0	181.0	9.375	18.0
48.0	175.0	182.0	9.5	9.0
161.0	174.0	183.0	10.6042	22.0
16.0	171.0	184.0	12.8	6.0
66.0	179.0	185.0	13.8889	10.0
15.0	176.0	186.0	14.1111	10.0
180.0	182.0	187.0	14.8889	21.0
178.0	186.0	188.0	16.05	14.0
181.0	183.0	189.0	18.2879	40.0
169.0	184.0	190.0	27.6667	8.0
187.0	189.0	191.0	37.7726	61.0
185.0	188.0	192.0	38.2143	24.0
177.0	192.0	193.0	69.125	27.0
154.0	190.0	194.0	72.0833	11.0
191.0	193.0	195.0	94.6102	88.0
194.0	195.0	196.0	255.6023	99.0
