cluster1	cluster2	clusterNew	distance	size
2.0	21.0	99.0	0.0	2.0
3.0	22.0	100.0	0.0	2.0
6.0	45.0	101.0	0.0	2.0
7.0	19.0	102.0	0.0	2.0
8.0	32.0	103.0	0.0	2.0
11.0	63.0	104.0	0.0	2.0
13.0	44.0	105.0	0.0	2.0
15.0	55.0	106.0	0.0	2.0
18.0	27.0	107.0	0.0	2.0
24.0	29.0	108.0	0.0	2.0
25.0	49.0	109.0	0.0	2.0
28.0	38.0	110.0	0.0	2.0
33.0	89.0	111.0	0.0	2.0
34.0	93.0	112.0	0.0	2.0
36.0	72.0	113.0	0.0	2.0
39.0	77.0	114.0	0.0	2.0
42.0	98.0	115.0	0.0	2.0
47.0	48.0	116.0	0.0	2.0
50.0	78.0	117.0	0.0	2.0
51.0	64.0	118.0	0.0	2.0
52.0	110.0	119.0	0.0	3.0
53.0	116.0	120.0	0.0	3.0
56.0	75.0	121.0	0.0	2.0
61.0	106.0	122.0	0.0	3.0
62.0	82.0	123.0	0.0	2.0
83.0	104.0	124.0	0.0	3.0
88.0	96.0	125.0	0.0	2.0
92.0	101.0	126.0	0.0	3.0
99.0	114.0	127.0	0.0	4.0
102.0	108.0	128.0	0.0	4.0
109.0	125.0	129.0	0.0	4.0
0.0	91.0	130.0	1.0	2.0
1.0	117.0	131.0	1.0	3.0
4.0	60.0	132.0	1.0	2.0
5.0	87.0	133.0	1.0	2.0
10.0	43.0	134.0	1.0	2.0
14.0	26.0	135.0	1.0	2.0
16.0	90.0	136.0	1.0	2.0
17.0	71.0	137.0	1.0	2.0
20.0	57.0	138.0	1.0	2.0
31.0	123.0	139.0	1.0	3.0
59.0	100.0	140.0	1.0	3.0
68.0	85.0	141.0	1.0	2.0
73.0	81.0	142.0	1.0	2.0
74.0	129.0	143.0	1.0	5.0
86.0	97.0	144.0	1.0	2.0
94.0	122.0	145.0	1.0	4.0
115.0	127.0	146.0	1.0	6.0
120.0	124.0	147.0	1.0	6.0
118.0	143.0	148.0	1.2	7.0
126.0	145.0	149.0	1.25	7.0
95.0	131.0	150.0	1.3333	4.0
119.0	139.0	151.0	1.3333	6.0
37.0	135.0	152.0	1.5	3.0
105.0	138.0	153.0	1.5	4.0
113.0	130.0	154.0	1.5	4.0
140.0	146.0	155.0	1.6667	9.0
9.0	35.0	156.0	2.0	2.0
41.0	84.0	157.0	2.0	2.0
65.0	76.0	158.0	2.0	2.0
70.0	111.0	159.0	2.0	3.0
112.0	128.0	160.0	2.0	6.0
132.0	134.0	161.0	2.0	4.0
147.0	149.0	162.0	2.2143	13.0
40.0	141.0	163.0	2.5	3.0
136.0	150.0	164.0	2.5	6.0
133.0	159.0	165.0	3.1667	5.0
107.0	153.0	166.0	3.25	6.0
54.0	144.0	167.0	3.5	3.0
151.0	164.0	168.0	3.5	12.0
66.0	154.0	169.0	3.75	5.0
103.0	163.0	170.0	4.6667	5.0
152.0	166.0	171.0	4.8333	9.0
148.0	169.0	172.0	4.8571	12.0
12.0	156.0	173.0	5.0	3.0
58.0	121.0	174.0	5.0	3.0
46.0	137.0	175.0	5.5	3.0
30.0	69.0	176.0	6.0	2.0
142.0	168.0	177.0	6.5833	14.0
79.0	162.0	178.0	6.6923	14.0
155.0	172.0	179.0	6.9444	21.0
165.0	173.0	180.0	8.2667	8.0
67.0	175.0	181.0	8.3333	4.0
177.0	178.0	182.0	8.6429	28.0
170.0	171.0	183.0	8.9778	14.0
160.0	167.0	184.0	10.0	9.0
158.0	181.0	185.0	11.75	6.0
176.0	179.0	186.0	13.1905	23.0
23.0	180.0	187.0	14.5	9.0
80.0	174.0	188.0	16.6667	4.0
161.0	187.0	189.0	17.6111	13.0
184.0	186.0	190.0	17.6232	32.0
157.0	185.0	191.0	21.1667	8.0
182.0	183.0	192.0	23.9643	42.0
188.0	190.0	193.0	45.5	36.0
191.0	192.0	194.0	50.5774	50.0
193.0	194.0	195.0	63.6956	86.0
189.0	195.0	196.0	128.2844	99.0
