	b1	a1	b2	b3	a2	b4	a3	b5	a4	b6	a5
YKL154W	0.0088875	0.01747	0.06575555555555555	0.0237	0.24071666666666666	0.004085714285714285	0.02789375	0.0	0.07031818181818182	0.0	0.09024444444444445
YDL192W	0.018525	0.13357	0.017614285714285714	0.023685714285714286	0.27368333333333333	0.01612857142857143	0.15477333333333335	0.0	0.1754111111111111	0.0	0.20046666666666665
YMR138W	0.0359875	0.04175	0.08387142857142857	0.030357142857142857	0.23579999999999998	0.004757142857142857	0.18836666666666665	0.0	0.18856666666666666	0.042575	0.08673333333333333
YOR094W	0.007575	0.04529999999999999	0.058300000000000005	0.019999999999999997	0.11825000000000001	0.004328571428571429	0.07324666666666667	0.003485714285714286	0.10175555555555556	0.0	0.06471111111111111
YBR164C	0.025687499999999995	0.02901	0.05644285714285714	0.027771428571428575	0.17654999999999998	0.014414285714285715	0.15006666666666665	0.011485714285714285	0.09333333333333334	0.008325	0.1552888888888889
YHR022C	0.0048125	0.024079999999999997	0.02297142857142857	0.0135	0.0906	0.0053	0.14109999999999998	0.007371428571428571	0.15804285714285712	0.011375	0.06385555555555555
YOR185C	0.0	0.10153000000000001	0.0381	0.013185714285714285	0.0	0.006728571428571429	0.09993999999999999	0.016114285714285713	0.16725	0.04025	0.11518888888888888
YLR293C	0.0	0.02141	0.04964285714285714	0.031871428571428564	0.1251833333333333	0.022614285714285715	0.08603333333333334	0.036028571428571424	0.13533333333333333	0.008325	0.12190000000000002
YFL005W	0.016475	0.054669999999999996	0.04532857142857143	0.032214285714285716	0.2930833333333333	0.025385714285714286	0.12363333333333332	0.02347142857142857	0.2992142857142857	0.03785	0.05093333333333333
YCR027C	0.019058333333333333	0.02591	0.04171428571428572	0.029314285714285713	0.13098333333333334	0.004457142857142857	0.1699875	0.0	0.16258571428571428	0.02315	0.08552222222222222
YFL038C	0.009112499999999999	0.051269999999999996	0.02197142857142857	0.025599999999999994	0.1464	0.018657142857142855	0.19197333333333333	0.019657142857142856	0.5637714285714287	0.07014999999999999	0.028122222222222222
YBR264C	0.0043125	0.06094999999999999	0.026071428571428575	0.034928571428571434	0.19555	0.0071	0.17534000000000002	0.0034000000000000002	0.2545571428571428	0.030350000000000002	0.1219777777777778
YKR014C	0.0040375	0.05891	0.06474285714285713	0.05881428571428571	0.05418333333333333	0.018728571428571428	0.07589333333333334	0.04034285714285714	0.31085714285714283	0.0	0.09994444444444445
YNL093W	0.0040375	0.053180000000000005	0.0	0.015357142857142857	0.08944999999999999	0.0	0.1323	0.0	0.3019857142857143	0.05207500000000001	0.09668888888888888
YNL090W	0.0032875	0.07613	0.018942857142857143	0.01842857142857143	0.023933333333333334	0.0029142857142857143	0.07179374999999999	0.0	0.24114285714285713	0.010425	0.08517000000000001
YOR089C	0.0043125	0.053259999999999995	0.0251	0.027285714285714285	0.05285	0.01352857142857143	0.11964666666666667	0.026185714285714288	0.17268571428571428	0.046125	0.1346111111111111
