start_ss	ss	pos	val
other	a1	1	0.01
other	a1	2	0.014
other	a1	3	0.017
other	a1	4	0.024
other	a1	5	0.045
other	a1	6	0.059
other	a1	7	0.08
other	a1	8	0.094
other	a1	9	0.101
other	a1	10	0.121
other	a1	11	0.132
other	a1	12	0.142
other	a1	13	0.163
other	a1	14	0.17
other	a1	15	0.177
other	a1	16	0.187
other	a1	17	0.198
other	a1	18	0.212
other	a1	19	0.219
other	a1	20	0.222
other	a1	21	0.243
other	a1	22	0.257
other	a1	23	0.274
other	a1	24	0.302
other	a1	25	0.312
other	a1	26	0.326
other	a1	27	0.337
other	a1	28	0.347
other	a1	29	0.361
other	a1	30	0.368
other	a1	31	0.389
other	a1	32	0.41
other	a1	33	0.423
other	a1	34	0.437
other	a1	35	0.451
other	a1	36	0.462
other	a1	37	0.472
other	a1	38	0.486
other	a1	39	0.507
other	a1	40	0.517
other	a1	41	0.524
other	a1	42	0.545
other	a1	43	0.562
other	a1	44	0.569
other	a1	45	0.58
other	a1	46	0.59
other	a1	47	0.593
other	a1	48	0.6
other	a1	49	0.611
other	a1	50	0.621
other	a1	51	0.632
other	a1	52	0.639
other	a1	53	0.639
other	a1	54	0.639
other	a1	55	0.646
other	a1	56	0.656
other	a1	57	0.663
other	a1	58	0.666
other	a1	59	0.677
other	a1	60	0.68
other	a1	61	0.684
other	a1	62	0.684
other	a1	63	0.684
other	a1	64	0.687
other	a1	65	0.705
other	a1	66	0.708
other	a1	67	0.715
other	a1	68	0.715
other	a1	69	0.725
other	a1	70	0.736
other	a1	71	0.736
other	a1	72	0.743
other	a1	73	0.75
other	a1	74	0.753
other	a1	75	0.76
other	a1	76	0.774
other	a1	77	0.784
other	a1	78	0.795
other	a1	79	0.798
other	a1	80	0.802
other	a1	81	0.816
other	a1	82	0.826
other	a1	83	0.84
other	a1	84	0.847
other	a1	85	0.854
other	a1	86	0.861
other	a1	87	0.868
other	a1	88	0.888
other	a1	89	0.902
other	a1	90	0.913
other	a1	91	0.923
other	a1	92	0.934
other	a1	93	0.941
other	a1	94	0.958
other	a1	95	0.972
other	a1	96	0.986
other	a1	97	1.003
other	a1	98	1.003
other	a1	99	1.003
other	a2	1	0.01
other	a2	2	0.015
other	a2	3	0.02
other	a2	4	0.024
other	a2	5	0.039
other	a2	6	0.044
other	a2	7	0.059
other	a2	8	0.068
other	a2	9	0.078
other	a2	10	0.083
other	a2	11	0.088
other	a2	12	0.088
other	a2	13	0.103
other	a2	14	0.107
other	a2	15	0.127
other	a2	16	0.146
other	a2	17	0.156
other	a2	18	0.166
other	a2	19	0.181
other	a2	20	0.181
other	a2	21	0.186
other	a2	22	0.186
other	a2	23	0.19
other	a2	24	0.205
other	a2	25	0.225
other	a2	26	0.249
other	a2	27	0.249
other	a2	28	0.254
other	a2	29	0.269
other	a2	30	0.273
other	a2	31	0.278
other	a2	32	0.278
other	a2	33	0.293
other	a2	34	0.298
other	a2	35	0.322
other	a2	36	0.327
other	a2	37	0.327
other	a2	38	0.332
other	a2	39	0.332
other	a2	40	0.337
other	a2	41	0.342
other	a2	42	0.356
other	a2	43	0.361
other	a2	44	0.366
other	a2	45	0.391
other	a2	46	0.415
other	a2	47	0.435
other	a2	48	0.444
other	a2	49	0.464
other	a2	50	0.474
other	a2	51	0.483
other	a2	52	0.483
other	a2	53	0.493
other	a2	54	0.513
other	a2	55	0.518
other	a2	56	0.527
other	a2	57	0.532
other	a2	58	0.552
other	a2	59	0.557
other	a2	60	0.571
other	a2	61	0.591
other	a2	62	0.601
other	a2	63	0.61
other	a2	64	0.62
other	a2	65	0.625
other	a2	66	0.635
other	a2	67	0.659
other	a2	68	0.664
other	a2	69	0.679
other	a2	70	0.693
other	a2	71	0.718
other	a2	72	0.723
other	a2	73	0.732
other	a2	74	0.752
other	a2	75	0.776
other	a2	76	0.791
other	a2	77	0.801
other	a2	78	0.806
other	a2	79	0.815
other	a2	80	0.835
other	a2	81	0.845
other	a2	82	0.845
other	a2	83	0.854
other	a2	84	0.874
other	a2	85	0.889
other	a2	86	0.898
other	a2	87	0.903
other	a2	88	0.908
other	a2	89	0.918
other	a2	90	0.937
other	a2	91	0.942
other	a2	92	0.957
other	a2	93	0.967
other	a2	94	0.967
other	a2	95	0.967
other	a2	96	0.976
other	a2	97	0.991
other	a2	98	0.996
other	a2	99	0.996
other	a3	1	0.044
other	a3	2	0.077
other	a3	3	0.088
other	a3	4	0.098
other	a3	5	0.106
other	a3	6	0.12
other	a3	7	0.139
other	a3	8	0.146
other	a3	9	0.153
other	a3	10	0.16
other	a3	11	0.171
other	a3	12	0.179
other	a3	13	0.182
other	a3	14	0.193
other	a3	15	0.201
other	a3	16	0.215
other	a3	17	0.222
other	a3	18	0.233
other	a3	19	0.237
other	a3	20	0.244
other	a3	21	0.252
other	a3	22	0.263
other	a3	23	0.266
other	a3	24	0.266
other	a3	25	0.281
other	a3	26	0.284
other	a3	27	0.31
other	a3	28	0.321
other	a3	29	0.325
other	a3	30	0.336
other	a3	31	0.346
other	a3	32	0.361
other	a3	33	0.368
other	a3	34	0.376
other	a3	35	0.387
other	a3	36	0.401
other	a3	37	0.419
other	a3	38	0.438
other	a3	39	0.449
other	a3	40	0.452
other	a3	41	0.467
other	a3	42	0.478
other	a3	43	0.489
other	a3	44	0.507
other	a3	45	0.518
other	a3	46	0.525
other	a3	47	0.54
other	a3	48	0.547
