start_ss	ss	auc	auc_sd
other	a1	54.47088235294115	15.130325457727178
other	a2	48.223000000000006	10.788910804754165
other	a3	54.056705882352944	10.744564589019548
other	a4	44.48529411764706	22.371811404124838
other	a5	57.80188235294119	10.932860353794474
other	b1	53.28529411764708	18.48905045366583
other	b2	49.26311764705881	24.539904803215205
other	b3	54.671999999999976	22.962061910387536
other	b4	45.64247058823529	7.992251527850529
other	b5	44.16882352941178	15.41309503688072
other	b6	45.06829411764704	20.137946836652624
other	none	47.43294117647059	5.883088589293977
a3	a1	46.357142857142826	11.837614958805046
a3	a2	43.44378095238097	11.587470305283533
a3	a3	64.20129523809526	8.757993655783244
a3	a4	65.01547619047619	18.230123677502913
a3	a5	61.850666666666676	11.314724675788135
a3	b1	39.72471428571428	9.918507228038555
a3	b2	37.61333333333332	17.4937238790246
a3	b3	37.68335238095238	16.007121032591023
a3	b4	49.96710476190477	6.238986352229878
a3	b5	52.819285714285726	11.288286036093037
a3	b6	55.60043809523809	16.069959717805204
a3	none	51.42160000000002	4.870415055354991
a2/b2	a1	64.38015342465752	9.49725536955509
a2/b2	a2	54.605131506849325	8.75362589823597
a2/b2	a3	46.835989041095885	8.428953697065682
a2/b2	a4	32.4972602739726	13.509604372524032
a2/b2	a5	54.58741917808218	9.719227274779115
a2/b2	b1	55.7167808219178	10.963951454024574
a2/b2	b2	80.3098684931507	13.496915620222948
a2/b2	b3	70.88159452054784	14.630905436264046
a2/b2	b4	41.988958904109595	5.840154579579177
a2/b2	b5	33.68157534246576	7.5023964060401775
a2/b2	b6	32.10425479452053	10.452747675644721
a2/b2	none	42.92719452054796	4.155736189231763
a5	a1	53.51447499999999	12.685815139991652
a5	a2	43.57430833333334	11.74563396493624
a5	a3	51.74675000000003	8.837064839121274
a5	a4	47.610416666666666	17.63056341961469
a5	a5	72.31256666666668	13.739267421478079
a5	b1	46.51537499999999	13.369454639564582
a5	b2	46.917325000000005	22.934123423101255
a5	b3	47.43879166666665	22.690144425277015
a5	b4	47.56254166666668	6.588922634993568
a5	b5	46.42143750000001	12.62914803623324
a5	b6	51.96460416666665	19.868255326168313
a5	none	45.53207500000001	5.118376989929685
a1	a1	66.29040963855418	11.731857969757282
a1	a2	49.40300000000002	9.958600303255473
a1	a3	48.29800000000001	8.413177964947588
a1	a4	36.00903614457831	16.66592122855151
a1	a5	57.23334939759038	13.017621943761178
a1	b1	52.319277108433745	12.390431212109046
a1	b2	71.22230120481925	25.146383587142
a1	b3	63.17212048192768	21.25295836268933
a1	b4	43.19638554216866	7.318677110416747
a1	b5	36.553012048192784	10.73876131320664
a1	b6	37.20571084337348	16.69308441871556
a1	none	45.24197590361445	4.5393321359406205
a4/b5	a1	46.23153658536584	11.035542821747036
a4/b5	a2	43.5729756097561	10.952494910087959
a4/b5	a3	61.6537073170732	9.842156541010292
a4/b5	a4	67.90548780487805	13.282053397158636
a4/b5	a5	59.18517073170737	11.792814025048786
a4/b5	b1	39.20487804878049	7.191506125352434
a4/b5	b2	41.39834146341462	18.835111607029468
a4/b5	b3	40.31112195121951	14.742745182689458
a4/b5	b4	47.86239024390244	6.180569714358958
a4/b5	b5	54.85939024390244	10.673625586687162
a4/b5	b6	53.0802926829268	15.561689091411354
a4/b5	none	52.045170731707316	4.023703499128568
