traj	start	end	mindist	last_bp	refold
YOR089C_43	2403	2494	13	2470	0
YOR089C_54	3862	4533	117	3973	0
YOR089C_39	3848	4056	12	4006	0
YOR089C_67	2102	2469	43	2234	0
YOR089C_38	5797	6492	86	6394	0
YOR089C_61	2693	3020	114	2862	0
YOR089C_70	5739	5918	19	5814	0
YOR089C_11	4084	4432	70	4278	0
YOR089C_32	4590	5142	82	4936	0
YOR089C_36	9322	9597	19	9498	0
YOR089C_28	1515	2470	182	1986	0
YOR089C_69	7344	7635	41	7576	0
YOR089C_56	3185	3348	19	3294	0
YOR089C_15	6959	7139	18	7125	0
YOR089C_64	814	953	22	923	0
YOR089C_10	1328	1554	46	1420	0
YOR089C_20	738	893	33	901	0
YOR089C_24	2963	3161	27	3048	0
YOR089C_12	8542	8908	51	8694	0
YOR089C_03	5594	5819	21	5779	0
YOR089C_07	4443	4636	25	4564	0
YOR089C_44	4338	4760	79	4482	0
YOR089C_52	5730	7461	661	6051	0
YOR089C_26	4132	4547	77	4293	0
YOR089C_17	6331	6407	4	6398	0
YOR089C_59	7679	8897	382	8188	0
YOR089C_02	1043	1136	5	1146	0
YOR089C_33	8467	8978	307	8596	0
YOR089C_48	5885	6524	198	6058	0
YOR089C_35	667	949	62	856	0
YOR089C_60	4472	4831	38	4710	0
YOR089C_47	6999	7145	15	7105	0
YOR089C_41	3770	4161	78	3922	0
YOR089C_27	8453	8624	25	8577	0
YNL093W_04	5827	5982	15	5950	0
YNL093W_29	2311	2471	8	2442	0
YNL093W_05	1007	1173	12	1136	0
YNL093W_38	3428	3620	19	3541	0
YNL093W_18	6536	6636	37	6562	0
YNL093W_17	1825	2005	8	2013	0
YNL093W_31	3752	3989	10	3886	0
YNL093W_52	72	230	4	217	0
YNL093W_40	1916	2158	55	2054	0
YNL093W_62	5543	5842	84	5659	0
YNL093W_65	5993	6156	2	6155	0
YNL093W_32	6048	6212	4	6204	0
YNL093W_33	3463	3788	57	3516	0
YNL093W_41	3164	3424	44	3356	0
YNL093W_16	5675	5813	13	5787	0
YNL093W_51	1115	1278	15	1210	0
YNL093W_14	3922	4323	45	4043	0
YNL093W_39	820	1060	36	1090	0
YNL093W_28	1430	1597	24	1516	0
YNL093W_35	2091	2318	27	2222	0
YNL093W_10	5430	5602	26	5617	0
YNL093W_02	640	756	16	798	0
YNL093W_64	122	353	51	287	0
YNL093W_70	4361	4575	18	4542	0
YNL093W_09	280	423	7	382	0
YNL093W_01	726	943	16	872	0
YNL093W_06	2692	2943	26	2894	0
YNL093W_15	2068	2251	7	2213	0
YNL093W_23	6520	6702	4	6711	0
YNL093W_61	7613	7827	8	7841	0
YNL093W_08	5179	5313	29	5232	0
YNL093W_67	1032	1178	6	1188	0
YNL093W_37	3206	3348	31	3265	0
YNL093W_63	7540	7710	20	7673	0
YNL093W_44	5206	5452	20	5428	0
YNL093W_48	6217	6335	10	6349	0
YNL093W_25	3461	3644	10	3597	0
YNL093W_69	5843	6235	41	5952	0
YNL093W_56	8300	8445	15	8363	0
YNL093W_54	258	393	26	429	0
YNL093W_68	1092	1319	39	1402	0
YNL093W_24	5312	5473	10	5422	0
YNL093W_34	9385	9629	26	9566	0
YNL093W_22	500	959	52	796	0
YNL093W_27	4813	5131	27	5102	0
YNL093W_07	2958	3377	110	3165	0
YNL093W_12	1116	1301	11	1264	0
YNL093W_36	3259	3645	100	3447	0
YNL093W_57	3306	3493	16	3414	0
YNL093W_49	8202	8599	175	8320	0
YNL093W_11	2478	2622	16	2643	0
YNL093W_53	3074	3245	21	3282	0
YNL093W_03	2128	2316	19	2245	0
YNL093W_47	2899	3101	28	2993	0
YNL093W_58	844	971	10	972	0
YFL038C_24	5369	5613	59	5467	0
YFL038C_47	2848	3027	4	3017	0
YFL038C_54	5163	5316	23	5269	0
YFL038C_15	2583	2721	11	2752	0
YFL038C_67	3739	3879	4	3859	0
YFL038C_32	1654	1822	3	1834	0
YFL038C_65	58	212	9	267	0
YFL038C_31	1225	1533	92	1401	0
YFL038C_33	3578	3777	9	3747	0
YFL038C_18	911	1114	13	1084	0
YFL038C_04	236	386	7	377	0
YFL038C_61	49	226	8	187	0
YFL038C_44	3407	3635	20	3530	0
YFL038C_08	6623	6824	23	6708	0
YFL038C_50	1558	1769	30	1700	0
YFL038C_56	750	1075	57	928	0
YFL038C_43	5153	5331	28	5268	0
YFL038C_63	1700	1798	5	1810	0
YFL038C_53	341	519	12	557	0
YFL038C_45	698	826	43	862	0
