#id: 3
#name: S.cerevisiae - Whole organism (Integrated)
#score: 23.39
#weight: 
#description: integrated dataset: weighted average of all S.cerevisiae WHOLE_ORGANISM datasets<br/><b>Interaction consistency score</b>: 23.39&nbsp<b>Coverage</b>: 96
#organ: WHOLE_ORGANISM
#integrated : true
#coverage: 96
#publication_year: 2015
#filename: 4932-WHOLE_ORGANISM-integrated.txt
#
internal_id	string_external_id	abundance
628802	4932.YAL008W	23.6
629327	4932.YBR255W	8.2
631339	4932.YGR164W	1.14
631300	4932.YGR131W	1.37
633899	4932.YNL003C	10.8
629194	4932.YBR135W	136
629220	4932.YBR160W	113
632130	4932.YJL082W	63.7
632194	4932.YJL142C	1.16
635138	4932.YPL191C	20.2
631108	4932.YGL215W	1.71
632530	4932.YKL074C	41.1
633382	4932.YLR467C-A	0.007
632123	4932.YJL077C	1.37
632554	4932.YKL096W-A	321
631942	4932.YIL124W	51.1
633269	4932.YLR364C-A	0.213
634980	4932.YPL039W	1.14
634078	4932.YNL170W	1.75
631032	4932.YGL141W	29.6
632232	4932.YJL179W	28.0
630165	4932.YDR316W-A	14.1
630166	4932.YDR316W-B	252
632539	4932.YKL083W	0.007
634525	4932.YOR009W	0.207
632481	4932.YKL029C	236
635111	4932.YPL166W	10.1
632505	4932.YKL052C	39.4
631569	4932.YHR025W	1032
634371	4932.YOL034W	18.7
628925	4932.YBL008W	9.55
631874	4932.YIL062C	129
629398	4932.YCL023C	1.07
634461	4932.YOL116W	6.42
630035	4932.YDR196C	21.7
634163	4932.YNL255C	1751
634287	4932.YNR032W	19.8
634301	4932.YNR045W	7.12
633502	4932.YML105C	72.5
634199	4932.YNL288W	233
631871	4932.YIL059C	1.08
631808	4932.YIL004C	6.9
634272	4932.YNR018W	125
635088	4932.YPL144W	27.7
630874	4932.YFR047C	42.8
631638	4932.YHR078W	3.72
632399	4932.YJR115W	1.91
633258	4932.YLR355C	9115
631264	4932.YGR099W	12.0
633199	4932.YLR300W	83.1
628917	4932.YBL003C	738
632425	4932.YJR140C	12.5
634552	4932.YOR033C	7.76
634582	4932.YOR062C	22.5
629089	4932.YBR043C	9.21
631674	4932.YHR112C	67.8
