traj	protein	assign	type	class
YOR089C_43	YOR089C	a1_b2	multi	a1
YOR089C_54	YOR089C	a2_b2	multi	a2/b2
YOR089C_39	YOR089C	b2	best	a2/b2
YOR089C_67	YOR089C	b2	best	a2/b2
YOR089C_38	YOR089C	a2_b2	multi	a2/b2
YOR089C_61	YOR089C	a1_b2	multi	a1
YOR089C_70	YOR089C	a5_b4	multi	a5
YOR089C_11	YOR089C	a3	best	a3
YOR089C_32	YOR089C	a5	best	a5
YOR089C_36	YOR089C	b2	best	a2/b2
YOR089C_28	YOR089C	b2	best	a2/b2
YOR089C_69	YOR089C	a2_b2	multi	a2/b2
YOR089C_56	YOR089C	a2	best	a2/b2
YOR089C_15	YOR089C	a3	best	a3
YOR089C_64	YOR089C	a2_b3	multi	a2/b2
YOR089C_10	YOR089C	a5	best	a5
YOR089C_20	YOR089C	a5	best	a5
YOR089C_24	YOR089C	a5_b4	multi	a5
YOR089C_12	YOR089C	a5	best	a5
YOR089C_03	YOR089C	a2_b2	multi	a2/b2
YOR089C_07	YOR089C	a5_b4	multi	a5
YOR089C_44	YOR089C	a5	best	a5
YOR089C_52	YOR089C	a5	best	a5
YOR089C_26	YOR089C	a2_b2	multi	a2/b2
YOR089C_17	YOR089C	a3_a4	multi	a3
YOR089C_59	YOR089C	a2_b2	multi	a2/b2
YOR089C_02	YOR089C	a1_a5	multi	a5
YOR089C_33	YOR089C	a2_b2	multi	a2/b2
YOR089C_48	YOR089C	a2_b2	multi	a2/b2
YOR089C_35	YOR089C	a2_b2	multi	a2/b2
YOR089C_60	YOR089C	a2_b2	multi	a2/b2
YOR089C_47	YOR089C	a1_b2	multi	a1
YOR089C_41	YOR089C	a2_b2	multi	a2/b2
YOR089C_27	YOR089C	b1	best	other
YNL093W_04	YNL093W	a5_b4	multi	a5
YNL093W_29	YNL093W	a5_b4	multi	a5
YNL093W_05	YNL093W	a5	best	a5
YNL093W_38	YNL093W	a5_b4	multi	a5
YNL093W_18	YNL093W	a5_b4	multi	a5
YNL093W_17	YNL093W	b1_b2	multi	a2/b2
YNL093W_31	YNL093W	b5	best	a4/b5
YNL093W_52	YNL093W	a5	best	a5
YNL093W_40	YNL093W	a5	best	a5
YNL093W_62	YNL093W	a5_b4	multi	a5
YNL093W_65	YNL093W	a5	best	a5
YNL093W_32	YNL093W	a2_b2	multi	a2/b2
YNL093W_33	YNL093W	a5_b4	multi	a5
YNL093W_41	YNL093W	a2_b2	multi	a2/b2
YNL093W_16	YNL093W	a5_b4	multi	a5
YNL093W_51	YNL093W	a5	best	a5
YNL093W_14	YNL093W	a5_b4	multi	a5
YNL093W_39	YNL093W	a5_b4	multi	a5
YNL093W_28	YNL093W	a5	best	a5
YNL093W_35	YNL093W	a5	best	a5
YNL093W_10	YNL093W	a5_b4	multi	a5
YNL093W_02	YNL093W	a2_b2	multi	a2/b2
YNL093W_64	YNL093W	a2_b2	multi	a2/b2
YNL093W_70	YNL093W	a2_b2	multi	a2/b2
YNL093W_09	YNL093W	a5	best	a5
YNL093W_01	YNL093W	a2_b2	multi	a2/b2
YNL093W_06	YNL093W	a5_b4	multi	a5
YNL093W_15	YNL093W	a5	best	a5
YNL093W_23	YNL093W	a5_b4	multi	a5
YNL093W_61	YNL093W	a1_a5	multi	a5
YNL093W_08	YNL093W	a5_b4	multi	a5
YNL093W_67	YNL093W	b1_b2	multi	a2/b2
YNL093W_37	YNL093W	a5	best	a5
YNL093W_63	YNL093W	a1_none	multi	a1
YNL093W_44	YNL093W	a5_b4	multi	a5
YNL093W_48	YNL093W	a2_b2	multi	a2/b2
YNL093W_25	YNL093W	a3	best	a3
YNL093W_69	YNL093W	a1	best	a1
YNL093W_56	YNL093W	a5_b1	multi	a5
YNL093W_54	YNL093W	a2_b2	multi	a2/b2
YNL093W_68	YNL093W	a5_b4	multi	a5
YNL093W_24	YNL093W	a5	best	a5
YNL093W_34	YNL093W	a5	best	a5
YNL093W_22	YNL093W	a5_b4	multi	a5
YNL093W_27	YNL093W	a5	best	a5
YNL093W_07	YNL093W	a2_b2	multi	a2/b2
YNL093W_12	YNL093W	b4	best	other
YNL093W_36	YNL093W	a5	best	a5
YNL093W_57	YNL093W	a5_b4	multi	a5
YNL093W_49	YNL093W	a5_b4	multi	a5
YNL093W_11	YNL093W	a2	best	a2/b2
YNL093W_53	YNL093W	a5_b4	multi	a5
YNL093W_03	YNL093W	a5	best	a5
YNL093W_47	YNL093W	a1_b2	multi	a1
YNL093W_58	YNL093W	a2_b2	multi	a2/b2
YFL038C_24	YFL038C	a2_b2	multi	a2/b2
YFL038C_47	YFL038C	a2_b2	multi	a2/b2
YFL038C_54	YFL038C	a2_b2	multi	a2/b2
YFL038C_15	YFL038C	a2	best	a2/b2
YFL038C_67	YFL038C	a2_b2	multi	a2/b2
YFL038C_32	YFL038C	a2_b2	multi	a2/b2
YFL038C_65	YFL038C	a2_b2	multi	a2/b2
YFL038C_31	YFL038C	a2_b2	multi	a2/b2
YFL038C_33	YFL038C	a2_b2	multi	a2/b2
YFL038C_18	YFL038C	a2_b2	multi	a2/b2
YFL038C_04	YFL038C	a2_b2	multi	a2/b2
YFL038C_61	YFL038C	a2_b2	multi	a2/b2
YFL038C_44	YFL038C	a2_b2	multi	a2/b2
YFL038C_08	YFL038C	a3_a4	multi	a3
YFL038C_50	YFL038C	a2_b2	multi	a2/b2
YFL038C_56	YFL038C	a5	best	a5
YFL038C_43	YFL038C	a2_b2	multi	a2/b2
YFL038C_63	YFL038C	a2_b2	multi	a2/b2
YFL038C_53	YFL038C	a2_b2	multi	a2/b2
YFL038C_45	YFL038C	a2_b2	multi	a2/b2
YFL038C_40	YFL038C	a2_b2	multi	a2/b2
YFL038C_23	YFL038C	a2_b2	multi	a2/b2
YFL038C_38	YFL038C	a2_b2	multi	a2/b2
YFL038C_39	YFL038C	a2_b2	multi	a2/b2
YFL038C_55	YFL038C	a2_b2	multi	a2/b2
YFL038C_02	YFL038C	a1_b3	multi	a1
YFL038C_14	YFL038C	a2_b2	multi	a2/b2
YFL038C_57	YFL038C	a2_b2	multi	a2/b2
YFL038C_37	YFL038C	a2_b2	multi	a2/b2
