pdb	Tf	HC	contacts
YLR293C	151.0	154.95	515
YMR138W	148.5	164.96	537
YBR164C	153.0	177.7	543
YFL038C	160.5	184.08	584
YKR014C	154.0	162.59	573
YNL090W	156.0	161.56	547
YFL005W	155.5	155.51	529
YBR264C	146.0	139.84	510
YKL154W	152.0	176.63	576
YCR027C	149.5	154.03	563
YOR185C	152.5	150.06	522
YOR089C	149.5	138.02	511
YOR094W	153.5	166.53	552
YHR022C	151.0	205.18	676
YNL093W	147.5	141.6	562
YDL192W	142.0	88.9	455
