alnA	alnB	A	B	YMR138W_22	YMR138W_66	YMR138W_24	YMR138W_46	YMR138W_42	YMR138W_49	YMR138W_11	YMR138W_17	YMR138W_37	YMR138W_19	YMR138W_31	YMR138W_21	YMR138W_62	YMR138W_35	YMR138W_18	YMR138W_03	YMR138W_07	YMR138W_53	YMR138W_69	YMR138W_15	YMR138W_67	YMR138W_41	YMR138W_43	YMR138W_55	YMR138W_12	YMR138W_44	YMR138W_23	YMR138W_64	YMR138W_05	YMR138W_51	YMR138W_08	YMR138W_45	YMR138W_10	YMR138W_38	YMR138W_65	YMR138W_56	YMR138W_04	YMR138W_09	YMR138W_48	YMR138W_34	YMR138W_33	YMR138W_29	YMR138W_26	YMR138W_58	YMR138W_30	YMR138W_06	YMR138W_59	YMR138W_54	YMR138W_63	YMR138W_02	YMR138W_27	YMR138W_36	YMR138W_68	YMR138W_32	YMR138W_39	YMR138W_60	YMR138W_52	YMR138W_28	YMR138W_16	YMR138W_70	YMR138W_25	YMR138W_57	YMR138W_14	YMR138W_61	YMR138W_50	YMR138W_01
33	167	10	60	1327.0	3260.0	836.0	1532.0	2578.0	1250.0	4364.0	8278.0	7336.0	1799.0	9180.0	9164.0	6611.0	619.0	580.0	6600.0	229.0	6691.0	4191.0	6804.0	1010.0	4707.0	1189.0	4143.0	3668.0	4109.0	2205.0	5020.0	2455.0	7156.0	1412.0	3056.0	4105.0	3413.0	1619.0	4041.0	977.0	3577.0	3422.0	6061.0	3102.0	1347.0	5483.0	3358.0	2412.0	9077.0	785.0	7829.0	1507.0	757.0	1754.0	2627.0	1513.0	225.0	5872.0	8492.0	1607.0	172.0	3901.0	6334.0	3578.0	773.0	2677.0	7669.0	3410.0	8201.0
34	167	11	60	1328.0	3261.0	836.0	1532.0	2579.0	1250.0	4362.0	8278.0	7336.0	1799.0	9179.0	9164.0	6608.0	619.0	718.0	6600.0	274.0	6691.0	4193.0	6803.0	1009.0	4707.0	1189.0	4148.0	3668.0	4108.0	2204.0	5021.0	2454.0	7157.0	1412.0	3055.0	4106.0	3413.0	1620.0	4050.0	978.0	3577.0	3423.0	6061.0	3102.0	1348.0	5484.0	3359.0	2412.0	9084.0	785.0	7830.0	1507.0	757.0	1756.0	2627.0	1524.0	226.0	5873.0	8492.0	1606.0	172.0	3902.0	6336.0	3579.0	778.0	2677.0	7635.0	3410.0	8200.0
37	167	14	60	1416.0	3265.0	835.0	1534.0	2582.0	1250.0	4358.0	8280.0	7338.0	1798.0	9143.0	9165.0	6605.0	620.0	720.0	6602.0	274.0	6691.0	4200.0	6805.0	1008.0	4708.0	1189.0	4159.0	3668.0	4102.0	2203.0	5029.0	2447.0	7157.0	1414.0	3051.0	4111.0	3414.0	1624.0	4055.0	983.0	3578.0	3426.0	6059.0	3102.0	1413.0	5488.0	3362.0	2411.0	9094.0	783.0	7832.0	1506.0	515.0	1759.0	2630.0	1536.0	228.0	5873.0	8497.0	1605.0	174.0	3906.0	6338.0	3582.0	782.0	2678.0	7636.0	3411.0	8200.0
37	169	14	62	1412.0	3265.0	834.0	1536.0	2584.0	1250.0	4356.0	8281.0	7340.0	1801.0	9180.0	9165.0	6610.0	621.0	719.0	6604.0	275.0	6692.0	4202.0	6805.0	1007.0	4710.0	1217.0	4165.0	3671.0	4100.0	2208.0	5039.0	2448.0	7159.0	1414.0	3048.0	4114.0	3412.0	1625.0	4057.0	985.0	3578.0	3430.0	6061.0	3106.0	1415.0	5492.0	3362.0	2412.0	9181.0	785.0	7834.0	1508.0	516.0	1761.0	2629.0	1536.0	228.0	5873.0	8501.0	1604.0	174.0	3908.0	6339.0	3585.0	787.0	2678.0	7658.0	3412.0	8203.0
37	203	14	86	1342.0	3052.0	795.0	1660.0	2401.0	1250.0	4320.0	8250.0	7321.0	1920.0	9174.0	9169.0	6664.0	619.0	680.0	6880.0	256.0	6679.0	4252.0	6726.0	980.0	4694.0	1177.0	4278.0	3611.0	4081.0	2277.0	4943.0	2363.0	7150.0	1356.0	3030.0	4172.0	3292.0	1706.0	4090.0	1045.0	3532.0	3437.0	6064.0	3216.0	1461.0	5337.0	3313.0	2466.0	9032.0	647.0	7846.0	1564.0	615.0	1861.0	2627.0	1513.0	252.0	5777.0	8547.0	1377.0	178.0	3844.0	6314.0	3495.0	894.0	2666.0	7661.0	3451.0	8241.0
38	167	15	60	1461.0	3266.0	834.0	1534.0	2582.0	1250.0	4358.0	8281.0	7339.0	1799.0	9182.0	9165.0	6608.0	620.0	720.0	6604.0	275.0	6692.0	4200.0	6807.0	1009.0	4711.0	1191.0	4161.0	3670.0	4102.0	2207.0	5039.0	2448.0	7158.0	1414.0	3051.0	4111.0	3419.0	1624.0	4056.0	984.0	3579.0	3428.0	6059.0	3103.0	1413.0	5489.0	3362.0	2413.0	9093.0	784.0	7833.0	1507.0	516.0	1760.0	2630.0	1536.0	228.0	5873.0	8498.0	1605.0	174.0	3907.0	6338.0	3583.0	784.0	2679.0	7665.0	3412.0	8203.0
38	168	15	61	20000.0	3266.0	834.0	1535.0	2583.0	1250.0	4357.0	8281.0	7340.0	1800.0	9182.0	9166.0	6609.0	621.0	720.0	6605.0	275.0	6692.0	4202.0	6808.0	1009.0	4712.0	1215.0	4164.0	3670.0	4099.0	2208.0	5040.0	2447.0	7160.0	1414.0	3048.0	4113.0	3418.0	1624.0	4057.0	986.0	3578.0	3430.0	6059.0	3105.0	1414.0	5491.0	3362.0	2414.0	9092.0	784.0	7834.0	1508.0	515.0	1761.0	2630.0	1536.0	228.0	5873.0	8501.0	1604.0	175.0	3907.0	6338.0	3585.0	787.0	2678.0	7664.0	3412.0	8295.0
38	169	15	62	1412.0	3266.0	834.0	1536.0	2585.0	1250.0	4357.0	8282.0	7341.0	1811.0	9181.0	9166.0	6614.0	622.0	720.0	6606.0	276.0	6693.0	4203.0	6807.0	1008.0	4712.0	1218.0	4167.0	3672.0	4100.0	2209.0	5041.0	2449.0	7159.0	1415.0	3048.0	4177.0	3414.0	1626.0	4058.0	987.0	3579.0	3432.0	6061.0	3107.0	1415.0	5493.0	3363.0	2414.0	9096.0	785.0	7835.0	1508.0	522.0	1763.0	2629.0	1537.0	229.0	5873.0	8503.0	1604.0	175.0	3911.0	6339.0	3586.0	789.0	2678.0	7660.0	3413.0	8296.0
38	203	15	86	1342.0	3176.0	802.0	1660.0	2402.0	1250.0	4321.0	8252.0	7323.0	1921.0	9176.0	9170.0	6666.0	619.0	681.0	6882.0	257.0	6820.0	4253.0	6726.0	981.0	4693.0	1179.0	4278.0	3605.0	4081.0	2276.0	4944.0	2364.0	7150.0	1357.0	3048.0	4173.0	3293.0	1707.0	4089.0	1046.0	3533.0	3474.0	6065.0	3216.0	1461.0	5338.0	3315.0	2468.0	9035.0	648.0	7847.0	1564.0	615.0	1861.0	2627.0	1513.0	253.0	5778.0	8546.0	1378.0	179.0	3847.0	6315.0	3497.0	895.0	2667.0	7664.0	3450.0	8241.0
38	204	15	87	1341.0	3176.0	795.0	1660.0	2404.0	1250.0	4320.0	8251.0	7319.0	1921.0	9176.0	9170.0	6666.0	618.0	682.0	6883.0	256.0	6820.0	4254.0	6727.0	981.0	4691.0	1180.0	4279.0	3605.0	4081.0	2277.0	4944.0	2368.0	7150.0	1357.0	3049.0	4174.0	3293.0	1707.0	4087.0	1047.0	3532.0	3473.0	6064.0	3186.0	1461.0	5337.0	3313.0	2467.0	9034.0	647.0	7846.0	1564.0	616.0	1861.0	2627.0	1513.0	252.0	5777.0	8533.0	1378.0	180.0	3847.0	6315.0	3495.0	896.0	2666.0	7662.0	3451.0	8241.0
