alnA	alnB	A	B	YOR094W_63	YOR094W_09	YOR094W_48	YOR094W_26	YOR094W_32	YOR094W_02	YOR094W_39	YOR094W_20	YOR094W_22	YOR094W_10	YOR094W_03	YOR094W_56	YOR094W_17	YOR094W_29	YOR094W_49	YOR094W_16	YOR094W_33	YOR094W_47	YOR094W_07	YOR094W_18	YOR094W_37	YOR094W_57	YOR094W_14	YOR094W_59	YOR094W_11	YOR094W_67	YOR094W_13	YOR094W_19	YOR094W_55	YOR094W_12	YOR094W_70	YOR094W_66	YOR094W_15	YOR094W_06	YOR094W_21	YOR094W_62	YOR094W_31	YOR094W_36	YOR094W_51	YOR094W_45	YOR094W_04	YOR094W_23	YOR094W_01	YOR094W_52	YOR094W_64
33	167	12	58	8956.0	7896.0	425.0	4797.0	3211.0	1161.0	3474.0	5314.0	7176.0	7079.0	2287.0	6230.0	1385.0	8140.0	1804.0	2523.0	2020.0	3409.0	3763.0	97.0	436.0	5067.0	4141.0	2213.0	7365.0	7353.0	2253.0	5920.0	2074.0	339.0	3624.0	2310.0	1569.0	1557.0	431.0	8313.0	4280.0	4423.0	3020.0	7431.0	6675.0	4238.0	695.0	7632.0	2537.0
34	167	13	58	8957.0	7897.0	425.0	4797.0	3210.0	1162.0	3472.0	5315.0	7177.0	7078.0	2288.0	6230.0	1385.0	8141.0	1805.0	2523.0	2020.0	3409.0	3762.0	97.0	436.0	5068.0	4141.0	2213.0	7369.0	7353.0	2254.0	5920.0	2073.0	339.0	3625.0	2310.0	1569.0	1557.0	432.0	8317.0	4279.0	4423.0	3022.0	7431.0	6674.0	4238.0	695.0	7632.0	2538.0
37	167	15	58	8961.0	7900.0	429.0	4799.0	3211.0	1237.0	3473.0	5318.0	7179.0	7078.0	2290.0	6230.0	1386.0	8141.0	1808.0	2524.0	2022.0	3410.0	3762.0	96.0	437.0	5075.0	4141.0	2214.0	7372.0	7354.0	2258.0	5925.0	2074.0	342.0	3626.0	2311.0	1572.0	1559.0	434.0	8332.0	4279.0	4425.0	3035.0	7436.0	6697.0	4241.0	697.0	7634.0	2541.0
37	169	15	60	8961.0	7901.0	432.0	4800.0	3211.0	1233.0	3475.0	5321.0	7179.0	7076.0	2293.0	6231.0	1388.0	8143.0	1811.0	2526.0	2091.0	3412.0	3763.0	98.0	438.0	5077.0	4138.0	2215.0	7375.0	7355.0	2263.0	5928.0	2077.0	342.0	3627.0	2311.0	1574.0	1557.0	437.0	8338.0	4302.0	4425.0	3038.0	7438.0	6696.0	4243.0	696.0	7635.0	2542.0
37	203	15	84	8912.0	7965.0	374.0	4807.0	3274.0	1119.0	3329.0	5402.0	7126.0	6965.0	2280.0	6065.0	1439.0	8123.0	1758.0	2554.0	2007.0	3416.0	3752.0	88.0	367.0	5046.0	4040.0	2070.0	7380.0	7371.0	2319.0	5887.0	2103.0	289.0	3657.0	2261.0	1512.0	1553.0	388.0	8355.0	4245.0	4397.0	2943.0	7416.0	6634.0	4233.0	690.0	7617.0	2404.0
38	167	16	58	8962.0	7901.0	430.0	4800.0	3214.0	1237.0	3474.0	5321.0	7180.0	7078.0	2292.0	6231.0	1387.0	8141.0	1809.0	2525.0	2024.0	3411.0	3761.0	96.0	438.0	5079.0	4141.0	2223.0	7374.0	7355.0	2261.0	5927.0	2075.0	343.0	3627.0	2311.0	1574.0	1560.0	437.0	8338.0	4279.0	4425.0	3038.0	7437.0	6697.0	4243.0	697.0	7636.0	2541.0
38	168	16	59	8962.0	7901.0	431.0	4800.0	3214.0	1233.0	3475.0	5322.0	7180.0	7077.0	2294.0	6231.0	1388.0	8142.0	1809.0	2526.0	2090.0	3412.0	3762.0	97.0	439.0	5126.0	4139.0	2222.0	7374.0	7356.0	2263.0	5928.0	2076.0	344.0	3627.0	2310.0	1575.0	1559.0	438.0	8338.0	4302.0	4426.0	3039.0	7438.0	6697.0	4244.0	697.0	7636.0	2542.0
38	169	16	60	8962.0	7902.0	433.0	4802.0	3213.0	1234.0	3476.0	5323.0	7180.0	7076.0	2295.0	6231.0	1389.0	8142.0	1812.0	2526.0	2092.0	3412.0	3763.0	98.0	440.0	5083.0	4138.0	2221.0	7376.0	7356.0	2337.0	5929.0	2077.0	344.0	3628.0	2311.0	1575.0	1558.0	399.0	8340.0	4303.0	4425.0	3041.0	7440.0	6697.0	4245.0	697.0	7636.0	2543.0
38	203	16	84	8913.0	7965.0	376.0	4808.0	3274.0	1120.0	3331.0	5403.0	7128.0	6967.0	2281.0	6066.0	1440.0	8125.0	1758.0	2582.0	2009.0	3416.0	3754.0	88.0	369.0	5048.0	4106.0	2071.0	7382.0	7379.0	2321.0	5888.0	2104.0	291.0	3658.0	2263.0	1512.0	1554.0	389.0	8357.0	4247.0	4398.0	2945.0	7417.0	6635.0	4233.0	691.0	7616.0	2405.0
38	204	16	85	8912.0	7965.0	377.0	4808.0	3274.0	1119.0	3330.0	5400.0	7128.0	6966.0	2277.0	6065.0	1412.0	8124.0	1757.0	2554.0	2007.0	3417.0	3753.0	88.0	370.0	5051.0	4040.0	2071.0	7381.0	7384.0	2320.0	5888.0	2104.0	290.0	3659.0	2262.0	1512.0	1553.0	389.0	8355.0	4247.0	4398.0	2945.0	7416.0	6634.0	4232.0	690.0	7615.0	2404.0
