pdb	substr	N	C	Nunfold	Cunfold	mean	mean_N	mean_C	mean_Np	mean_Cp	d70_N	d70_C	d70_Np	d70_Cp	mean_middle	d70_middle
YOR089C	1	6	42	0.588	0.382	0.324	0.713	0.152	0.713	0.083	5.700529718507897	0.0	5.700529718507897	0.0	0.381	33.44122837121188
YNL093W	0	11	44	0.291	0.691	0.316	0.756	0.332	0.741	0.126	7.408415059862666	0.0	9.833450257983651	0.0	0.34	23.566975599553135
YFL038C	1	7	40	0.912	0.088	0.324	0.721	0.222	0.721	0.13	6.489817112241964	0.0	6.489817112241964	0.5225784043732893	0.36	24.993656048770344
YDL192W	0	16	7	0.046	0.938	0.415	0.513	0.189	0.4	0.189	1.9025752710468593	0.0	7.1306384842790065	0.0	0.421	35.25371048276221
YFL005W	1	19	38	0.743	0.257	0.336	0.39	0.275	0.524	0.225	3.7909867052199955	0.7492173442506187	4.34596908309433	4.836263692320164	0.362	26.423743244707207
YKR014C	1	2	44	0.881	0.104	0.212	0.627	0.094	0.627	0.082	2.5099258458951432	0.0	2.5099258458951432	0.0	0.24	14.45809200162169
YOR094W	0	16	8	0.244	0.689	0.42	0.513	0.341	0.471	0.342	2.6229886669359126	0.0	6.157811257570854	0.0	0.414	35.137607952925975
YHR022C	0	21	14	0.92	0.08	0.442	0.452	0.649	0.149	0.607	0.0	5.899376591589469	8.47418891906322	9.328016474871026	0.426	52.09486177065614
YCR027C	1	11	23	0.022	0.978	0.401	0.423	0.401	0.474	0.295	2.2572596834627072	1.1681559179375096	2.2572596834627072	2.9348179673961563	0.417	39.26501301243957
YKL154W	0	37	0	0.469	0.51	0.381	0.601	0.251	0.353	0.251	0.0	0.0	17.82493190720987	0.0	0.338	32.024087428375296
YBR264C	1	3	34	0.846	0.138	0.41	0.514	0.592	0.514	0.365	1.3176749547846112	5.580785082414838	1.3176749547846112	11.013958973373487	0.419	39.08544465131977
YLR293C	1	11	52	0.643	0.304	0.4	0.287	0.613	0.223	0.323	0.0	6.2633200431187666	1.035868827113228	10.83701686976992	0.443	39.68922134785495
YOR185C	1	12	52	0.765	0.235	0.4	0.287	0.613	0.235	0.325	0.0	6.2633200431187666	0.5255486573026596	10.83701686976992	0.443	39.68922134785495
YBR164C	1	17	8	0.276	0.655	0.406	0.515	0.201	0.511	0.211	3.8027499009488666	0.0	7.407168965297922	0.0	0.408	35.096496365406345
YNL090W	1	6	17	0.298	0.681	0.371	0.462	0.167	0.462	0.265	1.1037830397723103	0.0	1.1037830397723103	1.3449531494456937	0.381	35.27987539823519
YMR138W	1	15	7	0.197	0.773	0.417	0.494	0.108	0.393	0.108	1.8123205677919767	0.0	5.80128307686753	0.0	0.432	45.63277518792194
