alnA	alnB	A	B	YBR164C_13	YBR164C_53	YBR164C_52	YBR164C_43	YBR164C_04	YBR164C_03	YBR164C_46	YBR164C_10	YBR164C_01	YBR164C_47	YBR164C_59	YBR164C_49	YBR164C_28	YBR164C_37	YBR164C_44	YBR164C_11	YBR164C_27	YBR164C_56	YBR164C_38	YBR164C_06	YBR164C_15	YBR164C_33	YBR164C_51	YBR164C_14	YBR164C_08	YBR164C_48	YBR164C_57	YBR164C_62	YBR164C_70
33	167	12	59	6472.0	386.0	2068.0	492.0	1101.0	5380.0	3590.0	1437.0	1273.0	6433.0	706.0	7579.0	3032.0	4169.0	8392.0	1646.0	8309.0	4406.0	1352.0	1163.0	7301.0	4470.0	8917.0	5573.0	6337.0	9253.0	6568.0	3370.0	9586.0
34	167	13	59	6470.0	387.0	2068.0	493.0	1101.0	5379.0	3592.0	1437.0	1273.0	6435.0	705.0	7578.0	3032.0	4169.0	8393.0	1646.0	8308.0	4433.0	1353.0	1162.0	7300.0	4470.0	8917.0	5573.0	6337.0	9332.0	6573.0	3502.0	9586.0
37	167	16	59	6471.0	411.0	2071.0	495.0	1105.0	5377.0	3596.0	1442.0	1274.0	6435.0	704.0	7577.0	3031.0	4178.0	8398.0	1647.0	8309.0	4470.0	1417.0	1158.0	7300.0	4474.0	8917.0	5572.0	6338.0	9332.0	6566.0	3510.0	9585.0
37	169	16	61	6472.0	383.0	2070.0	494.0	1108.0	5378.0	3598.0	1443.0	1274.0	6437.0	694.0	7576.0	3033.0	4108.0	8508.0	1647.0	8308.0	4470.0	1425.0	1158.0	7301.0	4476.0	8919.0	5574.0	6339.0	9286.0	6665.0	3511.0	9586.0
37	203	16	85	6529.0	335.0	2044.0	456.0	1189.0	5348.0	3501.0	1425.0	1199.0	6465.0	680.0	7553.0	3078.0	4109.0	8408.0	1646.0	8256.0	4432.0	1491.0	1152.0	7332.0	4563.0	8975.0	5579.0	6395.0	9282.0	6647.0	3535.0	9597.0
38	167	17	59	6471.0	386.0	2108.0	496.0	1105.0	5378.0	3597.0	1443.0	1275.0	6435.0	705.0	7578.0	3032.0	4179.0	8399.0	1648.0	8309.0	4470.0	1417.0	1159.0	7300.0	4475.0	8917.0	5571.0	6340.0	9292.0	6565.0	3510.0	9586.0
38	168	17	60	6471.0	386.0	2108.0	494.0	1102.0	5280.0	3598.0	1443.0	1275.0	6435.0	707.0	7577.0	3033.0	4107.0	8509.0	1647.0	8309.0	4470.0	1419.0	1159.0	7300.0	4477.0	8917.0	5572.0	6341.0	9287.0	6563.0	3511.0	9585.0
38	169	17	61	6473.0	383.0	2109.0	495.0	1108.0	5378.0	3599.0	1444.0	1275.0	6436.0	694.0	7576.0	3034.0	4106.0	8508.0	1648.0	8309.0	4470.0	1426.0	1158.0	7301.0	4477.0	8919.0	5573.0	6341.0	9285.0	6566.0	3511.0	9586.0
38	203	17	85	6529.0	338.0	2048.0	457.0	1190.0	5350.0	3503.0	1434.0	1264.0	6466.0	680.0	7553.0	3086.0	4109.0	8410.0	1647.0	8257.0	4433.0	1492.0	1152.0	7332.0	4564.0	8980.0	5581.0	6397.0	9281.0	6645.0	3535.0	9597.0
38	204	17	86	6528.0	336.0	2048.0	457.0	1189.0	5350.0	3500.0	1434.0	1201.0	6466.0	680.0	7553.0	3084.0	4108.0	8408.0	1646.0	8256.0	4432.0	1491.0	1152.0	7333.0	4564.0	8978.0	5580.0	6397.0	9281.0	6643.0	3534.0	9597.0
38	389	17	172	6528.0	329.0	1901.0	324.0	1161.0	5254.0	3407.0	1363.0	997.0	6360.0	637.0	7494.0	3099.0	4043.0	8357.0	1521.0	8211.0	4314.0	1257.0	1077.0	7255.0	4435.0	8639.0	5460.0	6212.0	9265.0	6564.0	3351.0	9462.0
38	390	17	173	6530.0	329.0	1925.0	325.0	1161.0	5253.0	3409.0	1365.0	996.0	6356.0	636.0	7493.0	3098.0	4043.0	8357.0	1519.0	8211.0	4313.0	1258.0	1076.0	7256.0	4437.0	8639.0	5460.0	6211.0	9265.0	6565.0	3352.0	9462.0
38	170	17	62	6475.0	382.0	2109.0	495.0	1152.0	5280.0	3599.0	1445.0	1274.0	6436.0	693.0	7575.0	3035.0	4102.0	8506.0	1647.0	8307.0	4470.0	1441.0	1157.0	7301.0	4477.0	8966.0	5574.0	6341.0	9282.0	6665.0	3512.0	9586.0
43	203	18	85	6531.0	339.0	2050.0	457.0	1191.0	5351.0	3504.0	1435.0	1264.0	6469.0	682.0	7554.0	3233.0	4109.0	8412.0	1647.0	8258.0	4434.0	1494.0	1152.0	7332.0	4566.0	8989.0	5582.0	6407.0	9282.0	6642.0	3474.0	9597.0
43	169	18	61	6474.0	382.0	2109.0	496.0	1106.0	5378.0	3600.0	1445.0	1275.0	6437.0	708.0	7576.0	3035.0	4100.0	8508.0	1649.0	8310.0	4470.0	1438.0	1157.0	7302.0	4479.0	8919.0	5573.0	6342.0	9285.0	6563.0	3511.0	9586.0
43	198	18	83	6534.0	345.0	2047.0	457.0	1192.0	5350.0	3506.0	1437.0	1264.0	6466.0	679.0	7553.0	3078.0	4108.0	8413.0	1647.0	8259.0	4435.0	1498.0	1152.0	7330.0	4564.0	9029.0	5583.0	6397.0	9283.0	6644.0	3472.0	9596.0
43	202	18	84	6532.0	341.0	2050.0	457.0	1191.0	5350.0	3505.0	1436.0	1264.0	6467.0	681.0	7553.0	3200.0	4109.0	8412.0	1648.0	8258.0	4435.0	1496.0	1153.0	7331.0	4565.0	8990.0	5583.0	6405.0	9283.0	6643.0	3474.0	9597.0
43	171	18	63	6526.0	377.0	2110.0	495.0	1153.0	5279.0	3615.0	1446.0	1275.0	6437.0	691.0	7564.0	3038.0	4095.0	8505.0	1648.0	8307.0	4471.0	1476.0	1154.0	7303.0	4479.0	8972.0	5574.0	6342.0	9281.0	6668.0	3512.0	9586.0
43	204	18	86	6530.0	338.0	2050.0	457.0	1190.0	5351.0	3502.0	1435.0	1263.0	6469.0	681.0	7553.0	3087.0	4109.0	8411.0	1646.0	8257.0	4433.0	1491.0	1152.0	7333.0	4566.0	8982.0	5581.0	6407.0	9281.0	6641.0	3476.0	9597.0
44	169	19	61	6474.0	381.0	2111.0	496.0	1102.0	5287.0	3609.0	1446.0	1276.0	6437.0	715.0	7577.0	3036.0	4096.0	8509.0	1650.0	8312.0	4470.0	1439.0	1157.0	7302.0	4480.0	8967.0	5572.0	6343.0	9286.0	6562.0	3510.0	9587.0
