Orf1	Orf2	Sc	RMS	Len1	Len2	Aling	Nfit	SeqID
YNL090W	YOR089C	6.31	1.19	192	210	195	163	35.19
YNL090W	YNL093W	6.08	1.28	192	220	212	165	29.38
YNL090W	YKR014C	5.66	1.28	192	234	201	164	33.33
YNL090W	YFL038C	5.55	1.49	192	206	208	150	31.03
YNL090W	YBR264C	5.22	1.45	192	199	211	137	27.48
YNL090W	YHR022C	4.44	1.46	192	256	248	149	25.35
YNL090W	YOR185C	4.93	1.44	192	220	183	148	30.00
YNL090W	YLR293C	4.91	1.43	192	219	179	147	30.56
YNL090W	YFL005W	4.94	1.57	192	215	187	145	28.99
YNL090W	YCR027C	5.19	1.67	192	209	215	146	25.71
YNL090W	YOR094W	4.26	1.87	192	183	201	115	15.32
YNL090W	YBR164C	4.19	1.91	192	183	210	113	18.10
YNL090W	YDL192W	4.00	2.10	192	181	214	112	22.12
YNL090W	YMR138W	3.75	1.84	192	191	213	108	17.82
YNL090W	YKL154W	3.38	1.87	192	244	231	122	16.10
YOR089C	YNL093W	5.79	0.96	210	220	202	167	65.45
YOR089C	YKR014C	5.31	1.08	210	234	207	163	59.51
YOR089C	YFL038C	5.14	1.45	210	206	187	149	38.46
YOR089C	YBR264C	4.94	1.54	210	199	192	144	39.57
YOR089C	YHR022C	4.28	1.44	210	256	244	155	30.82
YOR089C	YOR185C	4.69	1.38	210	220	176	151	36.24
YOR089C	YLR293C	4.70	1.39	210	219	173	152	36.84
YOR089C	YFL005W	5.02	1.48	210	215	214	148	40.69
YOR089C	YCR027C	4.83	1.52	210	209	207	142	30.66
YOR089C	YOR094W	3.82	1.75	210	183	197	109	17.65
YOR089C	YBR164C	3.70	1.76	210	183	199	106	23.00
YOR089C	YDL192W	3.54	2.09	210	181	195	108	17.31
YOR089C	YMR138W	3.37	1.76	210	191	210	102	28.57
YOR089C	YKL154W	2.93	1.99	210	244	222	117	13.27
YNL093W	YKR014C	5.25	1.09	220	234	238	165	59.63
YNL093W	YFL038C	5.28	1.46	220	206	223	151	31.69
YNL093W	YBR264C	4.81	1.50	220	199	203	142	44.93
YNL093W	YHR022C	4.09	1.49	220	256	264	153	27.08
YNL093W	YOR185C	4.45	1.48	220	220	199	152	38.51
YNL093W	YLR293C	4.45	1.45	220	219	197	151	38.78
YNL093W	YFL005W	4.54	1.50	220	215	216	142	37.23
YNL093W	YCR027C	4.60	1.60	220	209	213	146	25.36
YNL093W	YOR094W	3.70	1.94	220	183	221	112	18.35
YNL093W	YBR164C	3.65	1.90	220	183	221	110	23.30
YNL093W	YDL192W	3.53	2.12	220	181	232	113	18.69
YNL093W	YMR138W	3.27	1.86	220	191	212	104	27.84
YNL093W	YKL154W	2.87	2.03	220	244	224	123	14.29
YKR014C	YFL038C	4.79	1.45	234	206	234	148	31.69
YKR014C	YBR264C	4.65	1.53	234	199	218	141	41.09
YKR014C	YHR022C	3.98	1.41	234	256	262	152	27.21
YKR014C	YOR185C	4.03	1.53	234	220	196	147	34.93
YKR014C	YLR293C	4.11	1.50	234	219	197	149	35.14
YKR014C	YFL005W	4.19	1.48	234	215	209	145	34.53
YKR014C	YCR027C	4.30	1.69	234	209	235	144	26.28
YKR014C	YOR094W	3.53	1.96	234	183	219	116	20.18
YKR014C	YBR164C	3.44	2.00	234	183	218	117	24.11
YKR014C	YDL192W	3.30	2.09	234	181	218	110	21.57
YKR014C	YMR138W	3.21	1.87	234	191	231	107	25.74
YKR014C	YKL154W	2.81	1.93	234	244	246	117	15.32
YFL038C	YBR264C	7.38	1.20	206	199	198	179	29.21
YFL038C	YHR022C	4.19	1.65	206	256	240	149	23.94
YFL038C	YOR185C	4.50	1.32	206	220	173	140	28.57
YFL038C	YLR293C	4.53	1.35	206	219	171	141	28.57
YFL038C	YFL005W	5.36	1.12	206	215	175	156	51.28
YFL038C	YCR027C	5.38	1.53	206	209	205	152	28.86
YFL038C	YOR094W	4.01	1.95	206	183	198	119	18.75
YFL038C	YBR164C	3.99	1.97	206	183	197	120	22.64
YFL038C	YDL192W	3.69	2.07	206	181	206	108	21.57
YFL038C	YMR138W	3.54	1.73	206	191	210	107	16.16
YFL038C	YKL154W	2.75	1.91	206	244	222	109	23.16
YBR264C	YHR022C	4.24	1.59	199	256	246	142	22.31
YBR264C	YOR185C	4.33	1.24	199	220	180	133	29.13
YBR264C	YLR293C	4.41	1.35	199	219	177	133	28.46
YBR264C	YFL005W	5.01	1.25	199	215	182	144	33.57
YBR264C	YCR027C	5.30	1.39	199	209	210	146	22.38
YBR264C	YOR094W	4.01	1.68	199	183	206	110	20.39
YBR264C	YBR164C	3.93	1.80	199	183	202	112	23.30
YBR264C	YDL192W	3.69	1.89	199	181	202	105	18.63
YBR264C	YMR138W	3.57	1.70	199	191	218	107	23.08
YBR264C	YKL154W	2.83	1.75	199	244	231	105	15.62
YHR022C	YOR185C	3.78	1.59	256	220	240	145	27.01
YHR022C	YLR293C	3.66	1.60	256	219	231	142	27.14
YHR022C	YFL005W	4.08	1.63	256	215	245	144	23.19
YHR022C	YCR027C	4.38	1.74	256	209	271	151	23.91
YHR022C	YOR094W	3.54	1.84	256	183	255	123	15.04
YHR022C	YBR164C	3.42	1.80	256	183	254	119	17.09
YHR022C	YDL192W	3.29	2.01	256	181	248	117	12.96
YHR022C	YMR138W	3.17	1.72	256	191	265	110	16.19
YHR022C	YKL154W	2.65	1.90	256	244	275	115	25.00
YOR185C	YLR293C	6.49	1.01	220	219	191	178	99.43
YOR185C	YFL005W	4.25	1.59	220	215	184	141	30.47
YOR185C	YCR027C	4.36	1.52	220	209	197	134	23.39
YOR185C	YOR094W	3.63	1.78	220	183	192	114	18.18
YOR185C	YBR164C	3.52	1.55	220	183	192	107	20.41
YOR185C	YDL192W	3.42	1.90	220	181	189	108	22.43
YOR185C	YMR138W	3.25	1.66	220	191	200	106	15.53
YOR185C	YKL154W	2.82	1.90	220	244	219	117	17.39
YLR293C	YFL005W	4.24	1.51	219	215	172	137	29.46
YLR293C	YCR027C	4.20	1.56	219	209	194	136	23.08
YLR293C	YOR094W	3.56	1.84	219	183	190	117	18.02
YLR293C	YBR164C	3.49	1.75	219	183	189	110	21.36
YLR293C	YDL192W	3.38	2.02	219	181	186	111	21.62
YLR293C	YMR138W	3.27	1.75	219	191	201	110	15.38
YLR293C	YKL154W	2.82	2.05	219	244	216	123	16.52
YFL005W	YCR027C	5.29	1.35	215	209	212	155	37.58
YFL005W	YOR094W	3.84	1.91	215	183	191	117	18.58
YFL005W	YBR164C	3.79	1.84	215	183	194	113	31.48
YFL005W	YDL192W	3.67	2.02	215	181	201	115	21.62
YFL005W	YMR138W	3.44	1.81	215	191	208	109	18.00
YFL005W	YKL154W	2.71	1.85	215	244	221	109	22.11
YCR027C	YOR094W	3.96	1.86	209	183	220	113	16.19
YCR027C	YBR164C	3.91	1.98	209	183	219	113	14.02
YCR027C	YDL192W	3.70	2.06	209	181	215	112	16.00
YCR027C	YMR138W	3.67	1.79	209	191	228	104	20.83
YCR027C	YKL154W	2.74	2.04	209	244	233	107	17.39
YOR094W	YBR164C	8.62	1.09	183	183	186	175	47.43
YOR094W	YDL192W	6.85	1.67	183	181	188	153	52.98
YOR094W	YMR138W	7.71	1.19	183	191	195	170	30.54
YOR094W	YKL154W	3.64	1.47	183	244	223	120	23.48
YBR164C	YDL192W	6.96	1.79	183	181	186	155	56.67
YBR164C	YMR138W	7.57	1.25	183	191	196	166	31.71
YBR164C	YKL154W	3.45	1.87	183	244	221	122	24.79
YDL192W	YMR138W	6.26	1.67	181	191	197	148	28.97
YDL192W	YKL154W	3.31	1.66	181	244	224	109	23.23
