alnA	alnB	A	B	YLR293C_13	YLR293C_32	YLR293C_09	YLR293C_29	YLR293C_27	YLR293C_39	YLR293C_69	YLR293C_56	YLR293C_65	YLR293C_52	YLR293C_44	YLR293C_03	YLR293C_24	YLR293C_68	YLR293C_22	YLR293C_02	YLR293C_63	YLR293C_05	YLR293C_06	YLR293C_67	YLR293C_17	YLR293C_40	YLR293C_55	YLR293C_23	YLR293C_11	YLR293C_14	YLR293C_36	YLR293C_10	YLR293C_31	YLR293C_42	YLR293C_15	YLR293C_66	YLR293C_30	YLR293C_34	YLR293C_50	YLR293C_28	YLR293C_38	YLR293C_45	YLR293C_04	YLR293C_59	YLR293C_26	YLR293C_57	YLR293C_61	YLR293C_53	YLR293C_33	YLR293C_18	YLR293C_62	YLR293C_01	YLR293C_20	YLR293C_60	YLR293C_48	YLR293C_47	YLR293C_37	YLR293C_43	YLR293C_46	YLR293C_41
33	167	8	60	6336.0	945.0	7860.0	473.0	3574.0	943.0	2163.0	702.0	7653.0	2446.0	2453.0	348.0	2780.0	8886.0	1537.0	1435.0	3094.0	4507.0	7891.0	1939.0	1585.0	2834.0	8302.0	2007.0	1257.0	1414.0	3927.0	193.0	9212.0	1375.0	9058.0	2403.0	1311.0	2726.0	490.0	1537.0	4186.0	4240.0	8083.0	8966.0	2906.0	1504.0	947.0	9845.0	3133.0	1154.0	1638.0	4939.0	2285.0	8652.0	7480.0	9902.0	694.0	7440.0	5253.0	1495.0
34	167	9	60	6336.0	945.0	7860.0	471.0	3575.0	946.0	2164.0	702.0	7654.0	2445.0	2453.0	356.0	2779.0	8888.0	1540.0	1435.0	3098.0	4507.0	7893.0	1939.0	1587.0	2835.0	8304.0	2008.0	1255.0	1413.0	3926.0	194.0	9212.0	1375.0	9061.0	2403.0	1311.0	2726.0	490.0	1539.0	4187.0	4241.0	8085.0	8967.0	2907.0	1505.0	946.0	9846.0	3132.0	1154.0	1639.0	4943.0	2286.0	8652.0	7482.0	9904.0	695.0	7439.0	5256.0	1495.0
37	167	10	60	6336.0	946.0	7860.0	470.0	3599.0	948.0	2166.0	702.0	7654.0	2445.0	2454.0	357.0	2779.0	8888.0	1586.0	1433.0	3098.0	4506.0	7895.0	1940.0	1589.0	2842.0	8304.0	2008.0	1253.0	1413.0	3926.0	194.0	9213.0	1351.0	9065.0	2404.0	1311.0	2727.0	490.0	1590.0	4187.0	4241.0	8086.0	8968.0	2909.0	1507.0	945.0	9847.0	3131.0	1153.0	1639.0	5023.0	2286.0	8658.0	7483.0	9905.0	695.0	7437.0	5256.0	1496.0
37	169	10	62	6337.0	947.0	7864.0	479.0	3597.0	947.0	2181.0	718.0	7661.0	2446.0	2454.0	357.0	2782.0	8893.0	1540.0	1437.0	3098.0	4505.0	7887.0	1940.0	1589.0	2843.0	8311.0	2010.0	1257.0	1414.0	3928.0	195.0	9213.0	1376.0	9078.0	2404.0	1315.0	2726.0	492.0	1592.0	4187.0	4242.0	8083.0	8976.0	2906.0	1510.0	947.0	9847.0	3134.0	1155.0	1640.0	5029.0	2287.0	8709.0	7485.0	9907.0	694.0	7440.0	5256.0	1496.0
37	203	10	84	6401.0	1008.0	7931.0	502.0	3611.0	1016.0	2271.0	745.0	7704.0	2574.0	2452.0	326.0	2790.0	8853.0	1559.0	1480.0	3107.0	4468.0	7983.0	1917.0	1629.0	2833.0	8386.0	1986.0	1272.0	1455.0	3973.0	491.0	9522.0	1436.0	9118.0	2388.0	1399.0	2834.0	501.0	1584.0	4182.0	4225.0	8185.0	9028.0	3024.0	1710.0	972.0	9939.0	3222.0	1129.0	1749.0	4939.0	2312.0	8797.0	7501.0	9889.0	740.0	7485.0	5271.0	1509.0
38	167	11	60	6339.0	947.0	7859.0	469.0	3600.0	950.0	2168.0	702.0	7656.0	2444.0	2455.0	359.0	2779.0	8888.0	1587.0	1432.0	3100.0	4505.0	7913.0	1940.0	1590.0	2844.0	8304.0	2008.0	1252.0	1413.0	3926.0	195.0	9212.0	1345.0	9068.0	2405.0	1311.0	2727.0	490.0	1539.0	4188.0	4242.0	8087.0	8969.0	2910.0	1509.0	944.0	9846.0	3130.0	1153.0	1639.0	5030.0	2287.0	8659.0	7484.0	9906.0	695.0	7436.0	5257.0	1495.0
38	168	11	61	6339.0	947.0	7860.0	473.0	3599.0	950.0	2171.0	716.0	7662.0	2445.0	2455.0	358.0	2780.0	8890.0	1587.0	1434.0	3099.0	4504.0	7914.0	1940.0	1590.0	2844.0	8309.0	2010.0	1254.0	1413.0	3927.0	195.0	9213.0	1376.0	9076.0	2405.0	1313.0	2727.0	491.0	1592.0	4187.0	4242.0	8086.0	8973.0	2908.0	1510.0	945.0	9846.0	3132.0	1154.0	1640.0	5031.0	2288.0	8660.0	7485.0	9907.0	695.0	7437.0	5257.0	1496.0
38	169	11	62	6340.0	948.0	7861.0	480.0	3599.0	949.0	2199.0	718.0	7665.0	2445.0	2454.0	358.0	2781.0	8893.0	1542.0	1436.0	3099.0	4503.0	7889.0	1939.0	1591.0	2845.0	8313.0	2011.0	1257.0	1414.0	3928.0	196.0	9214.0	1375.0	9078.0	2404.0	1407.0	2727.0	492.0	1593.0	4187.0	4242.0	8084.0	8978.0	2907.0	1511.0	946.0	9847.0	3134.0	1155.0	1641.0	5031.0	2288.0	8714.0	7487.0	9908.0	695.0	7439.0	5257.0	1496.0
38	203	11	84	6401.0	1009.0	7933.0	502.0	3612.0	1018.0	2272.0	805.0	7705.0	2575.0	2452.0	328.0	2791.0	8855.0	1561.0	1481.0	3109.0	4471.0	7984.0	1919.0	1631.0	2835.0	8387.0	1987.0	1275.0	1455.0	3973.0	493.0	9523.0	1437.0	9119.0	2389.0	1399.0	2832.0	504.0	1585.0	4183.0	4228.0	8185.0	9030.0	3026.0	1709.0	979.0	9940.0	3224.0	1130.0	1749.0	4940.0	2313.0	8798.0	7502.0	9890.0	741.0	7484.0	5272.0	1510.0
38	204	11	85	6401.0	1010.0	7933.0	499.0	3612.0	1017.0	2272.0	805.0	7705.0	2575.0	2452.0	327.0	2790.0	8854.0	1561.0	1480.0	3108.0	4471.0	7983.0	1918.0	1630.0	2833.0	8388.0	1988.0	1275.0	1456.0	3973.0	491.0	9523.0	1437.0	9118.0	2387.0	1397.0	2832.0	504.0	1585.0	4183.0	4225.0	8184.0	9030.0	3027.0	1709.0	977.0	9940.0	3224.0	1130.0	1749.0	4940.0	2313.0	8800.0	7502.0	9889.0	740.0	7484.0	5272.0	1511.0
38	389	11	164	6401.0	1008.0	7934.0	486.0	3547.0	1025.0	2227.0	744.0	7680.0	2575.0	2448.0	297.0	2706.0	8841.0	1567.0	1471.0	3048.0	4461.0	7869.0	1921.0	1613.0	2838.0	8380.0	2003.0	1279.0	1455.0	3959.0	319.0	9507.0	1416.0	9067.0	2369.0	1360.0	2744.0	463.0	1535.0	4176.0	4258.0	8057.0	8964.0	3014.0	1742.0	920.0	9858.0	3220.0	1125.0	1686.0	4936.0	2255.0	8806.0	7439.0	9880.0	729.0	7442.0	5231.0	1452.0
38	390	11	165	6402.0	1008.0	7934.0	488.0	3545.0	1024.0	2231.0	748.0	7681.0	2575.0	2447.0	298.0	2706.0	8841.0	1567.0	1472.0	3047.0	4461.0	7868.0	1920.0	1615.0	2836.0	8380.0	1969.0	1279.0	1456.0	3960.0	318.0	9507.0	1419.0	9066.0	2370.0	1368.0	2744.0	465.0	1537.0	4176.0	4259.0	8056.0	8964.0	3013.0	1742.0	918.0	9869.0	3221.0	1127.0	1688.0	4937.0	2256.0	8828.0	7436.0	9876.0	728.0	7444.0	5232.0	1451.0
38	170	11	63	6345.0	948.0	7864.0	481.0	3598.0	948.0	2217.0	720.0	7668.0	2445.0	2454.0	357.0	2783.0	8894.0	1540.0	1438.0	3099.0	4502.0	7883.0	1938.0	1591.0	2845.0	8315.0	2012.0	1275.0	1414.0	3929.0	196.0	9213.0	1375.0	9080.0	2404.0	1405.0	2726.0	491.0	1593.0	4186.0	4242.0	8083.0	8980.0	2904.0	1511.0	947.0	9847.0	3135.0	1155.0	1641.0	5031.0	2289.0	8717.0	7488.0	9909.0	695.0	7441.0	5256.0	1496.0
