pdb	b1	b2	b3	b4	b5	b6	a1	a2	a3	a4	a5	none
YOR089C	63	31	63	70	63	35	59	25	68	26	49	198
YNL093W	61	32	63	68	59	32	62	27	72	20	46	182
YFL038C	70	33	56	69	62	33	68	39	73	25	54	190
YDL192W	63	33	53	63	57	27	45	32	55	20	32	188
YFL005W	68	28	59	66	63	31	67	35	65	26	52	182
YKR014C	62	31	64	69	63	35	62	29	75	29	51	182
YOR094W	67	28	56	63	67	23	49	31	60	21	46	201
YHR022C	67	27	59	65	59	33	62	32	57	22	46	199
YCR027C	62	34	65	62	53	33	68	31	60	20	49	173
YKL154W	69	33	56	68	63	24	55	36	61	19	57	189
YBR264C	61	29	58	66	60	30	53	33	65	17	45	179
YLR293C	64	35	63	70	61	31	56	28	72	22	54	190
YOR185C	65	32	62	72	62	34	57	31	73	24	57	189
YBR164C	67	32	54	59	63	25	55	27	56	21	46	197
YNL090W	65	37	62	71	61	33	68	36	78	20	62	193
YMR138W	68	27	54	63	60	27	57	24	49	18	44	179
