pdb	substr	abundance	agg	unfold	Tf	N_aln
YOR089C	1	138.0	5935.525042576985	0.6470588235294118	149.5	244
YNL093W	0	8.7	7245.608087162677	0.41818181818181815	147.5	254
YFL038C	1	65.0	4765.875521956125	0.24561403508771928	160.5	256
YDL192W	0	472.0	6907.359741893619	0.9384615384615385	142.0	254
YFL005W	1	138.0	6112.561117182204	0.3142857142857143	155.5	281
YKR014C	1	267.0	7565.965189846474	0.4925373134328358	154.0	248
YOR094W	0	221.0	6803.420923339254	0.37777777777777777	153.5	261
YHR022C	0	1.33	3330.0406703741037	0.66	151.0	238
YCR027C	1	24.2	4027.0773762522945	0.2	149.5	252
YKL154W	0	108.0	11710.062706313169	0.24489795918367346	152.0	266
YBR264C	1	16.3	6209.257713223955	0.5230769230769231	146.0	232
YLR293C	1	385.0	3278.0081232740704	0.5	151.0	261
YOR185C	1	665.0	3176.056505934281	0.5098039215686274	152.5	263
YBR164C	1	85.1	7902.029194250021	0.27586206896551724	153.0	256
YNL090W	1	53.1	6889.084557135377	0.2978723404255319	156.0	254
YMR138W	1	8.28	5073.900054979952	0.3484848484848485	148.5	241
