alnA	alnB	A	B	YKL154W_10	YKL154W_16	YKL154W_65	YKL154W_01	YKL154W_05	YKL154W_20	YKL154W_04	YKL154W_48	YKL154W_31	YKL154W_13	YKL154W_32	YKL154W_37	YKL154W_30	YKL154W_38	YKL154W_14	YKL154W_47	YKL154W_35	YKL154W_63	YKL154W_12	YKL154W_53	YKL154W_62	YKL154W_18	YKL154W_57	YKL154W_03	YKL154W_51	YKL154W_50	YKL154W_21	YKL154W_06	YKL154W_60	YKL154W_19	YKL154W_22	YKL154W_43	YKL154W_36	YKL154W_49	YKL154W_45	YKL154W_64	YKL154W_67	YKL154W_27	YKL154W_09	YKL154W_26	YKL154W_39	YKL154W_33	YKL154W_17	YKL154W_66	YKL154W_44	YKL154W_07	YKL154W_29	YKL154W_56	YKL154W_34
33	167	32	80	5414.0	3263.0	1160.0	4244.0	7320.0	654.0	2396.0	2780.0	3383.0	3593.0	977.0	9097.0	4754.0	4992.0	2331.0	3878.0	8337.0	582.0	4185.0	7529.0	9382.0	3579.0	3180.0	2475.0	4308.0	2377.0	6026.0	9643.0	7086.0	4074.0	4928.0	5685.0	4086.0	2502.0	741.0	7827.0	2605.0	7038.0	868.0	9435.0	6221.0	2757.0	4625.0	531.0	9808.0	600.0	623.0	2704.0	8406.0
34	167	33	80	5483.0	3373.0	1211.0	4255.0	7371.0	661.0	2494.0	2833.0	3403.0	3595.0	980.0	9202.0	4845.0	5176.0	2334.0	3969.0	8338.0	591.0	4289.0	7600.0	9384.0	3581.0	3218.0	2483.0	4360.0	2498.0	6026.0	9645.0	7168.0	4081.0	4938.0	5686.0	4127.0	2609.0	1024.0	7832.0	2612.0	7044.0	1020.0	9584.0	6299.0	2838.0	4626.0	602.0	9880.0	623.0	649.0	2707.0	8427.0
37	167	36	80	5493.0	3378.0	1212.0	4293.0	7368.0	764.0	2575.0	2838.0	3452.0	3605.0	1086.0	9206.0	4848.0	5177.0	2347.0	4026.0	8345.0	675.0	4312.0	7601.0	9396.0	3586.0	3225.0	2496.0	4359.0	2504.0	6024.0	9649.0	7173.0	4131.0	4944.0	5688.0	4150.0	2625.0	1027.0	7840.0	2769.0	7083.0	1028.0	9588.0	6304.0	2886.0	4635.0	606.0	9889.0	632.0	661.0	2714.0	8435.0
37	169	36	82	5493.0	3379.0	1212.0	4294.0	7372.0	764.0	2578.0	2841.0	3453.0	3605.0	1095.0	9207.0	4849.0	5179.0	2349.0	4027.0	8344.0	674.0	4314.0	7601.0	9404.0	3587.0	3228.0	2497.0	4360.0	2530.0	6026.0	9674.0	7176.0	4130.0	4946.0	5689.0	4150.0	2624.0	1028.0	7840.0	2773.0	7086.0	1029.0	9590.0	6305.0	2888.0	4634.0	608.0	9893.0	635.0	663.0	2717.0	8436.0
37	203	36	108	5646.0	3448.0	1199.0	4359.0	7384.0	916.0	2521.0	2986.0	3465.0	3607.0	1276.0	9334.0	4875.0	5163.0	2366.0	4065.0	8375.0	764.0	4311.0	7650.0	9547.0	3652.0	3429.0	2539.0	4547.0	2686.0	6193.0	9789.0	7215.0	4124.0	5002.0	5828.0	4096.0	2609.0	1048.0	8078.0	2761.0	7099.0	1047.0	9662.0	6346.0	2970.0	4711.0	679.0	9932.0	875.0	709.0	2928.0	8585.0
38	167	37	80	5494.0	3378.0	1212.0	4293.0	7366.0	764.0	2578.0	2840.0	3452.0	3606.0	1084.0	9206.0	4849.0	5177.0	2348.0	4027.0	8346.0	677.0	4312.0	7601.0	9399.0	3588.0	3227.0	2496.0	4358.0	2528.0	6023.0	9651.0	7175.0	4131.0	4944.0	5688.0	4152.0	2626.0	1027.0	7840.0	2772.0	7084.0	1030.0	9589.0	6305.0	2888.0	4637.0	606.0	9895.0	636.0	663.0	2715.0	8434.0
38	168	37	81	5494.0	3378.0	1213.0	4293.0	7368.0	763.0	2579.0	2847.0	3452.0	3605.0	1086.0	9206.0	4851.0	5178.0	2349.0	4026.0	8341.0	678.0	4313.0	7601.0	9403.0	3589.0	3228.0	2497.0	4359.0	2528.0	6025.0	9675.0	7176.0	4131.0	4945.0	5689.0	4152.0	2626.0	1028.0	7840.0	2773.0	7085.0	1031.0	9590.0	6305.0	2889.0	4637.0	607.0	9894.0	637.0	663.0	2716.0	8434.0
38	169	37	82	5494.0	3381.0	1212.0	4294.0	7371.0	763.0	2581.0	2847.0	3453.0	3605.0	1094.0	9207.0	4850.0	5179.0	2350.0	4027.0	8345.0	676.0	4313.0	7601.0	9405.0	3589.0	3229.0	2497.0	4358.0	2530.0	6026.0	9676.0	7178.0	4131.0	4947.0	5689.0	4152.0	2626.0	1028.0	7840.0	2774.0	7087.0	1032.0	9591.0	6307.0	2890.0	4638.0	609.0	9896.0	640.0	664.0	2718.0	8435.0
38	203	37	108	5647.0	3449.0	1201.0	4359.0	7383.0	917.0	2519.0	2987.0	3466.0	3649.0	1273.0	9336.0	4875.0	5163.0	2368.0	4064.0	8376.0	765.0	4308.0	7649.0	9551.0	3653.0	3429.0	2541.0	4551.0	2687.0	6194.0	9790.0	7216.0	4124.0	5000.0	5832.0	4098.0	2612.0	1046.0	8079.0	2761.0	7098.0	1049.0	9663.0	6347.0	2970.0	4865.0	679.0	9934.0	876.0	710.0	2929.0	8584.0
38	204	37	109	5644.0	3448.0	1200.0	4358.0	7383.0	916.0	2520.0	2987.0	3466.0	3649.0	1272.0	9335.0	4874.0	5162.0	2369.0	4063.0	8376.0	764.0	4306.0	7649.0	9548.0	3653.0	3428.0	2540.0	4551.0	2686.0	6194.0	9789.0	7214.0	4123.0	4999.0	5831.0	4097.0	2666.0	1048.0	8079.0	2760.0	7098.0	1048.0	9662.0	6347.0	2936.0	4865.0	678.0	9932.0	875.0	710.0	2929.0	8580.0
38	389	37	241	5474.0	3347.0	1187.0	4260.0	7349.0	902.0	2453.0	2966.0	3384.0	3584.0	1159.0	9273.0	4876.0	5171.0	2362.0	4039.0	8304.0	669.0	4255.0	7582.0	9409.0	3640.0	3328.0	2521.0	4481.0	2575.0	6092.0	9661.0	7128.0	4093.0	4910.0	5739.0	4092.0	2648.0	933.0	8007.0	2761.0	7096.0	977.0	9641.0	6315.0	2832.0	4669.0	668.0	9760.0	854.0	695.0	2813.0	8530.0
38	390	37	242	5478.0	3347.0	1186.0	4258.0	7349.0	899.0	2453.0	2966.0	3386.0	3588.0	1159.0	9273.0	4876.0	5172.0	2362.0	4037.0	8304.0	669.0	4254.0	7582.0	9410.0	3640.0	3327.0	2520.0	4479.0	2574.0	6066.0	9659.0	7129.0	4093.0	4911.0	5740.0	4093.0	2647.0	933.0	8006.0	2761.0	7097.0	978.0	9641.0	6315.0	2831.0	4668.0	668.0	9759.0	855.0	696.0	2813.0	8530.0
38	170	37	83	5493.0	3383.0	1211.0	4295.0	7372.0	763.0	2582.0	2870.0	3453.0	3605.0	1097.0	9208.0	4851.0	5179.0	2359.0	4028.0	8344.0	674.0	4314.0	7601.0	9406.0	3589.0	3230.0	2498.0	4357.0	2531.0	6027.0	9677.0	7179.0	4130.0	4989.0	5690.0	4151.0	2623.0	1028.0	7842.0	2776.0	7088.0	1032.0	9593.0	6307.0	2896.0	4639.0	611.0	9895.0	740.0	706.0	2720.0	8437.0
43	203	38	108	5649.0	3449.0	1203.0	4359.0	7382.0	918.0	2518.0	2988.0	3467.0	3677.0	1271.0	9344.0	4876.0	5163.0	2371.0	4064.0	8378.0	765.0	4307.0	7648.0	9686.0	3654.0	3430.0	2544.0	4552.0	2688.0	6195.0	9791.0	7216.0	4125.0	5000.0	5902.0	4100.0	2613.0	1046.0	8080.0	2762.0	7098.0	1070.0	9662.0	6348.0	2970.0	4872.0	681.0	9936.0	878.0	711.0	2930.0	8584.0
