alnA	alnB	A	B	YOR089C_43	YOR089C_54	YOR089C_39	YOR089C_67	YOR089C_38	YOR089C_61	YOR089C_70	YOR089C_11	YOR089C_32	YOR089C_36	YOR089C_28	YOR089C_69	YOR089C_56	YOR089C_15	YOR089C_64	YOR089C_10	YOR089C_20	YOR089C_24	YOR089C_12	YOR089C_03	YOR089C_07	YOR089C_44	YOR089C_52	YOR089C_26	YOR089C_17	YOR089C_59	YOR089C_02	YOR089C_33	YOR089C_48	YOR089C_35	YOR089C_60	YOR089C_47	YOR089C_41	YOR089C_27
33	167	3	55	2435.0	3952.0	3872.0	2218.0	5948.0	2733.0	5865.0	4236.0	4701.0	9426.0	1546.0	7423.0	3202.0	7104.0	852.0	1408.0	859.0	3040.0	8559.0	5727.0	4577.0	4429.0	5781.0	4183.0	6412.0	7800.0	1109.0	8538.0	5943.0	781.0	4582.0	7097.0	3839.0	8510.0
34	167	4	55	2436.0	3953.0	3873.0	2219.0	5949.0	2733.0	5865.0	4237.0	4701.0	9426.0	1547.0	7424.0	3203.0	7103.0	852.0	1408.0	871.0	3040.0	8559.0	5728.0	4593.0	4430.0	5782.0	4184.0	6413.0	7822.0	1110.0	8539.0	5944.0	792.0	4583.0	7097.0	3840.0	8513.0
37	167	5	55	2437.0	3953.0	3873.0	2219.0	5950.0	2733.0	5865.0	4237.0	4701.0	9425.0	1546.0	7424.0	3205.0	7100.0	852.0	1408.0	873.0	3040.0	8560.0	5728.0	4597.0	4431.0	5783.0	4186.0	6413.0	7823.0	1110.0	8539.0	5944.0	791.0	4581.0	7098.0	3840.0	8514.0
37	169	5	57	2437.0	3955.0	3874.0	2220.0	5950.0	2792.0	5872.0	4236.0	4705.0	9426.0	1547.0	7436.0	3209.0	7109.0	854.0	1410.0	882.0	3041.0	8561.0	5727.0	4597.0	4432.0	5785.0	4185.0	6415.0	7823.0	1113.0	8539.0	5945.0	797.0	4585.0	7100.0	3843.0	8517.0
37	203	5	79	2445.0	4177.0	4061.0	2323.0	6197.0	2990.0	5889.0	4243.0	4824.0	9615.0	2305.0	7634.0	3215.0	7056.0	897.0	1501.0	860.0	3083.0	8614.0	5719.0	4633.0	4659.0	7392.0	4548.0	6441.0	8837.0	1117.0	8936.0	6029.0	940.0	4788.0	7128.0	4219.0	8521.0
38	167	6	55	2437.0	3953.0	3872.0	2218.0	5952.0	2731.0	5864.0	4237.0	4701.0	9424.0	1547.0	7425.0	3207.0	7100.0	850.0	1408.0	877.0	3040.0	8560.0	5729.0	4602.0	4433.0	5784.0	4188.0	6412.0	7823.0	1110.0	8539.0	5944.0	784.0	4581.0	7097.0	3841.0	8515.0
38	168	6	56	2438.0	3954.0	3873.0	2219.0	5951.0	2734.0	5867.0	4237.0	4703.0	9425.0	1547.0	7431.0	3209.0	7104.0	852.0	1409.0	880.0	3040.0	8561.0	5727.0	4602.0	4434.0	5785.0	4186.0	6413.0	7823.0	1111.0	8539.0	5944.0	791.0	4583.0	7099.0	3842.0	8516.0
38	169	6	57	2438.0	3957.0	3874.0	2219.0	5951.0	2738.0	5871.0	4237.0	4705.0	9426.0	1552.0	7437.0	3212.0	7109.0	853.0	1410.0	883.0	3041.0	8562.0	5728.0	4602.0	4462.0	5785.0	4186.0	6414.0	7824.0	1113.0	8539.0	5945.0	795.0	4585.0	7100.0	3843.0	8518.0
38	203	6	79	2447.0	4182.0	4063.0	2324.0	6222.0	2990.0	5892.0	4244.0	4825.0	9615.0	2306.0	7636.0	3216.0	7066.0	899.0	1503.0	939.0	3084.0	8615.0	5721.0	4634.0	4661.0	7393.0	4548.0	6441.0	8857.0	1122.0	8936.0	6030.0	941.0	4789.0	7129.0	4220.0	8523.0
38	204	6	80	2450.0	4177.0	4066.0	2323.0	6138.0	2990.0	5891.0	4245.0	4824.0	9614.0	2303.0	7564.0	3215.0	7056.0	899.0	1502.0	866.0	3084.0	8614.0	5720.0	4634.0	4661.0	7392.0	4547.0	6441.0	8858.0	1120.0	8936.0	6030.0	941.0	4789.0	7129.0	4219.0	8520.0
38	389	6	165	2461.0	4138.0	4056.0	2296.0	5921.0	2983.0	5762.0	4173.0	4711.0	9563.0	2299.0	7499.0	3223.0	7089.0	856.0	1494.0	800.0	3010.0	8615.0	5694.0	4465.0	4640.0	6046.0	4309.0	6396.0	7803.0	1119.0	8937.0	5960.0	813.0	4676.0	7140.0	3855.0	8511.0
38	390	6	166	2464.0	4138.0	4056.0	2295.0	5921.0	2982.0	5762.0	4172.0	4708.0	9472.0	2300.0	7498.0	3223.0	7090.0	856.0	1494.0	800.0	3009.0	8616.0	5696.0	4464.0	4642.0	6046.0	4403.0	6396.0	8858.0	1152.0	8938.0	5960.0	812.0	4677.0	7138.0	3851.0	8512.0
38	170	6	58	2439.0	3960.0	3874.0	2220.0	5949.0	2739.0	5874.0	4236.0	4706.0	9427.0	1557.0	7438.0	3217.0	7112.0	854.0	1411.0	885.0	3042.0	8564.0	5727.0	4601.0	4462.0	5786.0	4185.0	6415.0	7824.0	1114.0	8539.0	5945.0	799.0	4589.0	7101.0	3844.0	8519.0
43	203	7	79	2450.0	4303.0	4065.0	2325.0	6289.0	2991.0	5949.0	4246.0	4827.0	9615.0	2307.0	7640.0	3219.0	7110.0	899.0	1505.0	943.0	3084.0	8615.0	5722.0	4635.0	4662.0	7395.0	4548.0	6441.0	8859.0	1125.0	8937.0	6032.0	942.0	4790.0	7130.0	4220.0	8531.0
43	169	7	57	2439.0	3956.0	3874.0	2219.0	5952.0	2736.0	5868.0	4236.0	4706.0	9425.0	1550.0	7437.0	3216.0	7112.0	853.0	1410.0	884.0	3041.0	8563.0	5729.0	4603.0	4462.0	5786.0	4187.0	6414.0	7826.0	1115.0	8539.0	5944.0	790.0	4583.0	7100.0	3844.0	8518.0
43	198	7	77	2446.0	4301.0	4060.0	2325.0	6293.0	2992.0	5949.0	4245.0	4829.0	9616.0	2309.0	7637.0	3219.0	7116.0	896.0	1509.0	936.0	3083.0	8615.0	5723.0	4635.0	4661.0	7396.0	4549.0	6440.0	8836.0	1129.0	8936.0	6031.0	943.0	4788.0	7127.0	4222.0	8534.0
43	202	7	78	2447.0	4301.0	4062.0	2325.0	6291.0	2991.0	5949.0	4245.0	4828.0	9616.0	2308.0	7638.0	3219.0	7112.0	898.0	1505.0	940.0	3084.0	8615.0	5723.0	4635.0	4661.0	7395.0	4548.0	6440.0	8838.0	1127.0	8937.0	6032.0	943.0	4789.0	7129.0	4222.0	8531.0
43	171	7	59	2440.0	3960.0	3875.0	2221.0	5952.0	2738.0	5901.0	4237.0	4711.0	9428.0	1559.0	7441.0	3224.0	7152.0	856.0	1413.0	889.0	3042.0	8572.0	5728.0	4604.0	4463.0	5788.0	4186.0	6416.0	7828.0	1119.0	8539.0	5955.0	803.0	4589.0	7103.0	3847.0	8521.0
43	204	7	80	2452.0	4180.0	4066.0	2324.0	6197.0	2991.0	5947.0	4247.0	4825.0	9614.0	2305.0	7564.0	3216.0	7107.0	900.0	1503.0	953.0	3084.0	8614.0	5721.0	4635.0	4662.0	7394.0	4547.0	6440.0	8860.0	1124.0	8937.0	6032.0	942.0	4790.0	7130.0	4220.0	8523.0
44	169	8	57	2439.0	3958.0	3872.0	2220.0	5953.0	2734.0	5867.0	4236.0	4708.0	9426.0	1550.0	7437.0	3217.0	7114.0	852.0	1410.0	884.0	3040.0	8564.0	5730.0	4606.0	4463.0	5786.0	4189.0	6413.0	7827.0	1116.0	8540.0	5945.0	785.0	4584.0	7099.0	3845.0	8519.0
