pdb	Tf	HC	N_int	N_aln
YLR293C	151.0	154.95	515	261
YMR138W	148.5	164.96	537	241
YBR164C	153.0	177.7	543	256
YFL038C	160.5	184.08	584	256
YKR014C	154.0	162.59	573	248
YNL090W	156.0	161.56	547	254
YFL005W	155.5	155.51	529	281
YBR264C	146.0	139.84	510	232
YKL154W	152.0	176.63	576	266
YCR027C	149.5	154.03	563	252
YOR185C	152.5	150.06	522	263
YOR089C	149.5	138.02	511	244
YOR094W	153.5	166.53	552	261
YHR022C	151.0	205.18	676	238
YNL093W	147.5	141.6	562	254
YDL192W	142.0	88.9	455	254
