alnA	alnB	A	B	YBR264C_51	YBR264C_41	YBR264C_67	YBR264C_56	YBR264C_53	YBR264C_48	YBR264C_21	YBR264C_29	YBR264C_35	YBR264C_49	YBR264C_26	YBR264C_33	YBR264C_27	YBR264C_66	YBR264C_05	YBR264C_25	YBR264C_22	YBR264C_69	YBR264C_11	YBR264C_52	YBR264C_20	YBR264C_23	YBR264C_18	YBR264C_09	YBR264C_42	YBR264C_40	YBR264C_13	YBR264C_31	YBR264C_19	YBR264C_50	YBR264C_38	YBR264C_28	YBR264C_16	YBR264C_01	YBR264C_59	YBR264C_61	YBR264C_06	YBR264C_60	YBR264C_44	YBR264C_64	YBR264C_34	YBR264C_30	YBR264C_68	YBR264C_43	YBR264C_12	YBR264C_70	YBR264C_54	YBR264C_37	YBR264C_15	YBR264C_47	YBR264C_10	YBR264C_62	YBR264C_17	YBR264C_07	YBR264C_39	YBR264C_65	YBR264C_63	YBR264C_24	YBR264C_14	YBR264C_02	YBR264C_58	YBR264C_08	YBR264C_03	YBR264C_46	YBR264C_04
33	167	0	58	2529.0	1816.0	1987.0	3165.0	6244.0	3396.0	7607.0	4202.0	7626.0	3808.0	1281.0	536.0	3562.0	9502.0	369.0	1313.0	1101.0	669.0	2994.0	2536.0	8854.0	3461.0	3208.0	1993.0	4653.0	1110.0	7636.0	1824.0	298.0	1418.0	1591.0	4927.0	1098.0	7862.0	1781.0	7937.0	555.0	1541.0	5876.0	1040.0	2977.0	4527.0	6353.0	6326.0	906.0	3507.0	3018.0	2369.0	1344.0	2210.0	533.0	581.0	1943.0	7492.0	1983.0	6631.0	4514.0	2146.0	1083.0	8790.0	394.0	4505.0	5896.0	2182.0	1492.0
34	167	1	58	2530.0	1815.0	1988.0	3165.0	6244.0	3396.0	7607.0	4202.0	7626.0	3807.0	1281.0	536.0	3562.0	9503.0	369.0	1314.0	1102.0	670.0	2995.0	2536.0	8855.0	3461.0	3209.0	1994.0	4652.0	1110.0	7636.0	1825.0	299.0	1419.0	1591.0	4928.0	1098.0	7862.0	1783.0	7937.0	555.0	1541.0	5875.0	1040.0	2978.0	4527.0	6354.0	6326.0	906.0	3508.0	3019.0	2369.0	1345.0	2210.0	534.0	581.0	1945.0	7492.0	1984.0	6632.0	4515.0	2146.0	1083.0	8789.0	395.0	4505.0	5896.0	2182.0	1492.0
37	167	2	58	2531.0	1779.0	1989.0	3166.0	6244.0	3398.0	7635.0	4203.0	7627.0	3807.0	1282.0	537.0	3563.0	9505.0	371.0	1314.0	1103.0	670.0	2995.0	2537.0	8856.0	3464.0	3210.0	1998.0	4652.0	1110.0	7636.0	1826.0	302.0	1419.0	1592.0	4933.0	1098.0	7863.0	1832.0	7937.0	556.0	1546.0	5878.0	1041.0	2981.0	4528.0	6356.0	6328.0	906.0	3508.0	3019.0	2370.0	1346.0	2210.0	535.0	583.0	1948.0	7494.0	1985.0	6633.0	4519.0	2146.0	1084.0	8787.0	395.0	4506.0	5897.0	2182.0	1491.0
37	169	2	60	2530.0	1810.0	2000.0	3166.0	6243.0	3398.0	7636.0	4203.0	7639.0	3807.0	1291.0	538.0	3566.0	9510.0	375.0	1312.0	1104.0	673.0	2998.0	2706.0	8857.0	3463.0	3211.0	2001.0	4654.0	1112.0	7637.0	1828.0	308.0	1427.0	1539.0	4946.0	1099.0	7868.0	1836.0	7939.0	556.0	1611.0	5877.0	1042.0	2985.0	4529.0	6357.0	6327.0	904.0	3512.0	3029.0	2371.0	1350.0	2210.0	537.0	589.0	1943.0	7521.0	1986.0	6634.0	4522.0	2148.0	1085.0	8792.0	395.0	4509.0	5899.0	2182.0	1492.0
37	203	2	82	2889.0	1806.0	2036.0	3140.0	6222.0	3436.0	7642.0	4224.0	7642.0	3708.0	1435.0	633.0	3595.0	9639.0	428.0	1252.0	1185.0	891.0	3085.0	2631.0	8831.0	3542.0	3215.0	2043.0	5122.0	1139.0	7621.0	1920.0	805.0	1451.0	1647.0	5028.0	1165.0	7930.0	1815.0	7940.0	634.0	1647.0	5902.0	1498.0	2991.0	4585.0	6410.0	6303.0	910.0	3530.0	3245.0	2502.0	1541.0	2353.0	521.0	647.0	2083.0	7571.0	2224.0	6595.0	4739.0	2241.0	1272.0	8810.0	539.0	4590.0	6361.0	2248.0	1548.0
38	167	3	58	2558.0	1777.0	1994.0	3165.0	6244.0	3398.0	7636.0	4204.0	7627.0	3807.0	1282.0	538.0	3563.0	9506.0	373.0	1315.0	1103.0	671.0	2995.0	2705.0	8857.0	3466.0	3210.0	1999.0	4653.0	1109.0	7636.0	1828.0	304.0	1418.0	1593.0	4933.0	1099.0	7864.0	1832.0	7937.0	557.0	1610.0	5880.0	1042.0	2984.0	4528.0	6358.0	6330.0	905.0	3508.0	3018.0	2371.0	1348.0	2209.0	536.0	586.0	1950.0	7494.0	1986.0	6634.0	4520.0	2145.0	1084.0	8786.0	395.0	4506.0	5897.0	2181.0	1491.0
38	168	3	59	2533.0	1817.0	1998.0	3165.0	6244.0	3398.0	7636.0	4205.0	7628.0	3807.0	1289.0	538.0	3564.0	9509.0	375.0	1315.0	1104.0	673.0	2996.0	2706.0	8857.0	3466.0	3211.0	2000.0	4654.0	1111.0	7637.0	1829.0	308.0	1421.0	1594.0	4938.0	1099.0	7866.0	1834.0	7938.0	557.0	1611.0	5880.0	1043.0	2986.0	4533.0	6358.0	6330.0	904.0	3511.0	3021.0	2372.0	1350.0	2209.0	537.0	589.0	1949.0	7496.0	1987.0	6634.0	4522.0	2147.0	1085.0	8787.0	395.0	4508.0	5899.0	2181.0	1492.0
38	169	3	60	2531.0	1813.0	2035.0	3166.0	6243.0	3399.0	7637.0	4205.0	7628.0	3807.0	1292.0	539.0	3566.0	9511.0	377.0	1314.0	1105.0	675.0	2997.0	2706.0	8857.0	3466.0	3221.0	2002.0	4655.0	1112.0	7638.0	1831.0	309.0	1426.0	1593.0	4947.0	1100.0	7869.0	1836.0	7938.0	558.0	1612.0	5881.0	1043.0	2987.0	4539.0	6358.0	6329.0	904.0	3512.0	3030.0	2373.0	1353.0	2210.0	568.0	591.0	1949.0	7520.0	1987.0	6635.0	4524.0	2148.0	1086.0	8791.0	395.0	4510.0	5900.0	2182.0	1492.0
38	203	3	82	2892.0	1808.0	2037.0	3207.0	6224.0	3436.0	7643.0	4227.0	7642.0	3710.0	1438.0	633.0	3596.0	9640.0	428.0	1254.0	1185.0	893.0	3089.0	2632.0	8835.0	3558.0	3217.0	2044.0	5122.0	1141.0	7632.0	1922.0	807.0	1455.0	1657.0	5035.0	1168.0	7931.0	1818.0	7941.0	637.0	1649.0	5911.0	1499.0	2992.0	4587.0	6411.0	6311.0	911.0	3530.0	3246.0	2502.0	1572.0	2412.0	525.0	731.0	2086.0	7574.0	2224.0	6596.0	4739.0	2241.0	1275.0	8816.0	540.0	4589.0	6363.0	2249.0	1552.0
38	204	3	83	2890.0	1808.0	2032.0	3206.0	6224.0	3436.0	7642.0	4226.0	7641.0	3710.0	1437.0	633.0	3595.0	9640.0	427.0	1254.0	1186.0	891.0	3088.0	2631.0	8833.0	3544.0	3217.0	2043.0	5121.0	1140.0	7623.0	1920.0	806.0	1452.0	1646.0	5034.0	1166.0	7930.0	1817.0	7941.0	638.0	1648.0	5900.0	1500.0	2992.0	4587.0	6410.0	6304.0	911.0	3530.0	3246.0	2499.0	1542.0	2354.0	523.0	730.0	2084.0	7574.0	2224.0	6596.0	4738.0	2241.0	1275.0	8814.0	539.0	4589.0	6362.0	2248.0	1556.0
