source	target	node_value	nodeID
YDL192W	a1	2	0
YDL192W	a5	53	1
YDL192W	a3	7	2
YDL192W	a2/b2	1	3
YDL192W	other	1	4
YDL192W	a4/b5	1	5
YFL038C	a1	2	6
YFL038C	a5	2	7
YFL038C	a3	2	8
YFL038C	a2/b2	50	9
YFL038C	a4/b5	1	10
YHR022C	a1	24	11
YHR022C	a5	3	12
YHR022C	a3	1	13
YHR022C	a2/b2	22	14
YFL005W	a1	2	15
YFL005W	a5	13	16
YFL005W	a3	3	17
YFL005W	a2/b2	50	18
YFL005W	a4/b5	2	19
YLR293C	a1	9	20
YLR293C	a5	13	21
YLR293C	a3	3	22
YLR293C	a2/b2	27	23
YLR293C	other	3	24
YLR293C	a4/b5	1	25
YOR185C	a1	6	26
YOR185C	a5	11	27
YOR185C	a3	1	28
YOR185C	a2/b2	33	29
YBR164C	a1	5	30
YBR164C	a5	12	31
YBR164C	a3	4	32
YBR164C	a2/b2	3	33
YBR164C	other	2	34
YBR164C	a4/b5	3	35
YKL154W	a1	3	36
YKL154W	a5	2	37
YKL154W	a3	13	38
YKL154W	a2/b2	20	39
YKL154W	other	1	40
YKL154W	a4/b5	10	41
YMR138W	a1	3	42
YMR138W	a5	28	43
YMR138W	a3	20	44
YMR138W	a2/b2	10	45
YMR138W	other	2	46
YMR138W	a4/b5	3	47
YKR014C	a1	6	48
YKR014C	a5	7	49
YKR014C	a2/b2	53	50
YKR014C	other	1	51
YCR027C	a5	2	52
YCR027C	a3	28	53
YCR027C	a2/b2	1	54
YCR027C	a4/b5	14	55
YNL090W	a1	6	56
YNL090W	a5	16	57
YNL090W	a3	13	58
YNL090W	a2/b2	8	59
YNL090W	other	1	60
YNL090W	a4/b5	3	61
YOR089C	a1	3	62
YOR089C	a5	10	63
YOR089C	a3	3	64
YOR089C	a2/b2	17	65
YOR089C	other	1	66
YBR264C	a1	1	67
YBR264C	a5	8	68
YBR264C	a3	1	69
YBR264C	a2/b2	54	70
YBR264C	other	1	71
YNL093W	a1	3	72
YNL093W	a5	36	73
YNL093W	a3	1	74
YNL093W	a2/b2	13	75
YNL093W	other	1	76
YNL093W	a4/b5	1	77
YOR094W	a1	8	78
YOR094W	a5	24	79
YOR094W	a3	5	80
YOR094W	a2/b2	3	81
YOR094W	other	3	82
YOR094W	a4/b5	2	83
