alnA	alnB	A	B	YNL093W_04	YNL093W_29	YNL093W_05	YNL093W_38	YNL093W_18	YNL093W_17	YNL093W_31	YNL093W_52	YNL093W_40	YNL093W_62	YNL093W_65	YNL093W_32	YNL093W_33	YNL093W_41	YNL093W_16	YNL093W_51	YNL093W_14	YNL093W_39	YNL093W_28	YNL093W_35	YNL093W_10	YNL093W_02	YNL093W_64	YNL093W_70	YNL093W_09	YNL093W_01	YNL093W_06	YNL093W_15	YNL093W_23	YNL093W_61	YNL093W_08	YNL093W_67	YNL093W_37	YNL093W_63	YNL093W_44	YNL093W_48	YNL093W_25	YNL093W_69	YNL093W_56	YNL093W_54	YNL093W_68	YNL093W_24	YNL093W_34	YNL093W_22	YNL093W_27	YNL093W_07	YNL093W_12	YNL093W_36	YNL093W_57	YNL093W_49	YNL093W_11	YNL093W_53	YNL093W_03	YNL093W_47	YNL093W_58
33	167	8	60	5921.0	2476.0	1108.0	3579.0	6602.0	1983.0	3907.0	207.0	1970.0	5855.0	6121.0	6194.0	3589.0	3287.0	5807.0	1197.0	4092.0	1006.0	1461.0	2201.0	5603.0	733.0	187.0	4449.0	404.0	843.0	2778.0	2208.0	6709.0	7736.0	5283.0	1118.0	3253.0	7743.0	5363.0	6380.0	3637.0	6007.0	8348.0	467.0	1467.0	5372.0	9501.0	677.0	4897.0	3077.0	1214.0	3324.0	3461.0	8623.0	2543.0	3195.0	2208.0	3102.0	908.0
34	167	9	60	5923.0	2477.0	1108.0	3580.0	6601.0	1984.0	3906.0	202.0	1971.0	5877.0	6120.0	6192.0	3589.0	3282.0	5807.0	1196.0	4093.0	1007.0	1462.0	2202.0	5603.0	734.0	187.0	4448.0	405.0	844.0	2778.0	2232.0	6708.0	7737.0	5283.0	1118.0	3254.0	7743.0	5363.0	6380.0	3637.0	6006.0	8348.0	469.0	1468.0	5372.0	9500.0	677.0	4899.0	3078.0	1214.0	3324.0	3462.0	8624.0	2543.0	3195.0	2208.0	3101.0	910.0
37	167	10	60	5925.0	2478.0	1110.0	3584.0	6605.0	1983.0	3906.0	200.0	1972.0	5878.0	6120.0	6192.0	3590.0	3282.0	5813.0	1193.0	4093.0	1008.0	1464.0	2203.0	5604.0	733.0	185.0	4447.0	409.0	844.0	2780.0	2233.0	6707.0	7739.0	5283.0	1120.0	3254.0	7742.0	5383.0	6382.0	3638.0	6008.0	8350.0	469.0	1470.0	5373.0	9499.0	677.0	4903.0	3078.0	1214.0	3324.0	3463.0	8625.0	2543.0	3196.0	2208.0	3101.0	912.0
37	169	10	62	5929.0	2476.0	1109.0	3591.0	6610.0	1984.0	3908.0	198.0	1974.0	5882.0	6121.0	6209.0	3594.0	3347.0	5813.0	1197.0	4094.0	1009.0	1469.0	2205.0	5604.0	733.0	189.0	4451.0	408.0	846.0	2828.0	2203.0	6708.0	7742.0	5285.0	1120.0	3256.0	7743.0	5380.0	6384.0	3641.0	6008.0	8354.0	470.0	1469.0	5374.0	9502.0	678.0	4907.0	3082.0	1215.0	3326.0	3468.0	8625.0	2552.0	3198.0	2209.0	3101.0	917.0
37	203	10	84	5933.0	2473.0	1153.0	3613.0	6644.0	1991.0	3982.0	227.0	2134.0	5831.0	6162.0	6240.0	3705.0	3328.0	5822.0	1271.0	4307.0	947.0	1600.0	2304.0	5582.0	825.0	352.0	4535.0	400.0	926.0	2781.0	2255.0	6719.0	7782.0	5429.0	1177.0	3318.0	7716.0	5387.0	6383.0	3635.0	6182.0	8353.0	351.0	1321.0	5451.0	9545.0	757.0	5063.0	3372.0	1197.0	3653.0	3474.0	8612.0	2600.0	3220.0	2357.0	3055.0	964.0
38	167	11	60	5927.0	2478.0	1111.0	3589.0	6607.0	1983.0	3906.0	199.0	1972.0	5879.0	6120.0	6191.0	3591.0	3283.0	5822.0	1192.0	4095.0	1010.0	1465.0	2205.0	5604.0	732.0	184.0	4446.0	412.0	844.0	2826.0	2234.0	6707.0	7739.0	5283.0	1120.0	3255.0	7742.0	5385.0	6383.0	3639.0	6009.0	8351.0	470.0	1473.0	5374.0	9500.0	678.0	4905.0	3078.0	1213.0	3324.0	3465.0	8625.0	2543.0	3196.0	2208.0	3102.0	913.0
38	168	11	61	5929.0	2477.0	1111.0	3626.0	6610.0	1984.0	3908.0	199.0	1974.0	5881.0	6121.0	6194.0	3593.0	3348.0	5821.0	1193.0	4095.0	1011.0	1469.0	2206.0	5605.0	732.0	186.0	4448.0	412.0	845.0	2828.0	2235.0	6707.0	7740.0	5284.0	1121.0	3256.0	7743.0	5384.0	6384.0	3641.0	6010.0	8353.0	470.0	1474.0	5375.0	9501.0	679.0	4908.0	3081.0	1214.0	3326.0	3468.0	8626.0	2544.0	3198.0	2209.0	3102.0	915.0
38	169	11	62	5932.0	2476.0	1111.0	3627.0	6612.0	1984.0	3908.0	198.0	1976.0	5884.0	6122.0	6343.0	3596.0	3349.0	5821.0	1194.0	4095.0	1012.0	1471.0	2207.0	5604.0	732.0	187.0	4451.0	412.0	847.0	2828.0	2205.0	6707.0	7743.0	5285.0	1121.0	3257.0	7743.0	5382.0	6384.0	3641.0	6010.0	8356.0	471.0	1473.0	5376.0	9503.0	679.0	4913.0	3085.0	1215.0	3681.0	3469.0	8626.0	2551.0	3199.0	2210.0	3102.0	918.0
38	203	11	84	5934.0	2474.0	1155.0	3619.0	6644.0	1994.0	3985.0	228.0	2138.0	5833.0	6163.0	6252.0	3703.0	3328.0	5823.0	1272.0	4309.0	1136.0	1600.0	2305.0	5583.0	826.0	354.0	4536.0	403.0	927.0	2783.0	2254.0	6720.0	7784.0	5430.0	1179.0	3323.0	7717.0	5389.0	6384.0	3636.0	6184.0	8356.0	355.0	1323.0	5452.0	9548.0	795.0	5064.0	3373.0	1200.0	3651.0	3473.0	8611.0	2601.0	3222.0	2357.0	3057.0	966.0
38	204	11	85	5932.0	2475.0	1155.0	3618.0	6642.0	1994.0	3984.0	227.0	2137.0	5833.0	6162.0	6243.0	3702.0	3328.0	5824.0	1271.0	4311.0	1135.0	1600.0	2305.0	5581.0	827.0	355.0	4535.0	402.0	928.0	2783.0	2253.0	6720.0	7784.0	5430.0	1180.0	3323.0	7717.0	5390.0	6385.0	3636.0	6183.0	8354.0	353.0	1323.0	5451.0	9546.0	796.0	5064.0	3373.0	1201.0	3651.0	3473.0	8609.0	2602.0	3241.0	2356.0	3058.0	965.0
