	b1	a1	b2	b3	a2	b4	a3	b5	a4	b6	a5
YKL154W	0.058725000000000006	0.06652	0.12747777777777777	0.06875714285714286	0.06035000000000001	0.06372857142857143	0.106	0.055842857142857145	0.07074545454545454	0.053899999999999997	0.08674444444444446
YDL192W	0.243025	0.44832	0.3137857142857143	0.24412857142857144	0.22741666666666663	0.33562857142857144	0.6418999999999999	0.3626	0.6839666666666666	0.44930000000000003	0.3137
YMR138W	0.069825	0.12005000000000002	0.10778571428571429	0.0899	0.11719999999999998	0.05597142857142856	0.09418	0.05802857142857143	0.11037777777777777	0.061825000000000005	0.1016111111111111
YOR094W	0.23334999999999997	0.25779	0.2681142857142857	0.2227714285714286	0.52135	0.2711857142857143	0.6927000000000001	0.2741142857142857	0.5609666666666667	0.293775	0.26434444444444444
YBR164C	0.055237499999999995	0.07517	0.06615714285714284	0.052842857142857136	0.06941666666666667	0.044028571428571424	0.07869333333333334	0.04278571428571428	0.06766666666666668	0.045899999999999996	0.05875555555555555
YHR022C	0.05735	0.07429999999999999	0.08118571428571428	0.06682857142857143	0.12855	0.04425714285714285	0.09067333333333333	0.0477	0.14022857142857142	0.0504	0.07588888888888888
YOR185C	0.0422	0.0712	0.05601428571428572	0.047485714285714284	0.08463333333333334	0.036899999999999995	0.07571999999999998	0.03887142857142857	0.12219999999999999	0.038425	0.04464444444444445
YLR293C	0.045312500000000006	0.09345	0.07255714285714286	0.054657142857142856	0.06773333333333334	0.03811428571428571	0.06753333333333332	0.042185714285714285	0.11351666666666665	0.046024999999999996	0.05655555555555555
YFL005W	0.047975000000000004	0.05292	0.08712857142857144	0.04788571428571429	0.09338333333333333	0.036085714285714277	0.07128	0.03624285714285714	0.05611428571428572	0.0381	0.05373333333333333
YCR027C	0.1592083333333333	0.31050000000000005	0.24538571428571426	0.1524142857142857	0.2169333333333333	0.11721428571428572	0.17475625	0.1307142857142857	0.3064428571428572	0.1709	0.2510777777777778
YFL038C	0.047875	0.07564000000000001	0.0682142857142857	0.0521	0.10339999999999999	0.04435714285714286	0.07305999999999999	0.041999999999999996	0.07104285714285714	0.044875	0.05932222222222223
YBR264C	0.6141625	0.53704	0.8082	0.6440142857142858	0.64005	0.5444	0.6904866666666667	0.5674142857142856	0.8686	0.6111	0.5753111111111111
YKR014C	0.046837500000000004	0.09151000000000001	0.07709999999999999	0.053142857142857144	0.07603333333333333	0.04011428571428572	0.05674	0.04214285714285715	0.07405714285714285	0.04045	0.07100000000000001
YNL093W	0.0485625	0.07533000000000001	0.06978571428571427	0.05662857142857143	0.06913333333333334	0.04384285714285714	0.06086	0.049485714285714286	0.15842857142857142	0.056625	0.08332222222222223
YNL090W	0.06027500000000001	0.09272999999999998	0.09185714285714286	0.06575714285714286	0.12576666666666667	0.045842857142857144	0.06628125000000001	0.05277142857142857	0.09785714285714286	0.054525000000000004	0.11585000000000001
YOR089C	0.38758750000000003	0.9721299999999999	1.0211285714285714	0.5752285714285713	0.3650666666666667	0.2754857142857143	0.20464	0.29082857142857144	0.2664571428571429	0.34185	0.5966222222222223
