orf	uniprotID	substrate	sf	family	Length
YNL090W	P06781	+	c.37.1	c.37.1.8	192
YLR293C	P32835	+	c.37.1	c.37.1.8	219
YNL093W	P36019	-	c.37.1	c.37.1.8	220
YBR264C	P38146	+	c.37.1	c.37.1.8	199
YKL154W	P36057	-	c.37.1	c.37.1.8	244
YFL038C	P01123	+	c.37.1	c.37.1.8	206
YHR022C	P38763	-	c.37.1	c.37.1.8	256
YOR094W	P40994	-	c.37.1	c.37.1.8	183
YMR138W	P39110	+	c.37.1	c.37.1.8	191
YCR027C	P25378	+	c.37.1	c.37.1.8	209
YKR014C	P36018	+	c.37.1	c.37.1.8	234
YOR185C	P32836	+	c.37.1	c.37.1.8	220
YDL192W	P11076	-	c.37.1	c.37.1.8	181
YBR164C	P38116	+	c.37.1	c.37.1.8	183
YFL005W	P07560	+	c.37.1	c.37.1.8	215
YOR089C	P36017	+	c.37.1	c.37.1.8	210
