alnA	alnB	A	B	YKR014C_44	YKR014C_69	YKR014C_10	YKR014C_62	YKR014C_08	YKR014C_49	YKR014C_12	YKR014C_11	YKR014C_06	YKR014C_52	YKR014C_50	YKR014C_70	YKR014C_67	YKR014C_28	YKR014C_61	YKR014C_34	YKR014C_43	YKR014C_01	YKR014C_32	YKR014C_30	YKR014C_21	YKR014C_56	YKR014C_13	YKR014C_64	YKR014C_55	YKR014C_15	YKR014C_36	YKR014C_18	YKR014C_51	YKR014C_05	YKR014C_47	YKR014C_20	YKR014C_31	YKR014C_26	YKR014C_29	YKR014C_33	YKR014C_38	YKR014C_40	YKR014C_66	YKR014C_25	YKR014C_39	YKR014C_58	YKR014C_19	YKR014C_24	YKR014C_42	YKR014C_41	YKR014C_63	YKR014C_37	YKR014C_07	YKR014C_59	YKR014C_54	YKR014C_53	YKR014C_45	YKR014C_27	YKR014C_46	YKR014C_48	YKR014C_14	YKR014C_16	YKR014C_22	YKR014C_68	YKR014C_60	YKR014C_35	YKR014C_09	YKR014C_57	YKR014C_02	YKR014C_04	YKR014C_03
33	167	233	59	6728.0	493.0	1076.0	725.0	258.0	4113.0	4147.0	3750.0	6156.0	1513.0	4467.0	2465.0	3508.0	777.0	609.0	1625.0	6410.0	223.0	632.0	1980.0	1631.0	194.0	188.0	879.0	172.0	5973.0	36.0	1035.0	43.0	387.0	1483.0	2839.0	1983.0	3180.0	1679.0	6485.0	2248.0	3560.0	1807.0	5313.0	1557.0	2132.0	1155.0	2040.0	3486.0	1.0	828.0	472.0	2781.0	1126.0	2745.0	2118.0	1961.0	1552.0	6543.0	2425.0	629.0	6059.0	6121.0	1814.0	2658.0	366.0	726.0	3182.0	5109.0	1462.0	421.0
34	167	0	59	6742.0	604.0	1136.0	805.0	400.0	4228.0	4155.0	3881.0	6261.0	1637.0	4556.0	2572.0	3613.0	860.0	689.0	1692.0	6475.0	376.0	755.0	2125.0	1725.0	231.0	384.0	949.0	291.0	6071.0	139.0	1073.0	152.0	466.0	1690.0	2949.0	2102.0	3277.0	1788.0	6586.0	2346.0	3670.0	1857.0	5440.0	1629.0	2194.0	1285.0	2157.0	3542.0	79.0	943.0	599.0	2944.0	1170.0	2882.0	2247.0	2043.0	1637.0	6665.0	2541.0	806.0	6208.0	6234.0	1865.0	2785.0	516.0	851.0	3354.0	5135.0	1634.0	481.0
37	167	1	59	6743.0	666.0	1139.0	805.0	401.0	4229.0	4156.0	3882.0	6324.0	1639.0	4558.0	2574.0	3615.0	861.0	690.0	1692.0	6475.0	376.0	756.0	2128.0	1726.0	232.0	385.0	951.0	291.0	6072.0	140.0	1074.0	153.0	468.0	1691.0	2950.0	2102.0	3278.0	1789.0	6588.0	2350.0	3672.0	1858.0	5440.0	1631.0	2197.0	1285.0	2154.0	3543.0	80.0	944.0	600.0	2945.0	1171.0	2890.0	2249.0	2044.0	1637.0	6666.0	2542.0	808.0	6211.0	6234.0	1866.0	2786.0	517.0	859.0	3357.0	5136.0	1635.0	484.0
37	169	1	61	6745.0	675.0	1148.0	804.0	402.0	4231.0	4159.0	3883.0	6323.0	1648.0	4560.0	2579.0	3616.0	865.0	692.0	1695.0	6476.0	375.0	758.0	2132.0	1727.0	232.0	385.0	950.0	292.0	6072.0	139.0	1080.0	154.0	512.0	1696.0	2955.0	2104.0	3278.0	1788.0	6593.0	2383.0	3675.0	1861.0	5444.0	1632.0	2263.0	1293.0	2160.0	3543.0	84.0	944.0	601.0	2946.0	1173.0	2894.0	2249.0	2052.0	1639.0	6666.0	2616.0	809.0	6216.0	6234.0	1867.0	2787.0	537.0	857.0	3361.0	5142.0	1636.0	520.0
37	203	1	83	6879.0	833.0	1260.0	812.0	407.0	4231.0	4209.0	3943.0	6460.0	1651.0	4588.0	2646.0	3733.0	916.0	725.0	1796.0	6525.0	374.0	790.0	2268.0	1871.0	277.0	419.0	1070.0	366.0	6055.0	201.0	1124.0	181.0	599.0	1718.0	3033.0	2108.0	3470.0	1960.0	6740.0	2383.0	3702.0	1930.0	5569.0	1637.0	2232.0	1416.0	2183.0	3983.0	128.0	942.0	617.0	2968.0	1286.0	2891.0	2318.0	2129.0	1666.0	6757.0	2732.0	816.0	6595.0	6230.0	1952.0	2861.0	542.0	864.0	3420.0	5295.0	1628.0	622.0
38	167	2	59	6743.0	667.0	1144.0	805.0	401.0	4230.0	4157.0	3882.0	6324.0	1642.0	4561.0	2575.0	3616.0	861.0	690.0	1692.0	6476.0	376.0	757.0	2129.0	1726.0	233.0	385.0	955.0	291.0	6072.0	141.0	1074.0	153.0	469.0	1692.0	2952.0	2102.0	3280.0	1789.0	6590.0	2383.0	3673.0	1859.0	5440.0	1632.0	2199.0	1285.0	2154.0	3543.0	81.0	944.0	602.0	2945.0	1173.0	2891.0	2249.0	2045.0	1638.0	6667.0	2573.0	808.0	6213.0	6235.0	1867.0	2786.0	519.0	859.0	3359.0	5137.0	1636.0	517.0
38	168	2	60	6744.0	674.0	1148.0	805.0	402.0	4231.0	4158.0	3882.0	6324.0	1645.0	4561.0	2579.0	3616.0	864.0	690.0	1694.0	6477.0	375.0	758.0	2131.0	1727.0	232.0	386.0	953.0	293.0	6072.0	140.0	1080.0	154.0	512.0	1694.0	2955.0	2103.0	3279.0	1789.0	6594.0	2383.0	3675.0	1861.0	5442.0	1633.0	2264.0	1288.0	2158.0	3543.0	83.0	944.0	603.0	2946.0	1173.0	2894.0	2249.0	2049.0	1639.0	6667.0	2618.0	809.0	6215.0	6234.0	1867.0	2787.0	523.0	859.0	3361.0	5139.0	1637.0	519.0
38	169	2	61	6745.0	677.0	1150.0	805.0	403.0	4232.0	4160.0	3882.0	6324.0	1649.0	4564.0	2581.0	3617.0	866.0	692.0	1695.0	6478.0	374.0	758.0	2133.0	1727.0	232.0	386.0	953.0	293.0	6073.0	140.0	1080.0	155.0	513.0	1697.0	2959.0	2104.0	3279.0	1789.0	6736.0	2384.0	3676.0	1863.0	5445.0	1634.0	2264.0	1293.0	2161.0	3544.0	84.0	944.0	603.0	2946.0	1175.0	2895.0	2249.0	2058.0	1641.0	6667.0	2617.0	810.0	6217.0	6234.0	1868.0	2788.0	537.0	858.0	3362.0	5143.0	1638.0	522.0
38	203	2	83	6878.0	834.0	1261.0	833.0	441.0	4231.0	4210.0	3942.0	6487.0	1657.0	4591.0	2646.0	3735.0	917.0	725.0	1797.0	6526.0	374.0	799.0	2269.0	1872.0	279.0	420.0	1070.0	366.0	6057.0	203.0	1125.0	182.0	600.0	1835.0	3034.0	2109.0	3471.0	1963.0	6740.0	2383.0	3704.0	1931.0	5570.0	1638.0	2233.0	1417.0	2183.0	3985.0	128.0	943.0	617.0	2968.0	1287.0	2892.0	2318.0	2131.0	1666.0	6757.0	2732.0	817.0	6596.0	6230.0	1953.0	2862.0	544.0	864.0	3422.0	5296.0	1630.0	622.0
38	204	2	84	6878.0	834.0	1260.0	833.0	407.0	4231.0	4209.0	3941.0	6486.0	1655.0	4591.0	2647.0	3733.0	917.0	725.0	1799.0	6525.0	374.0	798.0	2270.0	1871.0	284.0	420.0	1070.0	365.0	6056.0	202.0	1124.0	179.0	600.0	1716.0	3033.0	2109.0	3472.0	1962.0	6740.0	2383.0	3702.0	1930.0	5570.0	1637.0	2232.0	1416.0	2181.0	3977.0	128.0	942.0	617.0	2969.0	1285.0	2891.0	2318.0	2130.0	1666.0	6756.0	2731.0	816.0	6596.0	6232.0	1951.0	2862.0	543.0	863.0	3425.0	5295.0	1628.0	622.0
