alnA	alnB	A	B	YNL090W_36	YNL090W_17	YNL090W_11	YNL090W_19	YNL090W_42	YNL090W_32	YNL090W_28	YNL090W_57	YNL090W_67	YNL090W_51	YNL090W_37	YNL090W_50	YNL090W_66	YNL090W_03	YNL090W_22	YNL090W_60	YNL090W_06	YNL090W_56	YNL090W_21	YNL090W_62	YNL090W_09	YNL090W_15	YNL090W_64	YNL090W_12	YNL090W_05	YNL090W_20	YNL090W_44	YNL090W_24	YNL090W_25	YNL090W_43	YNL090W_40	YNL090W_54	YNL090W_68	YNL090W_30	YNL090W_01	YNL090W_23	YNL090W_65	YNL090W_02	YNL090W_61	YNL090W_41	YNL090W_46	YNL090W_58	YNL090W_55	YNL090W_33	YNL090W_48	YNL090W_49	YNL090W_16
33	167	3	54	1727.0	3763.0	8555.0	3665.0	3251.0	6590.0	4916.0	2365.0	2917.0	1233.0	5451.0	271.0	1870.0	6878.0	1486.0	5555.0	1780.0	6945.0	7481.0	9719.0	6626.0	2644.0	1654.0	763.0	2418.0	1035.0	1287.0	4789.0	1219.0	4887.0	5832.0	2407.0	951.0	8262.0	174.0	7588.0	9064.0	2282.0	9326.0	2553.0	1390.0	9343.0	1039.0	640.0	7190.0	4078.0	4077.0
34	167	4	54	1728.0	3765.0	8555.0	3667.0	3252.0	6589.0	4915.0	2366.0	2918.0	1233.0	5451.0	273.0	1869.0	6879.0	1485.0	5556.0	1781.0	6946.0	7482.0	9719.0	6628.0	2644.0	1656.0	763.0	2419.0	1036.0	1288.0	4790.0	1219.0	4888.0	5833.0	2408.0	1009.0	8263.0	174.0	7589.0	9065.0	2293.0	9327.0	2553.0	1390.0	9344.0	1040.0	641.0	7191.0	4079.0	4079.0
37	167	5	54	1729.0	3773.0	8555.0	3667.0	3252.0	6587.0	4915.0	2365.0	2918.0	1233.0	5451.0	273.0	1869.0	6882.0	1483.0	5556.0	1782.0	6946.0	7483.0	9720.0	6629.0	2644.0	1658.0	763.0	2419.0	1038.0	1288.0	4791.0	1219.0	4888.0	5834.0	2408.0	1008.0	8264.0	174.0	7590.0	9066.0	2294.0	9328.0	2553.0	1390.0	9346.0	1041.0	642.0	7191.0	4079.0	4080.0
37	169	5	56	1730.0	3891.0	8569.0	3667.0	3252.0	6590.0	4917.0	2367.0	2921.0	1235.0	5451.0	273.0	1870.0	6886.0	1483.0	5555.0	1782.0	6949.0	7483.0	9721.0	6666.0	2644.0	1724.0	766.0	2415.0	1039.0	1289.0	4806.0	1221.0	4891.0	5840.0	2410.0	953.0	8266.0	176.0	7591.0	9070.0	2293.0	9328.0	2551.0	1391.0	9355.0	1051.0	642.0	7190.0	4080.0	4080.0
37	203	5	78	1718.0	3827.0	8840.0	3631.0	3263.0	6757.0	4907.0	2708.0	2964.0	1295.0	5538.0	275.0	1782.0	6856.0	1580.0	5561.0	1748.0	6961.0	7494.0	9741.0	6626.0	2676.0	1676.0	737.0	2409.0	1087.0	1395.0	4884.0	1229.0	4960.0	5806.0	2358.0	938.0	8464.0	271.0	7599.0	9157.0	2355.0	9385.0	2469.0	1513.0	9360.0	1070.0	650.0	7197.0	4101.0	4119.0
38	167	6	54	1730.0	3775.0	8555.0	3691.0	3252.0	6587.0	4915.0	2366.0	2919.0	1234.0	5450.0	274.0	1868.0	6883.0	1484.0	5556.0	1782.0	6947.0	7483.0	9719.0	6632.0	2645.0	1716.0	762.0	2419.0	1041.0	1288.0	4792.0	1220.0	4888.0	5838.0	2409.0	1008.0	8264.0	175.0	7590.0	9067.0	2304.0	9329.0	2554.0	1391.0	9347.0	1043.0	641.0	7191.0	4080.0	4082.0
38	168	6	55	1731.0	3890.0	8558.0	3670.0	3252.0	6590.0	4915.0	2367.0	2920.0	1235.0	5450.0	274.0	1869.0	6884.0	1484.0	5556.0	1783.0	6949.0	7484.0	9720.0	6634.0	2646.0	1717.0	764.0	2418.0	1041.0	1288.0	4801.0	1221.0	4890.0	5839.0	2410.0	1008.0	8265.0	175.0	7591.0	9068.0	2305.0	9329.0	2553.0	1391.0	9352.0	1050.0	642.0	7191.0	4080.0	4081.0
38	169	6	56	1731.0	3893.0	8579.0	3669.0	3252.0	6598.0	4916.0	2368.0	2922.0	1237.0	5451.0	274.0	1870.0	6943.0	1484.0	5556.0	1783.0	6951.0	7484.0	9721.0	6667.0	2646.0	1722.0	766.0	2415.0	1041.0	1289.0	4862.0	1222.0	4891.0	5840.0	2411.0	1008.0	8266.0	176.0	7591.0	9070.0	2338.0	9330.0	2552.0	1391.0	9357.0	1057.0	642.0	7191.0	4081.0	4081.0
38	203	6	78	1723.0	3828.0	8841.0	3632.0	3263.0	6758.0	4908.0	2709.0	2966.0	1297.0	5540.0	277.0	1784.0	6856.0	1581.0	5562.0	1749.0	6962.0	7496.0	9742.0	6629.0	2677.0	1677.0	740.0	2407.0	1088.0	1398.0	4886.0	1231.0	4961.0	5806.0	2360.0	940.0	8466.0	272.0	7600.0	9159.0	2356.0	9385.0	2470.0	1514.0	9367.0	1092.0	652.0	7198.0	4101.0	4144.0
38	204	6	79	1719.0	3826.0	8841.0	3631.0	3263.0	6760.0	4909.0	2709.0	2966.0	1296.0	5540.0	279.0	1784.0	6856.0	1580.0	5562.0	1748.0	6963.0	7496.0	9742.0	6626.0	2677.0	1677.0	741.0	2406.0	1087.0	1397.0	4886.0	1231.0	4962.0	5807.0	2360.0	940.0	8469.0	272.0	7601.0	9156.0	2357.0	9383.0	2468.0	1514.0	9360.0	1071.0	652.0	7199.0	4121.0	4143.0
