alnA	alnB	A	B	YFL005W_28	YFL005W_08	YFL005W_35	YFL005W_43	YFL005W_14	YFL005W_70	YFL005W_16	YFL005W_57	YFL005W_19	YFL005W_34	YFL005W_01	YFL005W_30	YFL005W_10	YFL005W_45	YFL005W_23	YFL005W_13	YFL005W_12	YFL005W_68	YFL005W_26	YFL005W_11	YFL005W_49	YFL005W_17	YFL005W_09	YFL005W_61	YFL005W_54	YFL005W_22	YFL005W_18	YFL005W_41	YFL005W_32	YFL005W_44	YFL005W_38	YFL005W_06	YFL005W_21	YFL005W_46	YFL005W_66	YFL005W_05	YFL005W_31	YFL005W_15	YFL005W_58	YFL005W_56	YFL005W_37	YFL005W_50	YFL005W_51	YFL005W_20	YFL005W_40	YFL005W_42	YFL005W_53	YFL005W_65	YFL005W_24	YFL005W_67	YFL005W_07	YFL005W_27	YFL005W_25	YFL005W_63	YFL005W_55	YFL005W_02	YFL005W_33	YFL005W_59	YFL005W_62	YFL005W_36	YFL005W_29	YFL005W_04	YFL005W_52	YFL005W_69	YFL005W_03	YFL005W_48	YFL005W_39	YFL005W_47	YFL005W_60	YFL005W_64
33	167	16	68	939.0	2461.0	8296.0	124.0	1013.0	2651.0	1406.0	150.0	643.0	3882.0	3279.0	2358.0	2722.0	796.0	1231.0	3559.0	163.0	733.0	1531.0	926.0	4799.0	3712.0	2216.0	1397.0	257.0	1158.0	3099.0	3807.0	2758.0	497.0	3216.0	5283.0	1248.0	596.0	2234.0	1646.0	3306.0	7806.0	1008.0	439.0	2981.0	989.0	3748.0	822.0	2736.0	1270.0	1804.0	1513.0	797.0	3175.0	3476.0	524.0	2087.0	3553.0	303.0	1080.0	2678.0	162.0	1712.0	1717.0	2910.0	51.0	418.0	1736.0	1711.0	9535.0	384.0	3229.0	652.0	101.0
34	167	17	68	941.0	2462.0	8297.0	124.0	1016.0	2652.0	1405.0	151.0	644.0	3882.0	3280.0	2359.0	2722.0	798.0	1232.0	3559.0	162.0	733.0	1532.0	924.0	4799.0	3713.0	2219.0	1398.0	258.0	1160.0	3205.0	3846.0	2757.0	498.0	3215.0	5287.0	1248.0	597.0	2234.0	1644.0	3306.0	7806.0	1010.0	441.0	2981.0	991.0	3745.0	840.0	2737.0	1271.0	1810.0	1514.0	798.0	3175.0	3475.0	525.0	2088.0	3553.0	304.0	1080.0	2680.0	162.0	1742.0	1718.0	2910.0	52.0	418.0	1736.0	1711.0	9536.0	384.0	3229.0	653.0	102.0
37	167	18	68	942.0	2463.0	8423.0	126.0	1017.0	2654.0	1405.0	151.0	645.0	3882.0	3283.0	2360.0	2722.0	799.0	1235.0	3560.0	164.0	731.0	1533.0	925.0	4800.0	3668.0	2227.0	1399.0	259.0	1161.0	3207.0	3848.0	2758.0	502.0	3215.0	5288.0	1250.0	597.0	2234.0	1644.0	3305.0	7806.0	1014.0	443.0	2981.0	992.0	3745.0	841.0	2739.0	1275.0	1811.0	1514.0	798.0	3175.0	3475.0	529.0	2089.0	3554.0	306.0	1080.0	2682.0	163.0	1743.0	1719.0	2911.0	55.0	420.0	1736.0	1719.0	9538.0	385.0	3230.0	653.0	103.0
37	169	18	70	943.0	2463.0	8424.0	130.0	1022.0	2654.0	1407.0	152.0	644.0	3947.0	3291.0	2360.0	2722.0	806.0	1236.0	3562.0	160.0	742.0	1538.0	928.0	4802.0	3715.0	2230.0	1399.0	260.0	1161.0	3204.0	3850.0	2762.0	503.0	3215.0	5291.0	1253.0	598.0	2236.0	1646.0	3308.0	7809.0	1014.0	443.0	2984.0	993.0	3744.0	845.0	2740.0	1276.0	1812.0	1517.0	798.0	3176.0	3480.0	531.0	2094.0	3557.0	306.0	1082.0	2684.0	164.0	1743.0	1720.0	2913.0	53.0	422.0	1738.0	1822.0	9539.0	387.0	3230.0	658.0	104.0
37	203	18	92	1075.0	2546.0	8331.0	168.0	1113.0	2700.0	1781.0	255.0	642.0	3940.0	3304.0	2466.0	2718.0	1018.0	1251.0	3727.0	113.0	612.0	1686.0	930.0	4844.0	3716.0	2286.0	1408.0	329.0	1246.0	3249.0	3815.0	2774.0	537.0	3207.0	5375.0	1375.0	648.0	2334.0	1762.0	3344.0	7810.0	1017.0	436.0	2973.0	1009.0	3745.0	833.0	2762.0	1386.0	1921.0	1509.0	801.0	3263.0	3532.0	520.0	2088.0	3615.0	461.0	1129.0	2765.0	214.0	1741.0	1740.0	2939.0	159.0	423.0	1756.0	1743.0	9569.0	470.0	3299.0	641.0	242.0
38	167	19	68	942.0	2463.0	8423.0	127.0	1018.0	2655.0	1403.0	151.0	646.0	3948.0	3289.0	2361.0	2723.0	801.0	1236.0	3561.0	165.0	731.0	1533.0	924.0	4800.0	3666.0	2227.0	1400.0	260.0	1162.0	3208.0	3850.0	2759.0	505.0	3215.0	5290.0	1251.0	597.0	2233.0	1643.0	3305.0	7806.0	1040.0	444.0	2982.0	994.0	3744.0	843.0	2740.0	1276.0	1803.0	1515.0	797.0	3175.0	3475.0	533.0	2092.0	3556.0	307.0	1080.0	2683.0	163.0	1751.0	1720.0	2910.0	57.0	421.0	1737.0	1720.0	9540.0	387.0	3230.0	654.0	103.0
38	168	19	69	943.0	2464.0	8424.0	128.0	1020.0	2655.0	1406.0	152.0	645.0	3950.0	3290.0	2361.0	2723.0	804.0	1237.0	3562.0	162.0	732.0	1535.0	927.0	4801.0	3669.0	2228.0	1401.0	260.0	1162.0	3209.0	3853.0	2761.0	505.0	3215.0	5291.0	1252.0	598.0	2234.0	1643.0	3306.0	7807.0	1040.0	444.0	2984.0	994.0	3743.0	844.0	2740.0	1277.0	1812.0	1516.0	797.0	3176.0	3476.0	535.0	2093.0	3557.0	308.0	1081.0	2685.0	163.0	1752.0	1721.0	2911.0	57.0	422.0	1738.0	1720.0	9540.0	387.0	3230.0	656.0	104.0
38	169	19	70	945.0	2464.0	8425.0	130.0	1050.0	2656.0	1407.0	152.0	646.0	3952.0	3291.0	2362.0	2722.0	927.0	1237.0	3563.0	161.0	736.0	1539.0	929.0	4803.0	3715.0	2230.0	1400.0	260.0	1163.0	3208.0	3854.0	2762.0	505.0	3215.0	5293.0	1254.0	598.0	2236.0	1645.0	3308.0	7809.0	1040.0	444.0	2985.0	995.0	3744.0	846.0	2741.0	1278.0	1814.0	1519.0	798.0	3177.0	3482.0	537.0	2095.0	3559.0	308.0	1082.0	2687.0	164.0	1752.0	1721.0	2913.0	56.0	422.0	1739.0	1754.0	9540.0	394.0	3231.0	657.0	105.0
38	203	19	92	1077.0	2547.0	8332.0	171.0	1113.0	2727.0	1783.0	255.0	642.0	4150.0	3306.0	2468.0	2720.0	1018.0	1251.0	3728.0	119.0	684.0	1686.0	932.0	4844.0	3716.0	2292.0	1410.0	333.0	1246.0	3248.0	3817.0	2776.0	537.0	3208.0	5377.0	1375.0	648.0	2335.0	1764.0	3342.0	7813.0	1019.0	490.0	2975.0	1010.0	3746.0	834.0	2766.0	1388.0	1922.0	1570.0	803.0	3264.0	3534.0	522.0	2092.0	3615.0	464.0	1130.0	2766.0	215.0	1743.0	1741.0	2939.0	162.0	425.0	1760.0	1743.0	9570.0	471.0	3299.0	642.0	244.0
38	204	19	93	1076.0	2547.0	8331.0	171.0	1113.0	2701.0	1745.0	256.0	641.0	3948.0	3305.0	2467.0	2720.0	1018.0	1251.0	3727.0	118.0	682.0	1686.0	931.0	4844.0	3716.0	2287.0	1411.0	335.0	1246.0	3248.0	3817.0	2775.0	537.0	3208.0	5377.0	1374.0	649.0	2335.0	1763.0	3341.0	7812.0	1019.0	490.0	3000.0	1009.0	3746.0	833.0	2764.0	1392.0	1922.0	1517.0	802.0	3262.0	3533.0	508.0	2091.0	3614.0	464.0	1129.0	2766.0	215.0	1742.0	1740.0	2940.0	162.0	424.0	1756.0	1742.0	9571.0	468.0	3298.0	641.0	243.0
